transition_id,from_state,to_state,trigger_family,required_canonical_event,resulting_record_writes,allowed,forbidden_reason,routine_submission_allowed,reason_codes
T000,__start__,initiated,call_lifecycle,call_started,CallSession:initiated|TelephonyUrgentLiveAssessment:open,true,,false,call_session_created
T001,initiated,menu_selected,ivr_menu,menu_selection_captured,CallSession:menu_selected|TelephonyUrgentLiveAssessment:updated,true,,false,menu_settled
T002,initiated,abandoned,call_lifecycle,call_abandoned,CallSession:abandoned|TelephonyManualReviewDisposition:none,true,,false,caller_abandoned_before_menu
T003,menu_selected,identity_in_progress,identity_capture,identity_capture_started,CallSession:identity_in_progress|IdentityEvidenceEnvelope:telephony_refs_only,true,,false,identity_capture_started
T004,menu_selected,urgent_live_only,urgent_live,urgent_live_preempted,TelephonyUrgentLiveAssessment:urgent_live_required|SafetyPreemptionRecord:urgent_live,true,,false,urgent_live_before_identity_complete
T005,menu_selected,abandoned,call_lifecycle,call_abandoned,CallSession:abandoned,true,,false,caller_abandoned_after_menu
T006,identity_in_progress,identity_resolved,identity_capture,identity_resolved,CallSession:identity_resolved|IdentityEvidenceEnvelope:append_only,true,,false,identity_resolved_not_binding_truth
T007,identity_in_progress,identity_partial,identity_capture,identity_partial,CallSession:identity_partial|IdentityEvidenceEnvelope:append_only,true,,false,partial_identity_only
T008,identity_in_progress,identity_failed,identity_capture,identity_failed,CallSession:identity_failed|TelephonyManualReviewDisposition:identity_ambiguous,true,,false,identity_capture_failed
T009,identity_in_progress,abandoned,call_lifecycle,call_abandoned,CallSession:abandoned,true,,false,caller_abandoned_during_identity
T010,identity_resolved,recording_expected,recording_lifecycle,recording_expected,CallSession:recording_expected|RecordingExpectationRecord:opened,true,,false,recording_promised_by_provider
T011,identity_partial,recording_expected,recording_lifecycle,recording_expected,CallSession:recording_expected|RecordingExpectationRecord:opened,true,,false,recording_allowed_with_partial_identity
T012,identity_failed,manual_followup_required,manual_review,manual_followup_opened,TelephonyManualReviewDisposition:identity_ambiguous|CallSession:manual_followup_required,true,,false,identity_ambiguous_followup
T013,identity_failed,closed,call_lifecycle,call_closed,CallSession:closed|ClosureReason:identity_failed_no_followup,true,,false,terminal_identity_failure
T014,recording_expected,recording_available,recording_lifecycle,recording_available,CallSession:recording_available|RecordingArtifactRef:available,true,,false,recording_available_not_ready
T015,recording_expected,recording_missing,recording_lifecycle,recording_missing,TelephonyManualReviewDisposition:recording_missing|CallSession:recording_missing,true,,false,recording_missing_blocks_routine
T016,recording_expected,provider_error,provider_fault,provider_error_recorded,ProviderErrorRecord:recording_expected_failure|CallSession:provider_error,true,,false,provider_fault_blocks_routine
T017,recording_available,evidence_preparing,evidence_preparation,audio_quarantined,TelephonyTranscriptReadinessRecord:queued|EvidenceDerivationPackage:opened,true,,false,audio_quarantined_before_derivation
T018,recording_available,submitted,routine_promotion,submission_promoted,none,false,recording_available_is_not_evidence_readiness,false,recording_arrival_not_ready
T019,recording_missing,manual_audio_review_required,manual_review,manual_review_opened,TelephonyManualReviewDisposition:recording_missing|CallSession:manual_audio_review_required,true,,false,manual_audio_review_for_missing_recording
T020,recording_missing,manual_followup_required,manual_review,manual_followup_opened,TelephonyManualReviewDisposition:recording_missing|CallSession:manual_followup_required,true,,false,manual_followup_for_missing_recording
T021,evidence_preparing,evidence_pending,evidence_preparation,transcript_job_queued,TelephonyTranscriptReadinessRecord:queued|TelephonyEvidenceReadinessAssessment:awaiting_transcript,true,,false,awaiting_transcript
T022,evidence_preparing,transcript_degraded,evidence_preparation,transcript_degraded,TelephonyTranscriptReadinessRecord:failed|CallSession:transcript_degraded,true,,false,transcript_degraded_blocks_routine
T023,evidence_preparing,provider_error,provider_fault,provider_error_recorded,ProviderErrorRecord:evidence_preparation_failure|CallSession:provider_error,true,,false,provider_fault_during_derivation
T024,evidence_pending,urgent_live_only,readiness_assessment,evidence_readiness_assessed,TelephonyEvidenceReadinessAssessment:urgent_live_only:blocked|SafetyPreemptionRecord:urgent_live,true,,false,urgent_live_without_routine_evidence
T025,evidence_pending,continuation_eligible,continuation_eligibility,continuation_eligibility_settled,TelephonyEvidenceReadinessAssessment:awaiting_transcript:continuation_only|TelephonyContinuationEligibility:continuation_challenge,true,,false,continuation_only_not_submit
T026,evidence_pending,evidence_ready,readiness_assessment,evidence_readiness_assessed,TelephonyEvidenceReadinessAssessment:safety_usable:ready_to_promote,true,,false,evidence_safety_usable
T027,evidence_pending,manual_audio_review_required,manual_review,manual_review_opened,TelephonyManualReviewDisposition:contradictory_capture|TelephonyEvidenceReadinessAssessment:manual_review_only:blocked,true,,false,manual_review_blocks_routine
T028,evidence_pending,transcript_degraded,readiness_assessment,transcript_degraded,TelephonyTranscriptReadinessRecord:ready_keyword_only|TelephonyEvidenceReadinessAssessment:manual_review_only:blocked,true,,false,transcript_degraded_requires_review
T029,evidence_pending,submitted,routine_promotion,submission_promoted,none,false,evidence_pending_requires_safety_usable_ready_to_promote,false,pending_not_submittable
T030,urgent_live_only,manual_followup_required,manual_review,manual_followup_opened,TelephonyManualReviewDisposition:urgent_live_without_routine_evidence|CallSession:manual_followup_required,true,,false,urgent_live_needs_manual_followup
T031,urgent_live_only,evidence_pending,readiness_assessment,evidence_readiness_assessed,TelephonyEvidenceReadinessAssessment:awaiting_transcript:blocked,true,,false,urgent_live_continues_evidence_processing
T032,urgent_live_only,submitted,routine_promotion,submission_promoted,none,false,urgent_live_only_forbids_routine_submission,false,urgent_only_not_submittable
T033,continuation_eligible,continuation_sent,continuation_dispatch,continuation_sent,TelephonyContinuationContext:grant_issued|AccessGrant:canonical_if_not_manual_only,true,,false,continuation_dispatched_after_eligibility
T034,continuation_eligible,evidence_ready,readiness_assessment,evidence_readiness_assessed,TelephonyEvidenceReadinessAssessment:safety_usable:ready_to_promote,true,,false,later_readiness_promotes_from_continuation_only
T035,continuation_eligible,submitted,routine_promotion,submission_promoted,none,false,continuation_eligible_forbids_routine_submission,false,continuation_only_not_submittable
T036,continuation_sent,request_seeded,continuation_redemption,request_seeded,SubmissionEnvelope:evidence_pending|RouteIntentBinding:continuation_shell,true,,false,request_seeded_after_grant_redemption_or_challenge
T037,continuation_sent,closed,call_lifecycle,call_closed,CallSession:closed|AccessGrantSupersessionRecord:expired_or_replaced,true,,false,continuation_expired_or_superseded
T038,request_seeded,submitted,routine_promotion,submission_promoted,TelephonyEvidenceReadinessAssessment:safety_usable:ready_to_promote|SubmissionPromotionRecord:canonical_intake,true,,true,routine_submit_after_ready_to_promote
T039,request_seeded,closed,call_lifecycle,call_closed,CallSession:closed|SubmissionEnvelope:abandoned,true,,false,seeded_request_abandoned
T040,evidence_ready,request_seeded,request_convergence,request_seeded,SubmissionEnvelope:ready_to_promote|CallSession:request_seeded,true,,false,canonical_request_seeded_after_readiness
T041,evidence_ready,closed,call_lifecycle,call_closed,CallSession:closed|ClosureReason:no_routine_submit_required,true,,false,ready_call_closed_without_submission
T042,submitted,closed,call_lifecycle,call_closed,CallSession:closed|RequestLineage:linked,true,,false,submitted_call_closed
T043,closed,closed,terminal_noop,call_closed,none,false,terminal_state_no_outbound_business_transition,false,closed_is_terminal
T044,provider_error,manual_followup_required,manual_review,manual_followup_opened,TelephonyManualReviewDisposition:follow_up_needed|CallSession:manual_followup_required,true,,false,provider_error_needs_followup
T045,provider_error,closed,call_lifecycle,call_closed,CallSession:closed|ClosureReason:provider_error_terminal,true,,false,provider_error_terminal
T046,manual_followup_required,closed,manual_review,call_closed,TelephonyManualReviewDisposition:settled|CallSession:closed,true,,false,manual_followup_settled
T047,manual_followup_required,evidence_pending,manual_review,evidence_readiness_assessed,TelephonyEvidenceReadinessAssessment:awaiting_structured_capture:blocked,true,,false,followup_adds_new_evidence_cut
T048,manual_audio_review_required,evidence_pending,manual_review,evidence_readiness_assessed,TelephonyTranscriptReadinessRecord:superseded|TelephonyEvidenceReadinessAssessment:awaiting_structured_capture:blocked,true,,false,manual_audio_review_requires_new_assessment
T049,manual_audio_review_required,evidence_ready,manual_review,evidence_readiness_assessed,TelephonyEvidenceReadinessAssessment:safety_usable:ready_to_promote,true,,false,manual_review_can_settle_ready
T050,manual_audio_review_required,closed,manual_review,call_closed,TelephonyManualReviewDisposition:settled|CallSession:closed,true,,false,manual_audio_review_terminal
T051,transcript_degraded,manual_audio_review_required,manual_review,manual_review_opened,TelephonyManualReviewDisposition:transcript_degraded|CallSession:manual_audio_review_required,true,,false,degraded_transcript_requires_audio_review
T052,transcript_degraded,manual_followup_required,manual_review,manual_followup_opened,TelephonyManualReviewDisposition:transcript_degraded|CallSession:manual_followup_required,true,,false,degraded_transcript_followup
T053,abandoned,closed,call_lifecycle,call_closed,CallSession:closed|ClosureReason:caller_abandoned,true,,false,abandoned_terminal
