gateway_service_ref,gateway_surface_ref,route_family_refs,boundary_scope,downstream_workload_family_ref,trust_zone_boundary_ref,boundary_rule_ref,boundary_state,allowed_protocol_refs,tenant_transfer_mode,assurance_trust_transfer_mode,adapter_egress_allowed,raw_data_plane_access_allowed
agws_patient_web,gws_patient_appointments,rf_patient_appointments,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
agws_patient_web,gws_patient_appointments,rf_patient_appointments,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_patient_web,gws_patient_appointments,rf_patient_appointments,declared_downstream,wf_command_orchestration,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_patient_web,gws_patient_appointments,rf_patient_appointments,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_patient_web,gws_patient_appointments,rf_patient_appointments,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
agws_patient_web,gws_patient_embedded_shell,rf_patient_embedded_channel,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
agws_patient_web,gws_patient_embedded_shell,rf_patient_embedded_channel,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_patient_web,gws_patient_embedded_shell,rf_patient_embedded_channel,declared_downstream,wf_command_orchestration,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_patient_web,gws_patient_embedded_shell,rf_patient_embedded_channel,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_patient_web,gws_patient_embedded_shell,rf_patient_embedded_channel,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
agws_patient_web,gws_patient_health_record,rf_patient_health_record,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
agws_patient_web,gws_patient_health_record,rf_patient_health_record,declared_downstream,wf_projection_read_models,tzb_published_gateway_to_application_core,,allowed,https; grpc,tenant_tuple_and_route_intent_preserved,surface_authority_tuple_preserved,no,no
agws_patient_web,gws_patient_health_record,rf_patient_health_record,forbidden_boundary,adapter_egress,,GR_090_NO_DIRECT_ADAPTER_EGRESS,blocked,,forbidden,forbidden,no,no
agws_patient_web,gws_patient_health_record,rf_patient_health_record,forbidden_boundary,raw_data_plane,,GR_090_NO_RAW_DATA_PLANE_ACCESS,blocked,,forbidden,forbidden,no,no
agws_patient_web,gws_patient_home,rf_patient_home,browser_ingress,,tzb_public_edge_to_published_gateway,,allowed,https; sse; websocket,runtime_binding_and_session_policy_only,published_surface_tuple_only,no,no
