contractName,sourceAlgorithmRef,sourceObjectAlias,requiredFieldCount,enumFieldCount,identityKey
"RetentionLifecycleBinding","blueprint/phase-9-the-assurance-ledger.md#9E.RetentionLifecycleBinding","","14","2","retentionLifecycleBindingId"
"RetentionClass","blueprint/phase-9-the-assurance-ledger.md#9E.RetentionClass","","14","1","retentionClassId"
"RetentionDecision","blueprint/phase-9-the-assurance-ledger.md#9E.RetentionDecision","","12","1","retentionDecisionId"
"ArtifactDependencyLink","blueprint/phase-9-the-assurance-ledger.md#9E.ArtifactDependencyLink","","9","1","dependencyLinkId"
"LegalHoldScopeManifest","blueprint/phase-9-the-assurance-ledger.md#9E.LegalHoldScopeManifest","","9","1","legalHoldScopeManifestId"
"LegalHoldRecord","blueprint/phase-9-the-assurance-ledger.md#9E.LegalHoldRecord","","12","2","legalHoldRecordId"
"DispositionEligibilityAssessment","blueprint/phase-9-the-assurance-ledger.md#9E.DispositionEligibilityAssessment","","14","1","dispositionEligibilityAssessmentId"
"DispositionBlockReason","blueprint/phase-9-the-assurance-ledger.md#9E.blocked-disposition","DispositionBlockExplainer.blockingReasonRefs[]","5","2","reasonCode"
"OperationalReadinessSnapshot","blueprint/platform-runtime-and-release-blueprint.md#OperationalReadinessSnapshot","","35","4","operationalReadinessSnapshotId"
"RestoreRehearsalRecord","blueprint/phase-9-the-assurance-ledger.md#9F.RestoreRun","RestoreRun","30","3","restoreRunId"
"FailoverRehearsalRecord","blueprint/phase-9-the-assurance-ledger.md#9F.FailoverRun","FailoverRun","28","2","failoverRunId"
"ChaosActionDefinition","blueprint/phase-9-the-assurance-ledger.md#9F.ChaosExperiment","ChaosExperiment","13","1","chaosExperimentId"
"RecoveryControlPosture","blueprint/phase-9-the-assurance-ledger.md#9F.RecoveryControlPosture","","38","8","recoveryControlPostureId"
"RecoveryEvidenceWriteback","blueprint/phase-9-the-assurance-ledger.md#9F.RecoveryEvidenceArtifact","RecoveryEvidenceArtifact","34","2","recoveryEvidenceArtifactId"
"ProjectionRebuildPlan","prompt/434.md#resilience-recovery-contract-freeze","Projection rebuild plan for assurance-linked recovery projections","13","1","projectionRebuildPlanId"
"RecoveryDependencyMap","blueprint/phase-9-the-assurance-ledger.md#9F.dependency-ordering","Recovery dependency map","10","1","recoveryDependencyMapId"
"IncidentRecord","blueprint/phase-9-the-assurance-ledger.md#9G.SecurityIncident","SecurityIncident","11","2","incidentRecordId"
"NearMissReport","blueprint/phase-9-the-assurance-ledger.md#9G.NearMissReport","","7","0","nearMissReportId"
"ReportabilityAssessment","blueprint/phase-9-the-assurance-ledger.md#9G.ReportabilityAssessment","","8","1","assessmentId"
"SecurityEventTriageRecord","blueprint/phase-9-the-assurance-ledger.md#9G.incident-algorithm","classify and triage severity","8","2","securityEventTriageRecordId"
"IncidentTimelineEntry","blueprint/phase-9-the-assurance-ledger.md#9G.incident-algorithm","preserve evidence and timeline","8","1","incidentTimelineEntryId"
"CAPASourceBinding","blueprint/phase-9-the-assurance-ledger.md#9G.PostIncidentReview","PostIncidentReview.capaRefs","9","1","capaSourceBindingId"
"JustCultureReport","blueprint/phase-9-the-assurance-ledger.md#9G.just-culture-reporting","","9","1","justCultureReportId"
"NotificationEscalationObligationRecord","blueprint/phase-9-the-assurance-ledger.md#9G.reportable-incidents","","8","1","notificationEscalationObligationRecordId"
"TenantPolicyPack","blueprint/phase-9-the-assurance-ledger.md#9H.PolicyPackVersion","PolicyPackVersion + CompiledPolicyBundle","9","1","tenantPolicyPackId"
"TenantConfigurationVersion","blueprint/phase-9-the-assurance-ledger.md#9H.ConfigVersion","ConfigVersion","10","1","tenantConfigurationVersionId"
"ImmutableConfigPublication","blueprint/phase-9-the-assurance-ledger.md#9H.config-compilation-package","","13","1","immutableConfigPublicationId"
"DependencyInventoryRecord","blueprint/phase-9-the-assurance-ledger.md#9H.DependencyRegistryEntry","DependencyRegistryEntry","13","3","dependencyInventoryRecordId"
"DependencyRiskRecord","blueprint/platform-admin-and-config-blueprint.md#DependencyLifecycleRecord","DependencyLifecycleRecord","11","2","dependencyRiskRecordId"
"StandardsFrameworkVersionBinding","blueprint/phase-9-the-assurance-ledger.md#9H.StandardsChangeNotice","StandardsChangeNotice","11","1","standardsFrameworkVersionBindingId"
"PolicyOverrideRecord","blueprint/phase-9-the-assurance-ledger.md#9H.tenant-overrides","","12","1","policyOverrideRecordId"
"AdminActionSettlement","blueprint/platform-admin-and-config-blueprint.md#AdminActionSettlement","","8","1","adminActionSettlementId"
