scenario_id,route,view_kind,confirmation_truth,manage_exposure,reminder_exposure,continuity_state,pending_state,manage_capability
booking_case_297_ready,/bookings/booking_case_297_ready/manage,summary,confirmed,writable,scheduled,trusted,idle,appointment_cancel|appointment_reschedule|appointment_detail_update|reminder_change
booking_case_297_reschedule,/bookings/booking_case_297_reschedule/manage,reschedule,confirmed,writable,scheduled,trusted,reschedule_active,appointment_reschedule
booking_case_297_reschedule_pending,/bookings/booking_case_297_reschedule_pending/manage,pending,confirmed,summary_only,pending_schedule,trusted,reschedule_pending,summary_only
booking_case_297_cancel_pending,/bookings/booking_case_297_cancel_pending/manage,pending,confirmed,summary_only,blocked,trusted,cancel_pending,summary_only
booking_case_297_cancelled,/bookings/booking_case_297_cancelled/manage,settled,confirmed,summary_only,blocked,trusted,settled,summary_only
booking_case_297_detail_edit,/bookings/booking_case_297_detail_edit/manage,detail_update,confirmed,writable,scheduled,trusted,detail_edit,appointment_detail_update
booking_case_297_detail_pending,/bookings/booking_case_297_detail_pending/manage,pending,confirmed,summary_only,scheduled,trusted,detail_pending,summary_only
booking_case_297_reminder_pending,/bookings/booking_case_297_reminder_pending/manage,pending,confirmed,summary_only,pending_schedule,trusted,reminder_pending,summary_only
booking_case_297_ready_email,/bookings/booking_case_297_ready_email/manage,summary,confirmed,writable,scheduled,trusted,idle,appointment_cancel|appointment_reschedule|appointment_detail_update|reminder_change
booking_case_297_reminder_blocked,/bookings/booking_case_297_reminder_blocked/manage,recovery,confirmed,writable,blocked,degraded,repair_required,appointment_cancel|appointment_reschedule|appointment_detail_update
booking_case_297_stale,/bookings/booking_case_297_stale/manage,recovery,confirmed,summary_only,blocked,stale,repair_required,summary_only
booking_case_297_confirmation_pending,/bookings/booking_case_297_confirmation_pending/manage,recovery,summary_only,blocked,trusted,repair_required,summary_only
