endpoint_id,endpoint_name,endpoint_class,entry_conditions,owning_aggregate,authoritative_success,ambiguity_mode,recovery_path,patient_actionability,request_milestone_effect,closure_rule,external_touchpoints,audit_findings,source_refs
urgent_diversion,Urgent diversion,direct_outcome,SafetyDecisionRecord requests urgent_diversion_required or urgent-live preemption lands before routine triage can continue.,SafetyDecisionRecord plus UrgentDiversionSettlement,UrgentDiversionSettlement(settlementState = issued) and Request.safetyState = urgent_diverted.,urgent_diversion_required remains durable until settlement proof exists; urgent-required is not equivalent to urgent-diverted.,FallbackReviewCase or governed urgent escalation if routine evidence is degraded; no quiet return to routine flow.,Same intake or request shell morphs to urgent guidance; no ordinary self-service CTA survives the urgent branch.,Routine path stops; canonical closure is not evaluated from the urgent branch itself.,No direct request closure; urgent issuance is separate from workflowState closed.,ext_telephony_and_ivr_provider; ext_secure_link_and_notification_rail,Finding 45; Finding 57,phase-0-the-foundation-protocol.md#Safety algorithm; phase-1-the-red-flag-gate.md#Canonical submit and safety algorithm; blueprint-init.md#3. The canonical request model
degraded_acceptance_fallback_review,Degraded acceptance and fallback review,continuity_control,"Evidence is unsafe, unreadable, contradictory, urgent-live-only, or the ingest/safety chain cannot settle routine truth.",FallbackReviewCase,FallbackReviewCase creation with durable degraded receipt and later governed manual disposition; no calmer success exists before that case settles.,"Receipt may be degraded, but accepted progress must remain attached to one current FallbackReviewCase instead of generic error.","Manual review, repaired evidence, or urgent diversion settlement re-enters the same lineage; silent discard is forbidden.","Same intake or request shell shows degraded receipt, fallback review status, and safe next action.",Request may be held before or after routine creation; closure remains blocked while FallbackReviewCase is open.,LifecycleCoordinator must treat open fallback review as a blocker.,ext_artifact_store_and_scan,Finding 12; Finding 58; Finding 61; Finding 63,"phase-0-the-foundation-protocol.md#Artifact quarantine and fallback review; vecells-complete-end-to-end-flow.md#Unified Intake, Identity, Evidence, and Safety; forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"
triage_more_info_cycle,More-info cycle and patient reply return,triage_child_cycle,Reviewer needs more information before endpoint commitment.,MoreInfoCycle,MoreInfoResponseDisposition(accepted_in_window | accepted_late_review) plus EvidenceAssimilationRecord and MaterialDeltaAssessment.,"late_review, superseded_duplicate, expired_rejected, and blocked_repair are explicit dispositions; no link TTL or client timer can infer calmer truth.","ContactRouteRepairJourney, callback fallback, or same-shell stale/expired recovery depending on checkpoint posture.",Reply stays in the same request shell or secure-link respond-to-request mode while the checkpoint is actionable.,Request.workflowState remains triage_active; closure is blocked while MoreInfoReplyWindowCheckpoint is open or accepted reply is pending assimilation.,No direct close; LifecycleCoordinator must treat open more-info or pending assimilation as blockers.,ext_secure_link_and_notification_rail; ext_message_delivery_provider,Finding 18; Finding 19; Finding 25,"phase-3-the-human-checkpoint.md#MoreInfoCycle; phase-3-the-human-checkpoint.md#Build MoreInfoCycle as a first-class workflow object; forensic-audit-findings.md#Finding 18 - More-info loop had no TTL, expiry, or escalation rule"
duplicate_review,Duplicate review branch,continuity_control,Replay does not collapse through exact idempotency and the lineage is a same_episode_candidate or review-required duplicate.,DuplicateCluster,"DuplicateResolutionDecision resolves same_request_attach, same_episode_link, related_episode_link, or review_required history without silent merge.",DuplicateCluster(review_required) remains explicit review work until a human or policy-backed resolution is persisted.,Return to triage with preserved pairwise evidence and candidate-competition proof; no auto-attach from review-required posture.,Patient surfaces show continuity-safe status but do not imply hidden attach or closure while review is open.,"Request may stay triage_ready or triage_active, but closure is blocked while DuplicateCluster(review_required) remains unresolved.",LifecycleCoordinator must treat unresolved duplicate review as a hard blocker.,,Finding 57; Finding 65,phase-0-the-foundation-protocol.md#1.7 DuplicateCluster; phase-1-the-red-flag-gate.md#Duplicate handling; forensic-audit-findings.md#Finding 57 - RequestClosureRecord omitted duplicate-cluster blockers
self_care,Self-care and safety-net outcome,direct_outcome,Endpoint decision chooses self_care_and_safety_net and the current SelfCareBoundaryDecision stays informational_only.,SelfCareBoundaryDecision plus AdviceRenderSettlement,AdviceRenderSettlement(renderState = renderable) under the current DecisionEpoch and boundaryTupleHash.,"Advice invalidation, quarantine, release freeze, or dependency reopen blocks calm render and forces recovery or clinician re-entry.","SelfCareExperienceProjection degrades to read-only, placeholder, or reopened clinician review in the same shell.","Same request shell shows safety-net content, not a detached success page.",Direct outcome can emit outcome_recorded; request closure still waits for LifecycleCoordinator and empty blockers.,No direct canonical close from advice render alone.,ext_secure_link_and_notification_rail,Finding 22; Finding 45,self-care-content-and-admin-resolution-blueprint.md#Self-care content governance; phase-3-the-human-checkpoint.md#Endpoint rail direct outcomes
admin_resolution,Admin resolution,direct_outcome_with_child_case,Endpoint decision chooses admin_resolution and the current boundary stays bounded_admin_only.,AdminResolutionCase,AdminResolutionSettlement(result = completed) plus AdminResolutionCompletionArtifact.,"Waiting_dependency, blocked_pending_safety, stale_recoverable, or boundary reopen keep the case live and block quiet completion.",AdviceAdminDependencySet or SelfCareBoundaryDecision.reopenState routes same-shell repair or clinician re-entry.,Same request shell with bounded operational follow-up and explicit waiting or recovery wording.,Outcome_recorded may be emitted once authoritative completion exists; request close still requires LifecycleCoordinator.,No child-domain direct closure; dependency blockers and grants remain request-level closure debt.,ext_secure_link_and_notification_rail,Finding 22; Finding 45,self-care-content-and-admin-resolution-blueprint.md#Admin-resolution domain; phase-3-the-human-checkpoint.md#Endpoint rail direct outcomes
clinician_messaging,Clinician messaging,downstream_case,Endpoint decision launches clinician_message from the current unsuperseded DecisionEpoch.,ClinicianMessageThread,"MessageDeliveryEvidenceBundle plus ThreadResolutionGate decide delivered, repaired, escalated_to_callback, reopened, or closed truth.","Delivery failed, disputed, expired, or awaiting_review posture remains explicit and cannot collapse into silent closure.","Controlled resend, channel change, attachment recovery, callback escalation, or ContactRouteRepairJourney.","Same patient messages cluster keeps thread, receipts, and repair state in shell.",Thread closure is local; request close still waits for coordinator review of blockers.,No message service may close the Request directly.,ext_message_delivery_provider; ext_secure_link_and_notification_rail,Finding 23; Finding 25; Finding 66,callback-and-clinician-messaging-loop.md#Clinician message domain; phase-3-the-human-checkpoint.md#Callback and clinician-message endpoints; forensic-audit-findings.md#Finding 23 - Clinician messaging had contradictory loop-and-close semantics
callback,Callback,downstream_case,"Endpoint decision, waitlist fallback, or hub fallback creates a callback lineage branch.",CallbackCase,"CallbackOutcomeEvidenceBundle plus CallbackResolutionGate decide retry, escalate, complete, cancel, or expire truth.","No-answer, route_invalid, provider_failure, or stale callback promise remains explicit; callback windows are expectation envelopes, not completion proof.","Retry, reschedule, controlled escalation, or ContactRouteRepairJourney in the same shell.","Same patient messages / callback child route preserves promise, repair, and response state.",Callback completion may settle local case truth; request closure still requires LifecycleCoordinator.,No callback service may close the Request directly.,ext_telephony_and_ivr_provider; ext_secure_link_and_notification_rail,Finding 24; Finding 25; Finding 66,callback-and-clinician-messaging-loop.md#Callback domain; phase-3-the-human-checkpoint.md#Callback and clinician-message endpoints; forensic-audit-findings.md#Finding 24 - Callback handling had contradictory loop-and-close semantics
local_booking,Local booking,downstream_case,Endpoint decision launches booking and provider capability resolution supports local booking.,BookingCase,BookingConfirmationTruthProjection(confirmationTruthState = confirmed) plus AppointmentRecord after durable provider reference or same-commit read-after-write proof.,"confirmation_pending, supplier_reconciliation_pending, and disputed supplier truth require ExternalConfirmationGate and block booked reassurance.","Stay in confirmation_pending, contact repair, waitlist fallback, callback fallback, or hub transfer; never optimistic booked copy.",Same appointments/manage shell preserves selected anchor and truthful pending or recovery posture.,Booking ownership sets handoff_active; confirmed authoritative outcome can emit outcome_recorded.,Closure waits for LifecycleCoordinator and no unresolved confirmation gate.,ext_booking_supplier_adapter,Finding 27; Finding 28; Finding 29; Finding 30; Finding 31; Finding 32; Finding 72; Finding 73; Finding 74,phase-4-the-booking-engine.md#Booking case model and state machine; phase-4-the-booking-engine.md#Commit and confirmation algorithm; forensic-audit-findings.md#Finding 31 - No ambiguous confirmation or reconciliation state for bookings
local_waitlist_continuation,Local waitlist continuation,downstream_case_continuation,Local booking cannot immediately confirm an appointment but policy allows deadline-governed waitlist continuation.,BookingCase plus WaitlistContinuationTruthProjection,"WaitlistContinuationTruthProjection and WaitlistDeadlineEvaluation are the only honest current truth for waiting, offer_available, accepted_pending_booking, callback_expected, hub_review_pending, or expired posture.","Expired or superseded offers, stale capacity truth, or overdue deadline posture must remain visible through current continuation truth rather than generic still-waiting copy.",WaitlistFallbackObligation routes to callback or hub when local continuation is no longer safe; no indefinite local waitlist.,Same appointments shell keeps offer or preference summary visible while dominant action switches to fallback or recovery.,Request stays handoff_active until authoritative booking or governed fallback transfer settles.,"No closure while waitlist continuation, fallback obligation, or callback/hub transfer debt remains open.",ext_booking_supplier_adapter,Finding 33; Finding 45,phase-4-the-booking-engine.md#Waitlist continuation; phase-4-the-booking-engine.md#Patient waitlist truth; forensic-audit-findings.md#Finding 33 - Waitlist logic lacked per-capacity exclusivity and deadline fallback
