state_id,input_surface,lineage_phase,ownership_posture,writable_authority_state,patient_ref_derivation_state,continuity_target,authority_action,grant_action,session_action,expected_decision,gap_closure
SRO184_SIGNED_IN_DRAFT_START,signed_in_request_start,draft,claim_pending,claim_pending,not_derived,same_draft_shell,none,none,preserve,attached,PARALLEL_INTERFACE_GAP_PHASE2_REQUEST_OWNERSHIP_ONE_LINEAGE_V1
SRO184_SIGNED_IN_ALREADY_CLAIMED,signed_in_request_start,draft,owned_authenticated,writable,not_derived,same_draft_shell,none,none,preserve,attached,PARALLEL_INTERFACE_GAP_PHASE2_REQUEST_OWNERSHIP_ONE_LINEAGE_V1
SRO184_AUTHORITY_PATIENT_REF_DERIVE,authority_patient_ref_derive,draft,owned_authenticated,writable,derived_in_authority_transaction,same_draft_shell,IdentityBindingAuthority_settlement,none,preserve,claimed,PARALLEL_INTERFACE_GAP_PHASE2_REQUEST_OWNERSHIP_AUTHORITY_DERIVED_PATIENT_REF_V1
SRO184_PRE_SUBMIT_CLAIM_SAME_DRAFT,pre_submit_claim,draft,owned_authenticated,writable,derived_in_authority_transaction,same_draft_shell,IdentityBindingAuthority_claim,AccessGrantService_supersede_public,SessionGovernor_rotate_if_writable,claimed,PARALLEL_INTERFACE_GAP_PHASE2_REQUEST_OWNERSHIP_PRE_SUBMIT_CLAIM_CONTINUITY_V1
SRO184_POST_SUBMIT_UPLIFT_SAME_SHELL,post_submit_uplift,promoted,owned_authenticated,writable,derived_in_authority_transaction,same_request_shell,IdentityBindingAuthority_claim,none,preserve,uplifted,PARALLEL_INTERFACE_GAP_PHASE2_REQUEST_OWNERSHIP_POST_SUBMIT_UPLIFT_V1
SRO184_DUPLICATE_PROMOTION_REPLAY,post_submit_uplift,promoted,owned_authenticated,writable,derived_in_authority_transaction,same_request_shell,replay_existing_mapping,none,preserve,replayed,PARALLEL_INTERFACE_GAP_PHASE2_REQUEST_OWNERSHIP_RACE_SAFE_MAPPING_V1
SRO184_STALE_SESSION_RECOVERY,ownership_drift_evaluate,draft,recovery_only,claim_pending,not_derived,recovery_shell,none,none,deny_writable,recover_only,PARALLEL_INTERFACE_GAP_PHASE2_REQUEST_OWNERSHIP_STALE_FENCING_V1
SRO184_STALE_BINDING_RECOVERY,ownership_drift_evaluate,draft,recovery_only,claim_pending,not_derived,recovery_shell,none,none,deny_writable,recover_only,PARALLEL_INTERFACE_GAP_PHASE2_REQUEST_OWNERSHIP_STALE_FENCING_V1
SRO184_SUBJECT_SWITCH_CLAIM_PENDING,ownership_drift_evaluate,draft,claim_pending,claim_pending,not_derived,claim_pending_shell,none,none,deny_writable,claim_pending,PARALLEL_INTERFACE_GAP_PHASE2_REQUEST_OWNERSHIP_STALE_FENCING_V1
SRO184_ROUTE_INTENT_DRIFT_RECOVERY,ownership_drift_evaluate,promoted,recovery_only,claim_pending,derived_in_authority_transaction,recovery_shell,none,none,deny_writable,recover_only,PARALLEL_INTERFACE_GAP_PHASE2_REQUEST_OWNERSHIP_SAME_SHELL_RECOVERY_V1
SRO184_LINEAGE_FENCE_DRIFT_RECOVERY,ownership_drift_evaluate,promoted,recovery_only,claim_pending,derived_in_authority_transaction,recovery_shell,none,none,deny_writable,recover_only,PARALLEL_INTERFACE_GAP_PHASE2_REQUEST_OWNERSHIP_SAME_SHELL_RECOVERY_V1
