row_class,scenario_id,domain,domain_object_ref,lease_id,fence_or_action_id,epoch_or_created_at,binding_ref,issue_type,reconstruction_state,summary
fence,competing_reviewers_same_task,triage_workspace,task_071_competing,LSE_071_TRIAGE_ALPHA,FNC_071_TRIAGE_OWNERSHIP,1,ownership_change,none,guarding_cross_domain_invariant,ownership_change advanced task_071_competing to epoch 1.
fence,worker_restart_with_stale_fencing_token,booking,booking_case_071_restart,LSE_071_BOOKING_ALPHA,FNC_071_BOOKING_OWNERSHIP,1,ownership_change,stale_token,guarding_cross_domain_invariant,ownership_change advanced booking_case_071_restart to epoch 1.
fence,worker_restart_with_stale_fencing_token,booking,booking_case_071_restart,LSE_071_BOOKING_ALPHA,FNC_071_BOOKING_COMMIT,2,cross_domain_commit,stale_token,guarding_cross_domain_invariant,cross_domain_commit advanced booking_case_071_restart to epoch 2.
fence,worker_restart_with_stale_fencing_token,booking,booking_case_071_restart,LSE_071_BOOKING_ALPHA,FNC_071_BOOKING_TAKEOVER,3,ownership_change,stale_token,guarding_cross_domain_invariant,ownership_change advanced booking_case_071_restart to epoch 3.
fence,supervisor_takeover_while_stale_owner_open,hub_coordination,hub_case_071_takeover,LSE_071_HUB_ALPHA,FNC_071_HUB_OWNERSHIP,1,ownership_change,takeover,guarding_cross_domain_invariant,ownership_change advanced hub_case_071_takeover to epoch 1.
fence,supervisor_takeover_while_stale_owner_open,hub_coordination,hub_case_071_takeover,LSE_071_HUB_ALPHA,FNC_071_HUB_BREAK,2,ownership_change,takeover,guarding_cross_domain_invariant,ownership_change advanced hub_case_071_takeover to epoch 2.
fence,supervisor_takeover_while_stale_owner_open,hub_coordination,hub_case_071_takeover,LSE_071_HUB_ALPHA,FNC_071_HUB_TAKEOVER,3,ownership_change,takeover,guarding_cross_domain_invariant,ownership_change advanced hub_case_071_takeover to epoch 3.
fence,cross_domain_close_reopen_stale_lineage_epochs,governance_admin,governance_case_071_lineage,LSE_071_GOVERNANCE_ALPHA,FNC_071_GOVERNANCE_OWNERSHIP,1,ownership_change,stale_epoch,guarding_cross_domain_invariant,ownership_change advanced governance_case_071_lineage to epoch 1.
fence,cross_domain_close_reopen_stale_lineage_epochs,governance_admin,governance_case_071_lineage,LSE_071_GOVERNANCE_ALPHA,FNC_071_GOVERNANCE_CLOSE,2,close,stale_epoch,guarding_cross_domain_invariant,close advanced governance_case_071_lineage to epoch 2.
fence,cross_domain_close_reopen_stale_lineage_epochs,governance_admin,governance_case_071_lineage,LSE_071_GOVERNANCE_ALPHA,FNC_071_GOVERNANCE_REOPEN,3,reopen,stale_epoch,guarding_cross_domain_invariant,reopen advanced governance_case_071_lineage to epoch 3.
fence,repeated_ui_actions_reuse_or_supersede,pharmacy,pharmacy_case_071_action,LSE_071_PHARMACY_ALPHA,FNC_071_PHARMACY_OWNERSHIP,1,ownership_change,none,guarding_cross_domain_invariant,ownership_change advanced pharmacy_case_071_action to epoch 1.
action,repeated_ui_actions_reuse_or_supersede,pharmacy,pharmacy_case_071_action,LSE_071_PHARMACY_ALPHA,CAR_071_PHARMACY_EXACT,2026-04-12T09:08:20Z,route_pharmacy_dispatch_update,none,immutable_mutation_tuple,Exact tuple reuse
action,repeated_ui_actions_reuse_or_supersede,pharmacy,pharmacy_case_071_action,LSE_071_PHARMACY_ALPHA,CAR_071_PHARMACY_RECOVERY,2026-04-12T09:08:40Z,route_pharmacy_dispatch_update,none,immutable_mutation_tuple,Superseding tuple
