case_id,feature_flag,environment_enabled,tenant_enabled,onboarding_ready,legal_basis_present,secrets_present,route_approved,circuit_state,adapter_result,cache_state,outcome_state,local_flow_continuation,gap_closure,control_summary
PDS183_DISABLED_DEFAULT,false,false,false,false,false,false,false,closed,not_called,none,disabled,local_matching_only,PARALLEL_INTERFACE_GAP_PHASE2_PDS_FEATURE_FLAG_GATING_V1,Default policy is disabled and local matching continues
PDS183_ENV_DENIED,true,false,true,true,true,true,true,closed,not_called,none,policy_denied,local_matching_only,PARALLEL_INTERFACE_GAP_PHASE2_PDS_ONBOARDING_LEGAL_BASIS_V1,Environment must explicitly allow PDS
PDS183_TENANT_DENIED,true,true,false,true,true,true,true,closed,not_called,none,policy_denied,local_matching_only,PARALLEL_INTERFACE_GAP_PHASE2_PDS_FEATURE_FLAG_GATING_V1,Tenant must explicitly enable PDS
PDS183_ONBOARDING_MISSING,true,true,true,false,true,true,true,closed,not_called,none,policy_denied,local_matching_only,PARALLEL_INTERFACE_GAP_PHASE2_PDS_ONBOARDING_LEGAL_BASIS_V1,Digital onboarding PDS access DSPT secure-network and use-case refs must be complete
PDS183_LEGAL_BASIS_MISSING,true,true,true,true,false,true,true,closed,not_called,none,legal_basis_missing,local_matching_only,PARALLEL_INTERFACE_GAP_PHASE2_PDS_ONBOARDING_LEGAL_BASIS_V1,Legal-basis evidence is required before lookup
PDS183_SECRET_MISSING,true,true,true,true,true,false,true,closed,not_called,none,policy_denied,local_matching_only,PARALLEL_INTERFACE_GAP_PHASE2_PDS_ONBOARDING_LEGAL_BASIS_V1,Endpoint and credential secret refs are explicit gates
PDS183_ROUTE_DENIED,true,true,true,true,true,true,false,closed,not_called,none,policy_denied,local_matching_only,PARALLEL_INTERFACE_GAP_PHASE2_PDS_FEATURE_FLAG_GATING_V1,Only approved route families can request PDS enrichment
PDS183_CIRCUIT_OPEN,true,true,true,true,true,true,true,open,not_called,none,policy_denied,local_matching_only,PARALLEL_INTERFACE_GAP_PHASE2_PDS_STALE_CACHE_FALLBACK_V1,Circuit-open state fails local-only
PDS183_PROVIDER_SUCCESS,true,true,true,true,true,true,true,closed,matched,none,enriched,pds_enrichment_available,PARALLEL_INTERFACE_GAP_PHASE2_PDS_PROVIDER_PORT_V1,Adapter success writes normalized provenance-aware PDS snapshot
PDS183_NO_DIRECT_AUTHORITY,true,true,true,true,true,true,true,closed,matched,none,enriched,pds_enrichment_available,PARALLEL_INTERFACE_GAP_PHASE2_PDS_NO_DIRECT_BINDING_AUTHORITY_BYPASS_V1,Binding mutation is prohibited and IdentityBindingAuthority remains the only binding authority
PDS183_FRESH_CACHE,true,true,true,true,true,true,true,closed,not_called,fresh,cache_fresh,pds_enrichment_available,PARALLEL_INTERFACE_GAP_PHASE2_PDS_STALE_CACHE_FALLBACK_V1,Fresh cache can return bounded snapshot without provider call
PDS183_STALE_CACHE_TIMEOUT,true,true,true,true,true,true,true,closed,timeout,stale,stale_cache_used,pds_enrichment_available,PARALLEL_INTERFACE_GAP_PHASE2_PDS_STALE_CACHE_FALLBACK_V1,Stale cache is marked stale and cannot masquerade as fresh evidence
PDS183_PROVIDER_TIMEOUT,true,true,true,true,true,true,true,closed,timeout,none,provider_unavailable,local_matching_only,PARALLEL_INTERFACE_GAP_PHASE2_PDS_STALE_CACHE_FALLBACK_V1,Timeout fails deterministic local matching only
PDS183_PARSE_DRIFT,true,true,true,true,true,true,true,closed,parse_error,none,parse_error,local_matching_only,PARALLEL_INTERFACE_GAP_PHASE2_PDS_DATA_CLASS_SEPARATION_V1,Parsing drift fails local-only without storing raw payload
PDS183_NOTIFICATION_DISABLED,false,true,true,true,true,true,true,closed,not_called,none,ignored_disabled,local_matching_only,PARALLEL_INTERFACE_GAP_PHASE2_PDS_CHANGE_NOTIFICATION_SEAM_V1,Notifications are ignored when disabled
PDS183_NOTIFICATION_QUEUED,true,true,true,true,true,true,true,closed,not_called,none,queued_refresh,local_matching_only,PARALLEL_INTERFACE_GAP_PHASE2_PDS_CHANGE_NOTIFICATION_SEAM_V1,Notifications queue refresh signals and never mutate local state
