tupleId,inventorySurfaceRef,publishedAudienceSurfaceRef,routeFamilyRef,shellType,bindingVerdict,browserPostureState,accessibilityCoverageState,reasonRefs,notes
FMTUP_127_RF_ASSISTIVE_CONTROL_SHELL_V1,,,rf_assistive_control_shell,assistive,blocked,blocked,missing,MFV_127_ASSISTIVE_STANDALONE_UNPUBLISHED|MFV_127_DESIGN_BUNDLE_MISSING|MFV_127_FRONTEND_MANIFEST_MISSING|MFV_127_PROJECTION_VERSION_SET_MISSING|MFV_127_RUNTIME_BINDING_MISSING|MFV_127_SHELL_CONTRACT_MISSING|MFV_127_SURFACE_ROUTE_CONTRACT_MISSING,"The derived standalone assistive shell has route inventory truth but no seeded shell, manifest, or runtime binding of its own."
FMTUP_127_SURF_GOVERNANCE_SHELL_V1,surf_governance_shell,audsurf_governance_admin,rf_governance_shell,governance,partial,read_only,degraded,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_HUB_CASE_MANAGEMENT_V1,surf_hub_case_management,audsurf_hub_desk,rf_hub_case_management,hub,partial,read_only,degraded,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_HUB_QUEUE_V1,surf_hub_queue,audsurf_hub_desk,rf_hub_queue,hub,partial,read_only,degraded,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_OPERATIONS_BOARD_V1,surf_operations_board,audsurf_operations_console,rf_operations_board,operations,partial,recovery_only,degraded,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_OPERATIONS_DRILLDOWN_V1,surf_operations_drilldown,audsurf_operations_console,rf_operations_drilldown,operations,partial,recovery_only,degraded,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_PATIENT_INTAKE_WEB_V1,surf_patient_intake_web,audsurf_patient_public_entry,rf_intake_self_service,patient,partial,recovery_only,degraded,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING,Shell residency remains on `patient-web` while publication authority resolves through `audsurf_patient_public_entry`.
FMTUP_127_SURF_PATIENT_INTAKE_PHONE_V1,surf_patient_intake_phone,audsurf_patient_public_entry,rf_intake_telephony_capture,patient,partial,recovery_only,degraded,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_CONSTRAINED_NON_BROWSER_CHANNEL|MFV_127_DESIGN_LINT_PENDING,Shell residency remains on `patient-web` while publication authority resolves through `audsurf_patient_public_entry`. The ingress remains constrained and is not directly browser-visible.
FMTUP_127_SURF_PATIENT_APPOINTMENTS_V1,surf_patient_appointments,audsurf_patient_authenticated_portal,rf_patient_appointments,patient,partial,read_only,degraded,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING,"The fused tuple is generated directly from the current inventory, gateway, frontend, design, runtime, and shell authority inputs."
FMTUP_127_SURF_PATIENT_EMBEDDED_SHELL_V1,surf_patient_embedded_shell,audsurf_patient_transaction_recovery,rf_patient_embedded_channel,patient,blocked,recovery_only,blocked,MFV_127_ACCESSIBILITY_BLOCKED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING,Shell residency remains on `patient-web` while publication authority resolves through `audsurf_patient_transaction_recovery`.
