surface_id,persona_id,persona,sub_persona,audience_tier,base_audience_tier,purpose_of_use,shell_type,shell_ownership_mode,channel_profile,ingress_channel,ingress_channel_id,route_family_id,route_family,surface_name,owning_blueprints,governing_objects,control_plane_rules,identity_posture,visibility_policy_posture,primary_jobs_to_be_done,allowed_mutations,continuity_expectations,degraded_recovery_states,external_dependency_touchpoints,scope_posture,notes,source_refs
surf_patient_intake_web,patient_anonymous_intake,Patient,Anonymous intake starter,patient_public,patient_public,public_status,patient,primary_owner,browser,Browser web,browser_web,rf_intake_self_service,Intake / self-service form (derived),Patient intake entry,blueprint-init.md; phase-0-the-foundation-protocol.md,SubmissionEnvelope; IntakeConvergenceContract; SubmissionPromotionRecord,AudienceVisibilityCoverage(patient_public); VisibilityProjectionPolicy,Anonymous or partially identified patient.,Public-safe summary and placeholder posture only.,"Start intake, capture evidence, and submit safely into the governed request pipeline.",Create or update SubmissionEnvelope fields and submit for promotion.,"Keep the same intake lineage across web, later sign-in, and later recovery.","Fallback review, artifact quarantine, or safe receipt in place.",Optional NHS login uplift; Binary artifact store,baseline,Derived route label pending later endpoint hardening.,blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#12.1 Mandatory audience tiers
surf_patient_intake_phone,phone_ivr_caller,Patient,Phone or IVR caller,patient_public,patient_public,public_status,patient,primary_owner,constrained_browser,Telephony / IVR,telephony_ivr,rf_intake_telephony_capture,Intake / telephony capture (derived),Telephony / IVR intake capture,blueprint-init.md; phase-0-the-foundation-protocol.md,SubmissionEnvelope; SubmissionIngressRecord; IntakeConvergenceContract; SubmissionPromotionRecord,Telephony parity rule; AudienceVisibilityCoverage(patient_public); SubmissionPromotionRecord,Phone-origin patient identification or partial identity capture.,Public-safe summary only until richer proof exists.,Start or continue the same governed intake lineage through phone or IVR.,Append telephony ingress records and trigger secure-link continuation when needed.,"Preserve the same intake lineage across phone, SMS continuation, and later digital recovery.",Telephony outage or fallback review without creating a separate support-only queue.,Telephony adapter; Optional SMS follow-up,baseline,Channel profile is mapped to constrained_browser posture by assumption because Phase 0 exposes no fourth shell channel profile.,blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#0.2 Continuity key and shell law
surf_patient_secure_link_recovery,patient_grant_scoped_recovery,Patient,Grant-scoped patient resuming a specific lineage,patient_grant_scoped,patient_public,secure_link_recovery,patient,primary_owner,constrained_browser,SMS continuation / secure-link continuation,sms_secure_link_continuation,rf_patient_secure_link_recovery,Secure-link recovery and claim resume (derived),Secure-link recovery and claim resume,patient-account-and-communications-blueprint.md; phase-0-the-foundation-protocol.md,AccessGrantRedemptionRecord; PatientSecureLinkSessionProjection; PatientActionRecoveryProjection,RouteFreezeDisposition; ReleaseRecoveryDisposition; VisibilityProjectionPolicy,Minimal grant or verified continuation before full authenticated uplift.,Summary-only or suppressed-recovery-only visibility until route checks pass.,Resume or recover a specific lineage action through a minimal secure-link grant.,"Redeem secure link, claim or re-auth, and continue a route-bound action.",Keep the same request or child-route anchor through redemption and step-up.,"Expired link, identity hold, placeholder-only, or safe-browser handoff posture.",SMS secure-link delivery; NHS login step-up,baseline,This row closes the patient public vs grant-scoped confusion without inventing a second patient shell.,"patient-account-and-communications-blueprint.md#Patient audience coverage contract; phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm"
surf_patient_home,patient_authenticated_portal,Patient,Authenticated portal user,patient_authenticated,patient_authenticated,authenticated_self_service,patient,primary_owner,browser,Browser web,browser_web,rf_patient_home,Home,Patient home and spotlight,patient-portal-experience-architecture-blueprint.md; patient-account-and-communications-blueprint.md,PatientPortalEntryProjection; PatientHomeProjection; PatientSpotlightDecisionProjection,PatientDegradedModeProjection; PatientTrustCueContract,Signed-in patient self-service posture.,Authenticated summary and orientation only after current visibility and continuity checks pass.,"Orient the patient, surface the dominant next safe action, and preserve a stable portal shell.",No direct mutation; launch the next safe child action from the current shell.,"Preserve spotlight, nav return, and selected anchor through refresh and child work.","Read-only, placeholder, or bounded recovery posture in the same shell.",NHS login; Notification delivery rails,baseline,,patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology; patient-account-and-communications-blueprint.md#Patient home contract
surf_patient_requests,patient_authenticated_portal,Patient,Authenticated portal user,patient_authenticated,patient_authenticated,authenticated_self_service,patient,primary_owner,browser,Browser web,browser_web,rf_patient_requests,Requests,Request list and detail,patient-account-and-communications-blueprint.md,PatientRequestsIndexProjection; PatientRequestLineageProjection; PatientRequestDetailProjection; RouteIntentBinding; CommandSettlementRecord,VisibilityProjectionPolicy; PatientNavReturnContract,Authenticated patient request posture.,"Request rows, detail, and child placeholders are visibility-governed and continuity-bound.","Browse requests, inspect lineage strips, and act on request-bound follow-up work.","Route-bound follow-up such as more-info reply, recovery, or child-work entry.","Stay in the same patient shell while moving between request list, detail, and child routes.","Placeholder-only, stale-row, or recovery-required posture without detached request pages.","Messaging, callback, booking, hub, and pharmacy child projections",baseline,,patient-account-and-communications-blueprint.md#Requests browsing contract; patient-account-and-communications-blueprint.md#Request detail contract
surf_patient_appointments,patient_authenticated_portal,Patient,Authenticated portal user,patient_authenticated,patient_authenticated,authenticated_self_service,patient,primary_owner,browser,Browser web,browser_web,rf_patient_appointments,Appointments,Appointments and manage,patient-account-and-communications-blueprint.md; phase-0-the-foundation-protocol.md,PatientAppointmentManageProjection; PatientManageCapabilitiesProjection; ExternalConfirmationGate; RouteIntentBinding; CommandSettlementRecord,BookingContinuityEvidenceProjection; ReservationAuthority,Authenticated patient manage posture.,Booking manage posture is subordinate to authoritative reservation and settlement truth.,"Inspect appointment truth, manage it honestly, and continue waitlist or hub-managed work without leaving the shell.","Manage appointment, accept waitlist or hub alternative, or continue booking-safe actions under route intent.","Keep the same request shell and selected option anchor across booking, waitlist, and manage child states.","Pending confirmation, waitlist fallback, read-only, or bounded recovery posture instead of false booked reassurance.",Booking provider adapters; External confirmation gate,baseline,,"phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm; patient-account-and-communications-blueprint.md#Core projections"
surf_patient_health_record,patient_authenticated_portal,Patient,Authenticated portal user,patient_authenticated,patient_authenticated,authenticated_self_service,patient,primary_owner,browser,Browser web,browser_web,rf_patient_health_record,Health record,Patient health record and documents,phase-0-the-foundation-protocol.md; patient-account-and-communications-blueprint.md,PatientRecordOverviewProjection; PatientDocumentLibraryProjection; RecordArtifactParityWitness; ArtifactPresentationContract,VisualizationParityProjection; ArtifactFallbackDisposition,Authenticated patient record posture.,Artifact parity and visibility posture must stay aligned before detail or bytes render.,"Read results, documents, and record updates without losing portal continuity.",No direct clinical mutation; only governed artifact and handoff actions where allowed.,"Preserve return paths to active requests, messages, or appointments while staying in the same patient shell.","Table-only, summary-only, placeholder-only, or artifact recovery posture in place.",Artifact delivery rails; Outbound navigation grants,baseline,,phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm; patient-account-and-communications-blueprint.md#Core projections
surf_patient_messages,patient_authenticated_portal,Patient,Authenticated portal user,patient_authenticated,patient_authenticated,authenticated_self_service,patient,primary_owner,browser,Browser web,browser_web,rf_patient_messages,Messages,Messages and callback thread,callback-and-clinician-messaging-loop.md; patient-account-and-communications-blueprint.md,ConversationThreadProjection; PatientCommunicationVisibilityProjection; RouteIntentBinding; CommandSettlementRecord,ReachabilityAssessmentRecord; PatientExperienceContinuityEvidenceProjection,Authenticated patient communication posture.,"Preview, reply, and callback posture stay subordinate to visibility policy, reachability truth, and settlement evidence.","Read and reply to messages, callback prompts, and patient-visible communication work inside the same shell.","Reply, acknowledge, or act on callback and communication work under route intent and settlement truth.","Keep the same patient shell, thread anchor, and current required action while the conversation settles.","Delivery dispute, read-only, placeholder, or recovery-required thread posture without detached mini-flows.",Messaging providers; Telephony provider,baseline,,phase-0-the-foundation-protocol.md#5.5 Unified care conversation algorithm; callback-and-clinician-messaging-loop.md
surf_patient_embedded_shell,patient_embedded_nhs_app,Patient,Embedded NHS App patient user,patient_embedded_authenticated,patient_authenticated,embedded_authenticated,patient,primary_owner,embedded,Embedded webview / NHS App-style embedded channel,embedded_webview,rf_patient_embedded_channel,Patient embedded channel parity,Embedded patient shell reuse,patient-portal-experience-architecture-blueprint.md; phase-0-the-foundation-protocol.md,PatientEmbeddedSessionProjection; PatientEmbeddedNavEligibility; ChannelReleaseFreezeRecord,ReleaseApprovalFreeze; RouteFreezeDisposition; AudienceSurfaceRuntimeBinding,Authenticated patient in a trusted embedded host context.,Embedded posture narrows capability without changing shell ownership.,Use the same patient portal sections under embedded host constraints and release controls.,"The same route-bound patient actions as browser mode, but only when embedded validation remains current.","Preserve shell identity while chrome, bridge capability, and artifact behavior narrow.","Safe-browser handoff, read-only, placeholder, or blocked posture inside the same shell.",Embedded host bridge; Release and channel freezes,deferred,Deferred baseline expansion only.,"patient-portal-experience-architecture-blueprint.md#Control priorities; phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm"
surf_clinician_workspace,clinician_designated_reviewer,Staff,Clinician or designated reviewer in Clinical Workspace,origin_practice_clinical,origin_practice,operational_execution,staff,primary_owner,browser,Browser web,browser_web,rf_staff_workspace,"/workspace, /workspace/queue/:queueKey, /workspace/task/:taskId",Clinical Workspace queue and task canvas,staff-workspace-interface-architecture.md; staff-operations-and-support-blueprint.md,WorkspaceTrustEnvelope; ReviewActionLease; StaffWorkspaceConsistencyProjection,VisibilityProjectionPolicy; AudienceSurfaceRuntimeBinding,Practice-scoped clinician review posture.,Clinical review detail is bounded by origin-practice coverage and current review trust.,"Scan the queue, open the right task, and move to a safe human decision quickly.","Claim, review, and route work under the current review lease and trust envelope.","Stay in the same workspace shell while queue, task, and selected anchor remain continuity-compatible.","Observe-only, reassigned, or recovery-required posture with the last safe task summary preserved.","Staff auth rail; Downstream booking, callback, and pharmacy services",baseline,,staff-workspace-interface-architecture.md#Route family; staff-operations-and-support-blueprint.md#Clinical Workspace specialization
