component_id,display_name,shell_types,route_family_refs,coverage_states,reduced_motion_refs,high_contrast_ref,semantic_surface_refs,keyboard_contract_refs,focus_contract_refs,visualization_fallback_refs,visualization_table_refs
ShellFrame,Shell Frame,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board|rf_governance_shell,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
ShellRail,Shell Rail,patient|staff|operations|governance,rf_staff_workspace|rf_operations_board|rf_governance_shell,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact,KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
ShellHeader,Shell Header,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board|rf_governance_shell,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
SharedStatusStrip,Shared Status Strip,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board|rf_governance_shell,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
PromotedSupportRegionFrame,Promoted Support Region Frame,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_governance_shell,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1,VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
CasePulse,Case Pulse,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1
StateBraid,State Braid,staff|operations|governance,rf_staff_workspace|rf_operations_board|rf_governance_shell,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact,KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
DecisionDock,Decision Dock,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board|rf_governance_shell,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
FreshnessChip,Freshness Chip,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board|rf_governance_shell,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
AmbientStateRibbon,Ambient State Ribbon,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board|rf_governance_shell,complete|degraded,reduced_motion.equivalent|reduced_motion.summary_only_equivalent,MTC_SIGNAL_ATLAS_LIVE_ALL_MODES_V1::high_contrast_supported,semantic_surface.rf_patient_home.root|semantic_surface.rf_patient_home.status|semantic_surface.rf_patient_home.artifact|semantic_surface.rf_staff_workspace.root|semantic_surface.rf_staff_workspace.status|semantic_surface.rf_staff_workspace.artifact|semantic_surface.rf_operations_board.root|semantic_surface.rf_operations_board.status|semantic_surface.rf_operations_board.artifact|semantic_surface.rf_governance_shell.root|semantic_surface.rf_governance_shell.status|semantic_surface.rf_governance_shell.artifact,KIC_104_RF_PATIENT_HOME_PRIMARY_V1|KIC_104_RF_STAFF_WORKSPACE_PRIMARY_V1|KIC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|KIC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,FTC_104_RF_PATIENT_HOME_RESTORE_V1|FTC_104_RF_PATIENT_HOME_SETTLE_V1|FTC_104_RF_STAFF_WORKSPACE_RESTORE_V1|FTC_104_RF_STAFF_WORKSPACE_SETTLE_V1|FTC_104_RF_OPERATIONS_BOARD_RESTORE_V1|FTC_104_RF_OPERATIONS_BOARD_SETTLE_V1|FTC_104_RF_GOVERNANCE_SHELL_RESTORE_V1|FTC_104_RF_GOVERNANCE_SHELL_SETTLE_V1,VFC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VFC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1,VTC_104_RF_OPERATIONS_BOARD_PRIMARY_V1|VTC_104_RF_GOVERNANCE_SHELL_PRIMARY_V1
