threatId,threatFamily,processingDomain,processingActivity,dataSubjectClass,dataClass,entrySurface,channelProfile,audienceTier,actorScope,purposeOfUse,storageOrTransitBoundary,riskScenario,sourceBlueprintRefs,requiredControls,linkedDpiaBacklogItemRef,mockOrActualState,residualRiskState,ownerRole,reviewTriggerRefs,notes
PRIV-126-001,intake_over_collection_and_attachment_exposure,intake_capture,"Public intake draft capture, evidence upload quarantine, and fallback review handoff.",prospective_patient|patient_delegate,free_text_narrative|attachment_binary|contact_preference|draft_metadata,surf_patient_intake_web|rf_intake_self_service,browser_public,patient_public,ACT_PATIENT_PUBLIC_INTAKE,public_status,browser_ephemeral->submission_envelope->quarantine_and_object_storage,"Intake captures more narrative or attachment detail than the current request path needs, then fallback or recovery states expose broader previews than the governing classification ceiling allows.",blueprint/phase-0-the-foundation-protocol.md#SubmissionEnvelope|blueprint/phase-1-the-red-flag-gate.md#Upload quarantine and fallback review|data/analysis/data_classification_matrix.csv#CLS_ARTIFACT_ART_DERIVATION_PACKAGE,CTRL_126_MINIMUM_NECESSARY_CLASSIFICATION_V1|CTRL_126_UI_TELEMETRY_DISCLOSURE_FENCE_V1,DPIA-126-001,mixed,open,ROLE_PRODUCT_OWNER,RTR_126_SPRINT_PRIVACY_DELTA,"Mock-now evidence is good enough for engineering, but actual retention and processor evidence remain pending."
PRIV-126-002,identity_and_session_leakage,identity_session_bridge,"Secure-link redemption, local session upgrade, NHS login return handling, and wrong-patient repair.",patient,identity_claim_reference|session_token_material|grant_descriptor|masked_contact_claim,rf_patient_secure_link_recovery|rf_patient_home|rf_patient_requests,browser_secure_link|browser_authenticated,patient_grant_scoped|patient_authenticated,ACT_PATIENT_GRANT_RECOVERY|ACT_PATIENT_AUTHENTICATED,secure_link_recovery|authenticated_self_service,opaque_signed_link->gateway->access_grant_service->local_session,"A local session, continuation link, or login bridge exposes the wrong subject, retains stale grant detail, or leaves wrong-patient repair state visible across later renders.",blueprint/phase-2-identity-and-echoes.md#AccessGrant|blueprint/phase-2-identity-and-echoes.md#IdentityRepairFreezeRecord|data/analysis/access_grant_runtime_tuple_manifest.json#runtime_tuples,CTRL_126_SCOPED_MUTATION_AND_ACTING_SCOPE_V1|CTRL_126_CANONICAL_EVENT_MASKING_V1|CTRL_126_ROUTE_RUNTIME_PUBLICATION_PARITY_V1,DPIA-126-002,mixed,bounded,ROLE_PRIVACY_LEAD_PLACEHOLDER,RTR_126_IDENTITY_OR_SECURE_LINK_SCOPE_DELTA|RTR_126_PROVIDER_OR_SUBPROCESSOR_CHANGE,"The simulator-first estate proves the control family now, while live onboarding details remain a later evidence upgrade."
PRIV-126-003,stale_or_widened_visibility_projection,audience_visibility_projection,"Projection materialization across patient, staff, support, operations, hub, governance, and pharmacy shells.",patient|staff_member,task_summary|masked_subject_ref|artifact_descriptor|governed_preview_detail,rf_staff_workspace|rf_support_workspace|rf_operations_board|rf_hub_queue|rf_governance_shell|rf_pharmacy_shell,browser_workspace|browser_support|browser_ops,origin_practice_clinical|support|operations_control|hub_desk|governance_review|servicing_site,ACT_STAFF_SINGLE_ORG|ACT_OPERATIONS_WATCH|ACT_HUB_CROSS_ORG,operational_care_delivery|support_recovery|operational_control|governance_review,projection_read_models->governed_shells,"A stale or mismatched VisibilityProjectionPolicy, AudienceSurfaceRuntimeBinding, or replay restore settlement widens detail across subject, organisation, or purpose-of-use boundaries.",blueprint/phase-0-the-foundation-protocol.md#1.17 VisibilityProjectionPolicy|blueprint/platform-frontend-blueprint.md#AudienceSurfaceRuntimeBinding|blueprint/forensic-audit-findings.md#Finding 95,CTRL_126_VISIBILITY_PROJECTION_POLICY_V1|CTRL_126_ROUTE_RUNTIME_PUBLICATION_PARITY_V1,DPIA-126-003,mixed,open,ROLE_ENGINEERING_LEAD,RTR_126_RELEASE_OR_RUNTIME_TUPLE_CHANGE,This is one of the bounded threat rows derived from control-law and forensic findings rather than from a single named privacy sentence.
PRIV-126-004,audience_overreach_and_acting_scope_failure,audience_visibility_projection,"Projection materialization across patient, staff, support, operations, hub, governance, and pharmacy shells.",patient|staff_member,task_summary|masked_subject_ref|artifact_descriptor|governed_preview_detail,rf_staff_workspace|rf_support_workspace|rf_operations_board|rf_hub_queue|rf_governance_shell|rf_pharmacy_shell,browser_workspace|browser_support|browser_ops,origin_practice_clinical|support|operations_control|hub_desk|governance_review|servicing_site,ACT_STAFF_SINGLE_ORG|ACT_OPERATIONS_WATCH|ACT_HUB_CROSS_ORG|ACT_GOVERNANCE_PLATFORM,operational_care_delivery|support_recovery|operational_control|governance_review,route_scope_tuple->mutation_gate->projection_materialization,"Support, hub, servicing-site, operations, or governance users receive broader subject or organisation coverage because purpose-of-use drift or acting-scope binding is weak or stale.",blueprint/staff-operations-and-support-blueprint.md|data/analysis/acting_scope_tuple_matrix.csv|data/analysis/route_to_scope_requirements.csv,CTRL_126_SCOPED_MUTATION_AND_ACTING_SCOPE_V1|CTRL_126_VISIBILITY_PROJECTION_POLICY_V1|CTRL_126_MINIMUM_NECESSARY_CLASSIFICATION_V1,DPIA-126-003,mixed,bounded,ROLE_ENGINEERING_LEAD,RTR_126_RELEASE_OR_RUNTIME_TUPLE_CHANGE|RTR_126_BREAK_GLASS_OR_INVESTIGATION_SCOPE_DELTA,"Audience separation is a control-plane problem, not a shell-layout or continuity problem."
PRIV-126-005,telemetry_event_and_debug_disclosure,observability_and_audit,"Canonical events, UI telemetry, structured logs, diagnostics, and immutable audit links.",patient|staff_member|operator,event_descriptor|masked_subject_ref|route_descriptor|audit_link,rf_patient_home|rf_staff_workspace|rf_operations_board|rf_governance_shell,browser|internal_event_bus|worker_log,patient_authenticated|support|operations_control|governance_review,ACT_PATIENT_AUTHENTICATED|ACT_STAFF_SINGLE_ORG|ACT_OPERATIONS_WATCH,authenticated_self_service|support_recovery|operational_control|governance_review,ui->gateway_observation->runtime_event_spine->audit_ledger,"Raw PHI, contact values, or identity claims leak through UI telemetry, canonical events, browser-visible diagnostics, or structured logs because disclosure fences or masking rules drift.",blueprint/platform-frontend-blueprint.md#UITelemetryDisclosureFence|blueprint/phase-2-identity-and-echoes.md#Raw identity values are never emitted on the bus|data/analysis/audit_event_disclosure_matrix.csv#EV_CANONICAL_EVENT_BUS,CTRL_126_UI_TELEMETRY_DISCLOSURE_FENCE_V1|CTRL_126_CANONICAL_EVENT_MASKING_V1|CTRL_126_ROUTE_RUNTIME_PUBLICATION_PARITY_V1,DPIA-126-004,mixed,bounded,ROLE_SECURITY_LEAD,RTR_126_TELEMETRY_SCHEMA_OR_DEBUG_SCOPE_DELTA,This threat explicitly closes the gap where event privacy was implied but not machine-readable.
PRIV-126-006,communications_and_contact_route_privacy_drift,communications_and_reachability,"Callback, notification, bounce, resend, and transcription handling across patient and staff journeys.",patient,contact_route_descriptor|message_preview|transcript_fragment|reachability_status,rf_patient_messages|rf_patient_secure_link_recovery|rf_staff_workspace,browser_authenticated|telephony|notification_worker,patient_authenticated|support|origin_practice_operations,ACT_PATIENT_AUTHENTICATED|ACT_STAFF_SINGLE_ORG,authenticated_self_service|support_recovery|operational_care_delivery,contact_route_snapshot_store->notification_or_telephony_processors,"A preview, resend, bounce workflow, or transcription review reuses stale contact-route evidence or exposes more message content than the current repair and minimization rules permit.",blueprint/callback-and-clinician-messaging-loop.md|data/analysis/contact_route_snapshot_manifest.json#repair_journeys,CTRL_126_CONTACT_ROUTE_SNAPSHOT_REPAIR_V1|CTRL_126_MINIMUM_NECESSARY_CLASSIFICATION_V1|CTRL_126_CANONICAL_EVENT_MASKING_V1,DPIA-126-005,mixed,open,ROLE_SERVICE_OWNER_OPERATIONS_REVIEWER,RTR_126_PROVIDER_OR_SUBPROCESSOR_CHANGE|RTR_126_SPRINT_PRIVACY_DELTA,"Current repair flows are well-defined, but live supplier and processor evidence are still outstanding."
PRIV-126-007,cross_org_and_external_adapter_disclosure,external_adapter_exchange,"Local booking, network coordination, pharmacy, telephony, MESH, and IM1 adapter exchanges.",patient,appointment_descriptor|organisation_routing_ref|pharmacy_handoff_descriptor|adapter_payload_reference,rf_patient_appointments|rf_hub_case_management|rf_pharmacy_shell,browser_authenticated|internal_adapter|mesh_like_transport,patient_authenticated|hub_desk|servicing_site|pharmacy_console,ACT_PATIENT_AUTHENTICATED|ACT_HUB_CROSS_ORG|ACT_STAFF_SINGLE_ORG,authenticated_self_service|operational_care_delivery|coordination,gateway_surface->application_core->external_adapter_boundary,"Cross-organisation and external-adapter flows disclose more patient, routing, or operational detail than the specific supplier capability, trust boundary, or purpose-of-use row permits.",prompt/126.md#cross-organisation and external-adapter disclosure risk|data/analysis/gateway_surface_manifest.json#boundary_rows|data/analysis/runtime_topology_manifest.json#trust_zone_boundaries,CTRL_126_GATEWAY_ADAPTER_BOUNDARY_V1|CTRL_126_VISIBILITY_PROJECTION_POLICY_V1,DPIA-126-006,mixed,blocked_by_unknown,ROLE_PRIVACY_LEAD_PLACEHOLDER,RTR_126_PROVIDER_OR_SUBPROCESSOR_CHANGE,"Residual risk remains blocked_by_unknown until live processors, transfers, and provider contracts are named."
PRIV-126-008,frozen_bundle_legal_hold_and_break_glass_excess_access,frozen_evidence_and_investigation,"Frozen bundle handling, legal hold, fallback review, support replay, and investigation exports.",patient|staff_member,frozen_artifact_bundle|investigation_note|masked_replay_detail|audit_export,rf_support_workspace|rf_governance_shell|rf_operations_drilldown,browser_support|browser_governance|governed_export,support|governance_review|operations_control,ACT_STAFF_SINGLE_ORG|ACT_OPERATIONS_WATCH|ACT_GOVERNANCE_PLATFORM,support_recovery|investigation_break_glass|governance_review,evidence_store->investigation_scope_envelope->governed_export,"A frozen bundle, legal hold, or break-glass replay path exposes more evidence than the current investigation envelope, expiry window, or export ceiling allows.","blueprint/phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay|data/analysis/break_glass_scope_rules.json#rules|data/analysis/data_classification_matrix.csv#CLS_ARTIFACT_ART_AUDIT_REPLAY_BUNDLE",CTRL_126_BREAK_GLASS_SCOPE_ENVELOPE_V1|CTRL_126_FROZEN_BUNDLE_AND_EXPORT_GOVERNANCE_V1,DPIA-126-007,mixed,bounded,ROLE_SERVICE_OWNER_OPERATIONS_REVIEWER,RTR_126_BREAK_GLASS_OR_INVESTIGATION_SCOPE_DELTA,Break-glass now appears as an explicit DPIA control family with review and expiry burden.
PRIV-126-009,embedded_and_constrained_browser_privacy_drift,embedded_and_constrained_browser,"Embedded bridge, constrained browser handoff, artifact preview, deep links, and hosted channel telemetry.",patient,route_descriptor|artifact_mode_descriptor|masked_subject_ref|host_compatibility_state,rf_patient_home|rf_patient_requests|rf_patient_appointments,embedded_patient_channel|constrained_browser,patient_embedded_authenticated,ACT_PATIENT_EMBEDDED,embedded_authenticated,embedded_host->gateway_surface->artifact_presentation_shell,"A constrained or embedded browser inherits standalone deep-link, artifact, or telemetry behavior and therefore exposes more route or subject detail than the channel contract permits.",blueprint/phase-7-inside-the-nhs-app.md|data/analysis/audit_event_disclosure_matrix.csv#EV_UI_TELEMETRY_EMBEDDED,CTRL_126_EMBEDDED_CHANNEL_PRIVACY_POSTURE_V1|CTRL_126_UI_TELEMETRY_DISCLOSURE_FENCE_V1|CTRL_126_ROUTE_RUNTIME_PUBLICATION_PARITY_V1,DPIA-126-008,actual_pending,blocked_by_unknown,ROLE_ENGINEERING_LEAD,RTR_126_RELEASE_OR_RUNTIME_TUPLE_CHANGE|RTR_126_PROVIDER_OR_SUBPROCESSOR_CHANGE,"The repo only carries compatibility seams here, so live host and processor evidence remain explicitly pending."
PRIV-126-010,assistive_and_model_backed_privacy_risk,assistive_and_model_governance,"Assistive shadow mode, visible assistance, provenance capture, rationale rendering, and draft insertion controls.",patient|staff_member,prompt_context_descriptor|rationale_fragment|candidate_hash|provenance_pointer,rf_staff_workspace|rf_support_workspace|rf_governance_shell,browser_workspace|sidecar_assistive_service,origin_practice_clinical|support|governance_review|assistive_adjunct,ACT_STAFF_SINGLE_ORG|ACT_GOVERNANCE_PLATFORM,operational_care_delivery|support_recovery|assistive_companion|governance_review,workspace_context->assistive_shadow_buffer->provenance_and_review_store,"Prompt context, rationale snippets, replay logs, or draft insertions expose more subject detail than shadow mode, provenance, and current review posture permit; the DPIA rerun does not happen when it should.",blueprint/phase-8-the-assistive-layer.md|prompt/126.md#assistive and model-backed privacy risk,CTRL_126_ASSISTIVE_PROVENANCE_AND_RERUN_V1|CTRL_126_VISIBILITY_PROJECTION_POLICY_V1|CTRL_126_UI_TELEMETRY_DISCLOSURE_FENCE_V1,DPIA-126-009,actual_pending,blocked_by_unknown,ROLE_PRIVACY_LEAD_PLACEHOLDER,RTR_126_ASSISTIVE_OR_MODEL_DELTA,This explicitly closes the gap where assistive privacy rerun logic would otherwise stay deferred to later.
