webhook_row_id,webhook_profile_ref,provider_vendor,environment,endpoint_kind,configured_on,method,signature_scheme,retry_profile,out_of_order_risk,replay_guard,authoritative_truth_note,source_refs,notes
HOOK_MOCK_ANSWER,wh_mock_inbound_stack,Vecells Internal Voice Twin,local_mock,answer_or_route_intake,mock carrier number profile,POST,vecells-hmac-sha256,immediate_plus_15s_plus_90s,yes,effect-key-plus-signature-window,Generates canonical telephony event only. Never implies evidence ready.,"blueprint/phase-2-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence",Equivalent of provider answer webhook for IVR start.
HOOK_MOCK_STATUS,wh_mock_status_and_recording,Vecells Internal Voice Twin,shared_dev,call_status,mock carrier event emitter,POST,vecells-hmac-sha256,duplicate_and_disorder_fixture_enabled,yes,adapter-receipt-checkpoint,Transport or call-end status does not settle callback or request truth.,blueprint/callback-and-clinician-messaging-loop.md,"Used for duplicate, dropped-call, and replay tests."
HOOK_MOCK_RECORDING,wh_mock_status_and_recording,Vecells Internal Voice Twin,shared_dev,recording_status,mock carrier recording policy,POST,vecells-hmac-sha256,15s_plus_120s,yes,recording-artifact-hash-plus-call-id,Recording availability is weaker than evidence readiness.,"blueprint/phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation",Feeds recording_expected to recording_available transitions.
HOOK_MOCK_TRANSCRIPT,wh_mock_status_and_recording,Vecells Internal Voice Twin,shared_dev,transcript_hook,mock transcript worker,POST,vecells-hmac-sha256,60s_plus_manual_replay,yes,transcript-job-ref-plus-coverage-hash,Transcript results are derivations and never replace source audio.,"blueprint/phase-0-the-foundation-protocol.md; blueprint/phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation",Keeps transcript readiness separate from promotion readiness.
HOOK_MOCK_CONTINUATION,wh_mock_continuation_sms,Vecells Internal Signal Fabric,local_mock,continuation_sms_dispatch,continuation dispatcher,POST,vecells-hmac-sha256,single_retry_then_repair_queue,no,access-grant-supersession-check,Dispatch acknowledgement does not prove patient redemption.,"blueprint/phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation",Continuation uses AccessGrant semantics and must not reopen superseded links.
HOOK_TWILIO_VOICE_URL,wh_provider_like_twilio,Twilio,provider_like_preprod,voice_url,IncomingPhoneNumber VoiceUrl,POST,X-Twilio-Signature,provider-managed-plus-adapter-dedupe,yes,signature-validation-plus-receipt-checkpoint,Twilio voice callbacks feed canonical events only after adapter validation.,https://www.twilio.com/docs/usage/webhooks/webhooks-security; https://www.twilio.com/docs/phone-numbers/api/incomingphonenumber-resource,Maps Twilio answer flow into the same internal event seam as mock mode.
HOOK_TWILIO_RECORDING,wh_provider_like_twilio,Twilio,provider_like_preprod,recording_status_callback,Twilio voice config,POST,X-Twilio-Signature,provider-managed-plus-adapter-dedupe,yes,recording-sid-plus-call-id,"Recording events update availability, not request completion.",https://www.twilio.com/docs/voice/api/recording,Feeds the same recording availability state machine as mock mode.
HOOK_VONAGE_ANSWER_EVENT,wh_provider_like_vonage,Vonage,provider_like_preprod,answer_and_event,Application answer_url and event_url,POST,application-signature-plus-jwt-posture,provider-timeout-plus-adapter-dedupe,yes,request-signature-plus-causal-window,Answer and event callbacks remain transport observations until Vecells settlement occurs.,https://developer.vonage.com/en/getting-started/concepts/webhooks; https://developer.vonage.com/en/application/overview,"Vonage exposes answer_url, event_url, and fallback_answer_url as distinct controls."
HOOK_VONAGE_NUMBER_STATUS,wh_provider_like_vonage,Vonage,provider_like_preprod,voice_status_callback,Numbers API update,POST,application-signature-plus-jwt-posture,provider-managed,yes,msisdn-plus-call-id,Call-end status is weaker than callback resolution or intake promotion.,https://developer.vonage.com/de/api/numbers,Per-number callback configured through `voiceStatusCallback`.
HOOK_VONAGE_RECORD_EVENT,wh_provider_like_vonage,Vonage,provider_like_preprod,record_event_url,Application voice capability,POST,application-signature-plus-jwt-posture,provider-managed,yes,recording-url-plus-call-id,Recording callbacks widen artefact availability but do not establish routine readiness.,https://developer.vonage.com/en/getting-started/concepts/webhooks,Aligns Vonage recording events with the same internal recording state machine.
