event_name,namespace_ref,governing_object_type,event_purpose,replay_semantics,required_refs,default_disclosure_class,gap_closure
auth.login.started,identity,AuthTransaction,lifecycle,append_only,"tenantId|governingAggregateRef|edgeCorrelationId|causalToken|policyVersion",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_RECONSTRUCTABLE_DECISIONS_V1
auth.callback.received,identity,AuthTransaction,lifecycle,idempotent_replace,"tenantId|governingAggregateRef|edgeCorrelationId|causalToken|effectKeyRef",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_APPEND_ONLY_HISTORY_V1
auth.callback.received,identity,AuthTransaction,lifecycle,idempotent_replace,"routeQueryString|authorizationCode|tokenDigestRef",operational_masked,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_ROUTE_LOCAL_MASKING_V1
auth.session.created,identity,Session,lifecycle,append_only,"sessionRef|decisionRef|subjectRef|sessionEpoch",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_RECONSTRUCTABLE_DECISIONS_V1
auth.session.ended,identity,Session,settlement,superseding,"sessionRef|decisionRef|reasonCodes",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_RECONSTRUCTABLE_DECISIONS_V1
auth.session.revoked,identity,Session,settlement,superseding,"sessionRef|revocationReason|reasonCodes",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_RECONSTRUCTABLE_DECISIONS_V1
identity.patient.match_attempted,identity,PatientLinkDecision,lifecycle,append_only,"subjectRef|candidateSetRef|policyVersion",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_RECONSTRUCTABLE_DECISIONS_V1
identity.patient.matched,identity,PatientLinkDecision,settlement,append_only,"subjectRef|patientLinkRef|identityBindingRef|reasonCodes",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_RECONSTRUCTABLE_DECISIONS_V1
identity.patient.ambiguous,identity,PatientLinkDecision,policy,append_only,"subjectRef|candidateSetRef|ambiguityReasonCodes",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_RECONSTRUCTABLE_DECISIONS_V1
identity.capability.changed,identity,CapabilityDecision,policy,append_only,"decisionRef|routeProfileRef|policyVersion|reasonCodes",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_RECONSTRUCTABLE_DECISIONS_V1
identity.capability.denied,identity,CapabilityDecision,policy,append_only,"decisionRef|routeProfileRef|denyReasonCodes",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_RECONSTRUCTABLE_DECISIONS_V1
identity.capability.denied,identity,CapabilityDecision,observability,append_only,"log|trace|metric|maskedReasonCodes",operational_masked,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_OBSERVABILITY_SCRUBBING_V1
identity.age.restricted,identity,CapabilityDecision,policy,append_only,"decisionRef|agePolicyRef|routeProfileRef",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_RECONSTRUCTABLE_DECISIONS_V1
identity.binding.created,identity,IdentityBinding,lifecycle,append_only,"identityBindingRef|subjectBindingVersionRef|reasonCodes",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_RECONSTRUCTABLE_DECISIONS_V1
identity.binding.settled,identity,IdentityBinding,settlement,superseding,"identityBindingRef|subjectBindingVersionRef|reasonCodes",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_RECONSTRUCTABLE_DECISIONS_V1
identity.binding.verified,identity,IdentityBinding,settlement,superseding,"identityBindingRef|subjectBindingVersionRef|verificationLevel",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_RECONSTRUCTABLE_DECISIONS_V1
identity.binding.superseded,identity,IdentityBinding,settlement,superseding,"identityBindingRef|supersededByBindingRef|reasonCodes",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_APPEND_ONLY_HISTORY_V1
identity.binding.corrected,identity,IdentityBinding,settlement,superseding,"identityBindingRef|repairCaseRef|releaseSettlementRef",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_REPAIR_CLAIM_EVENTS_V1
identity.binding.revoked,identity,IdentityBinding,settlement,superseding,"identityBindingRef|revocationReason|reasonCodes",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_REPAIR_CLAIM_EVENTS_V1
identity.repair_signal.recorded,identity,IdentityRepairCase,recovery,append_only,"repairSignalRef|evidenceRefs|reasonCodes",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_REPAIR_CLAIM_EVENTS_V1
identity.repair_case.opened,identity,IdentityRepairCase,recovery,append_only,"repairCaseRef|reportedBy|reasonCodes",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_REPAIR_CLAIM_EVENTS_V1
identity.repair_case.freeze_committed,identity,IdentityRepairCase,recovery,append_only,"repairCaseRef|freezeRecordRef|lineageFenceRef",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_REPAIR_CLAIM_EVENTS_V1
identity.repair_branch.quarantined,identity,IdentityRepairCase,recovery,append_only,"repairCaseRef|branchRef|quarantineReason",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_REPAIR_CLAIM_EVENTS_V1
identity.repair_case.corrected,identity,IdentityRepairCase,settlement,superseding,"repairCaseRef|authoritySettlementRef|reasonCodes",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_REPAIR_CLAIM_EVENTS_V1
identity.repair_release.settled,identity,IdentityRepairCase,settlement,superseding,"repairCaseRef|releaseSettlementRef|reasonCodes",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_REPAIR_CLAIM_EVENTS_V1
identity.repair_case.closed,identity,IdentityRepairCase,settlement,superseding,"repairCaseRef|closedBy|reasonCodes",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_REPAIR_CLAIM_EVENTS_V1
identity.request.claim.started,identity,RequestLineage,settlement,idempotent_replace,"requestLineageRef|routeIntentRef|grantRef|sessionRef",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_REPAIR_CLAIM_EVENTS_V1
identity.request.claim.confirmed,identity,RequestLineage,settlement,idempotent_replace,"requestLineageRef|bindingVersionRef|grantRedemptionRef|claimSettlementRef",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_REPAIR_CLAIM_EVENTS_V1
identity.request.claim.denied,identity,RequestLineage,policy,idempotent_replace,"requestLineageRef|denyReasonCodes|routeIntentRef",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_REPAIR_CLAIM_EVENTS_V1
identity.request.ownership.uplifted,identity,RequestLineage,settlement,superseding,"requestLineageRef|subjectBindingVersionRef|patientRefDerivationSettlementRef",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_REPAIR_CLAIM_EVENTS_V1
identity.pds.enrichment.requested,identity,PdsEnrichmentDecision,policy,idempotent_replace,"pdsAccessDecisionRef|legalBasisRef|routeProfileRef",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_RECONSTRUCTABLE_DECISIONS_V1
identity.pds.enrichment.succeeded,identity,PdsEnrichmentDecision,settlement,idempotent_replace,"pdsAccessDecisionRef|demographicSnapshotRef|provenanceRef",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_RECONSTRUCTABLE_DECISIONS_V1
identity.pds.enrichment.denied,identity,PdsEnrichmentDecision,policy,idempotent_replace,"pdsAccessDecisionRef|denyReasonCodes|featureFlagRef",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_RECONSTRUCTABLE_DECISIONS_V1
identity.pds.change_signal.recorded,identity,PdsEnrichmentDecision,lifecycle,append_only,"changeSignalRef|refreshRequestRef|provenanceRef",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_RECONSTRUCTABLE_DECISIONS_V1
access.grant.issued,access,AccessGrant,settlement,append_only,"grantRef|scopeEnvelopeRef|policyVersion|reasonCodes",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_REPAIR_CLAIM_EVENTS_V1
access.grant.redeemed,access,AccessGrant,settlement,idempotent_replace,"grantRef|redemptionRef|routeIntentRef|reasonCodes",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_REPAIR_CLAIM_EVENTS_V1
access.grant.revoked,access,AccessGrant,settlement,superseding,"grantRef|revocationReason|reasonCodes",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_REPAIR_CLAIM_EVENTS_V1
access.grant.rotated,access,AccessGrant,settlement,superseding,"grantRef|successorGrantRef|reasonCodes",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_REPAIR_CLAIM_EVENTS_V1
access.grant.superseded,access,AccessGrant,settlement,superseding,"predecessorGrantRef|successorGrantRef|supersessionRef|reasonCodes",audit_safe,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_REPAIR_CLAIM_EVENTS_V1
telephony.continuation.context.created,telephony,TelephonyContinuationContext,continuity,append_only,"continuationContextRef|callSessionRef|maskedCallerRef",operational_masked,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_RECONSTRUCTABLE_DECISIONS_V1
telephony.continuation.context.resolved,telephony,TelephonyContinuationContext,continuity,superseding,"continuationContextRef|grantRef|resolutionReasonCodes",operational_masked,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_AUDIT_RECONSTRUCTABLE_DECISIONS_V1
