track_id,owner_lane,track_family,readiness_state,environment,risk_class,launch_packet_ref,primary_dependency,blocking_reason
par_374,manifest_and_onboarding_contracts,freeze_manifest,ready,local_nonprod_contract_freeze,manifest_exposure,data/launchpacks/373_track_launch_packet_374.json,data/contracts/372_phase6_release_readiness_registry.json,none
par_375,embedded_trust_and_sso_contracts,freeze_identity_context,ready,local_nonprod_contract_freeze,identity_trust,data/launchpacks/373_track_launch_packet_375.json,blueprint/phase-2-identity-and-echoes.md,none
par_376,artifact_accessibility_release_contracts,freeze_release_guardrails,ready,local_nonprod_contract_freeze,release_assurance,data/launchpacks/373_track_launch_packet_376.json,data/contracts/372_phase6_rollout_guardrail_pack.json,none
par_377,manifest_runtime_service,backend_manifest,ready,local_nonprod_backend,manifest_exposure,data/launchpacks/373_track_launch_packet_377.json,par_374,none
par_378,embedded_context_runtime,backend_context,ready,local_nonprod_backend,identity_trust,data/launchpacks/373_track_launch_packet_378.json,par_375|par_377,none
par_379,sso_identity_runtime,backend_sso,ready,local_nonprod_backend,identity_trust,data/launchpacks/373_track_launch_packet_379.json,par_375|par_378,none
par_380,deeplink_and_return_runtime,backend_deeplink,blocked,local_nonprod_backend,route_continuity,,par_374|par_377|par_378,WAIT_FOR_374_377_378
par_381,bridge_capability_runtime,backend_bridge,blocked,local_nonprod_backend,bridge_capability,,par_375|par_376|par_378,WAIT_FOR_375_376_378
par_382,artifact_and_outbound_runtime,backend_artifact,blocked,local_nonprod_backend,artifact_delivery,,par_376|par_381,WAIT_FOR_376_381
par_383,continuity_evidence_runtime,backend_evidence,blocked,local_nonprod_backend,release_assurance,,par_374|par_376|par_377,WAIT_FOR_374_376_377
par_384,degraded_mode_runtime,backend_recovery,blocked,local_nonprod_backend,patient_safety_copy,,par_374|par_376,WAIT_FOR_374_376
par_385,nhs_app_environment_release,backend_release_pipeline,blocked,external_partner_after_freeze,external_assurance,,par_374|par_376|par_383,WAIT_FOR_374_376_383
par_386,embedded_patient_frontend,frontend_shell,blocked,local_nonprod_frontend,embedded_ux,,par_374|par_375,WAIT_FOR_374_375
par_387,embedded_patient_frontend,frontend_navigation,blocked,local_nonprod_frontend,route_continuity,,par_375|par_381,WAIT_FOR_375_381
par_388,embedded_auth_frontend,frontend_sso,blocked,local_nonprod_frontend,identity_trust,,par_375|par_379,WAIT_FOR_375_379
par_389,embedded_patient_frontend,frontend_entry,blocked,local_nonprod_frontend,route_continuity,,par_380,WAIT_FOR_380
par_390,embedded_patient_frontend,frontend_bridge,blocked,local_nonprod_frontend,bridge_capability,,par_381|par_382,WAIT_FOR_381_382
par_391,embedded_patient_frontend,frontend_artifact,blocked,local_nonprod_frontend,artifact_delivery,,par_376|par_382,WAIT_FOR_376_382
par_392,embedded_accessibility_frontend,frontend_accessibility,blocked,local_nonprod_frontend,accessibility_assurance,,par_376,WAIT_FOR_376
par_393,embedded_quality_frontend,frontend_preview,blocked,local_nonprod_frontend,quality_assurance,,par_374|par_375|par_376,WAIT_FOR_374_375_376
par_394,external_environment_configuration,external_configuration,deferred,nhs_app_sandpit,external_onboarding,,par_374|par_377|par_385,WAIT_FOR_374_377_385
par_395,external_environment_configuration,external_configuration,deferred,nhs_app_sandpit_aos,external_onboarding,,par_380|par_385,WAIT_FOR_380_385
par_396,external_environment_configuration,external_configuration,deferred,nhs_app_sandpit_aos,bridge_capability,,par_381|par_385,WAIT_FOR_381_385
par_397,embedded_channel_merge,merge,blocked,local_nonprod_integration,cross_surface_continuity,,par_377|par_382|par_386|par_393,WAIT_FOR_377_382_386_393
par_398,phase7_test_evidence,testing,deferred,local_nonprod_ci,proof_evidence,,par_377|par_378|par_379,WAIT_FOR_377_379
par_399,phase7_test_evidence,testing,deferred,local_nonprod_ci,proof_evidence,,par_380|par_381|par_382|par_392,WAIT_FOR_380_392
par_400,phase7_external_release_evidence,testing,deferred,nhs_app_sandpit_aos,external_assurance,,par_394|par_395|par_396,WAIT_FOR_394_396
par_401,phase7_release_documentation,exit_documentation,deferred,post_implementation_gate,release_assurance,,par_398|par_399|par_400,WAIT_FOR_398_400
par_402,phase7_exit_gate,exit_gate,deferred,post_implementation_gate,release_assurance,,par_401,WAIT_FOR_401
