scenario_id,environment_ring,release_ref,trigger_ref,trigger_class,trigger_state,armed,reason_refs,source_refs
LOCAL_SATISFIED,local,RC_LOCAL_V1,rollback.local.continuity-regression,continuity_control_regression,clear,true,,prompt/097.md; blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
LOCAL_SATISFIED,local,RC_LOCAL_V1,rollback.local.synthetic-journey,critical_synthetic_journey_failure,clear,true,,prompt/097.md; blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
LOCAL_SATISFIED,local,RC_LOCAL_V1,rollback.local.manual-operator,manual_operator_approved,clear,true,,prompt/097.md; blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
LOCAL_ACCEPTED,local,RC_LOCAL_V1,rollback.local.continuity-regression,continuity_control_regression,clear,true,,prompt/097.md; blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
LOCAL_ACCEPTED,local,RC_LOCAL_V1,rollback.local.synthetic-journey,critical_synthetic_journey_failure,clear,true,,prompt/097.md; blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
LOCAL_BLOCKED,local,RC_LOCAL_V1,rollback.local.continuity-regression,continuity_control_regression,clear,true,,prompt/097.md; blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
LOCAL_BLOCKED,local,RC_LOCAL_V1,rollback.local.manual-operator,manual_operator_approved,clear,true,,prompt/097.md; blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
CI_PREVIEW_STALE,ci-preview,RC_CI_PREVIEW_V1,rollback.preview.continuity-regression,continuity_control_regression,clear,true,,prompt/097.md; blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
CI_PREVIEW_STALE,ci-preview,RC_CI_PREVIEW_V1,rollback.preview.manual-operator,manual_operator_approved,clear,true,,prompt/097.md; blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
INTEGRATION_STALE,integration,RC_INTEGRATION_V1,rollback.integration.continuity-regression,continuity_control_regression,clear,true,,prompt/097.md; blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
INTEGRATION_STALE,integration,RC_INTEGRATION_V1,rollback.integration.manual-operator,manual_operator_approved,clear,true,,prompt/097.md; blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
PREPROD_ROLLBACK_REQUIRED,preprod,RC_PREPROD_V1,rollback.preprod.parity-drift,hard_parity_drift,triggered,true,rollback.preprod.parity-drift; rollback.preprod.synthetic-journey; rollback.preprod.manual-operator,prompt/097.md; blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
PREPROD_ROLLBACK_REQUIRED,preprod,RC_PREPROD_V1,rollback.preprod.synthetic-journey,critical_synthetic_journey_failure,triggered,true,rollback.preprod.parity-drift; rollback.preprod.synthetic-journey; rollback.preprod.manual-operator,prompt/097.md; blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
PREPROD_ROLLBACK_REQUIRED,preprod,RC_PREPROD_V1,rollback.preprod.manual-operator,manual_operator_approved,triggered,true,rollback.preprod.parity-drift; rollback.preprod.synthetic-journey; rollback.preprod.manual-operator,prompt/097.md; blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
