artifactId,kind,objectFamily,truthFamily,canonicalOwnerTrack,consumerTracks,authorityRefs,notes
PharmacyCase,object,case,lineage,par_346,par_347; par_348; par_349; par_350; par_352; seq_368,data/contracts/342_phase6_pharmacy_case_schema.json,Canonical durable pharmacy aggregate and lifecycle root.
LineageCaseLink(caseFamily = pharmacy),object,case,lineage,par_346,par_348; par_352; seq_368,data/contracts/342_phase6_pharmacy_case_schema.json; data/contracts/342_phase6_case_state_machine.yaml,Canonical child lineage registration for the pharmacy branch.
ServiceTypeDecision,object,policy,eligibility,par_347,par_346; par_348; par_349,data/contracts/342_phase6_pharmacy_case_schema.json,Service lane and candidate pathway resolution result.
PathwayEligibilityEvaluation,object,policy,eligibility,par_347,par_346; par_348; par_357; seq_369,data/contracts/342_phase6_pharmacy_case_schema.json; data/contracts/342_phase6_rule_pack_schema.json,Replay-safe eligibility record with matched rules and explanation refs.
PharmacyRulePack,object,policy,eligibility,par_347,par_348; par_349; seq_369,data/contracts/342_phase6_rule_pack_schema.json,Immutable effective-dated policy pack.
PathwayDefinition,object,policy,eligibility,par_347,par_348; seq_369,data/contracts/342_phase6_rule_pack_schema.json; data/contracts/342_phase6_pathway_registry.json,Single named pathway contract inside the pack.
PathwayTimingGuardrail,object,policy,eligibility,par_347,par_348; par_349; par_359,data/contracts/342_phase6_rule_pack_schema.json,Delay and safety envelope attached to the selected pathway.
EligibilityExplanationBundle,object,policy,eligibility,par_347,par_357,data/contracts/342_phase6_explanation_bundle_schema.json,Shared explanation family for patient and staff variants.
PharmacyDirectorySnapshot,object,directory,choice_truth,par_348,par_349; par_358; seq_366; seq_369,data/contracts/343_phase6_directory_choice_schema.json,Canonical normalized directory snapshot.
PharmacyDirectorySourceSnapshot,object,directory,choice_truth,par_348,seq_366; seq_369,data/contracts/343_phase6_directory_choice_schema.json,One source observation from a directory adapter execution.
PharmacyProviderCapabilitySnapshot,object,directory,choice_truth,par_348,par_349; par_358; seq_366; seq_369,data/contracts/343_phase6_directory_choice_schema.json,Normalized provider capability and availability posture.
PharmacyChoiceProof,object,choice,choice_truth,par_348,par_349; par_358; seq_369,data/contracts/343_phase6_directory_choice_schema.json,Full valid-choice set plus advisory recommendation frontier.
PharmacyChoiceSession,object,choice,choice_truth,par_348,par_349; par_358; par_359,data/contracts/343_phase6_directory_choice_schema.json,Durable selection and replay anchor for provider choice.
PharmacyConsentRecord,object,choice,choice_truth,par_348,par_349; par_359,data/contracts/343_phase6_directory_choice_schema.json,Durable consent capture and supersession truth.
PharmacyConsentCheckpoint,object,choice,choice_truth,par_348,par_349; par_350; par_359,data/contracts/343_phase6_directory_choice_schema.json,Current consent checkpoint posture bound to choice truth.
PharmacyReferralPackage,object,package,package_truth,par_349,par_350; par_359; seq_369,data/contracts/343_phase6_dispatch_schema.json,Immutable transport-neutral referral package.
PharmacyDispatchPlan,object,dispatch,dispatch_truth,par_350,par_351; par_352; par_359; seq_366; seq_367; seq_369,data/contracts/343_phase6_dispatch_schema.json,Governed dispatch plan bound to one frozen package.
