readiness_case_id,recording_availability,transcriptState,coverageClass,structuredCaptureState,urgentLiveOutcome,identityDestinationPosture,usabilityState,promotionReadiness,routine_submission_allowed,continuation_recommendation,grant_issuance,manual_review_trigger,resulting_call_state,reason_codes
awaiting_recording,expected,not_started,none,not_started,clear,unknown,awaiting_recording,blocked,false,manual_only,no_redeemable_grant,none,recording_expected,awaiting_recording
recording_missing,missing,failed,none,partial,clear,unknown,manual_review_only,blocked,false,manual_only,no_redeemable_grant,recording_missing,recording_missing,recording_missing_blocks_routine
audio_quarantined_transcript_queued,quarantined,queued,none,partial,clear,partial,awaiting_transcript,blocked,false,manual_only,no_redeemable_grant,none,evidence_pending,transcript_not_ready
transcript_partial_structured_gap,verified,partial,partial_utterance,partial,clear,challenge_ok,awaiting_structured_capture,continuation_only,false,continuation_challenge,canonical_access_grant_challenge,none,continuation_eligible,structured_capture_incomplete
urgent_live_before_transcript,expected,not_started,none,not_started,urgent_live_required,unknown,urgent_live_only,blocked,false,manual_only,no_redeemable_grant,urgent_live_without_routine_evidence,urgent_live_only,urgent_live_without_routine_evidence
challenge_continuation_allowed,verified,partial,partial_utterance,sufficient,clear,identity_ok_destination_challenge,awaiting_transcript,continuation_only,false,continuation_challenge,canonical_access_grant_challenge,none,continuation_eligible,challenge_allowed_before_routine
identity_ambiguous_manual_review,verified,ready,clinically_sufficient,sufficient,clear,ambiguous,manual_review_only,blocked,false,manual_only,no_redeemable_grant,identity_ambiguous,manual_followup_required,identity_ambiguous_blocks_continuation
seeded_continuation_ready_to_seed,verified,ready,clinically_sufficient,sufficient,clear,high_assurance_verified_destination,safety_usable,ready_to_seed,false,continuation_seeded_verified,canonical_access_grant_seeded,none,continuation_eligible,seeded_continuation_only
routine_ready,verified,ready,clinically_sufficient,sufficient,clear,high_assurance_verified_destination,safety_usable,ready_to_promote,true,continuation_seeded_verified,canonical_access_grant_seeded,none,evidence_ready,safety_usable_ready_to_promote
transcript_degraded_keyword_only,verified,ready,keyword_only,sufficient,clear,partial,manual_review_only,blocked,false,manual_only,no_redeemable_grant,transcript_degraded,transcript_degraded,coverage_not_clinically_sufficient
contradictory_capture,verified,ready,clinically_sufficient,contradictory,clear,high_assurance_verified_destination,manual_review_only,blocked,false,manual_only,no_redeemable_grant,contradictory_capture,manual_audio_review_required,contradictory_capture_blocks_routine
handset_untrusted_but_evidence_safe,verified,ready,clinically_sufficient,sufficient,clear,high_assurance_untrusted_destination,safety_usable,ready_to_promote,true,continuation_challenge,canonical_access_grant_challenge,handset_untrusted,evidence_ready,handset_untrusted_prevents_seeded_sms
unusable_terminal,expired,failed,none,contradictory,clear,ambiguous,unusable_terminal,blocked,false,manual_only,no_redeemable_grant,recording_missing,closed,unusable_terminal_no_routine
