event_name,namespace_code,owning_context,governing_object_type,event_purpose,compatibility_mode,replay_semantics,schema_version_ref,defect_state,active_producer_context_refs,active_producer_service_refs,legacy_alias_refs,route_family_refs
request.created,request,intake_safety,Request,lifecycle,additive_only,append_only,CESV_REQUEST_CREATED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.updated,request,intake_safety,Request,lifecycle,additive_only,idempotent_replace,CESV_REQUEST_UPDATED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.submitted,request,intake_safety,Request,lifecycle,additive_only,append_only,CESV_REQUEST_SUBMITTED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.evidence.capture.frozen,request,intake_safety,EvidenceCaptureBundle,evidence,additive_only,append_only,CESV_REQUEST_EVIDENCE_CAPTURE_FROZEN_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,object_store.capture.frozen,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.snapshot.created,request,intake_safety,EvidenceSnapshot,evidence,additive_only,append_only,CESV_REQUEST_SNAPSHOT_CREATED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.snapshot.superseded,request,intake_safety,EvidenceSnapshot,evidence,additive_only,superseding,CESV_REQUEST_SNAPSHOT_SUPERSEDED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.evidence.parity.verified,request,intake_safety,EvidenceSummaryParityRecord,evidence,additive_only,append_only,CESV_REQUEST_EVIDENCE_PARITY_VERIFIED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.representation.emitted,request,intake_safety,FhirRepresentationSet,lifecycle,additive_only,append_only,CESV_REQUEST_REPRESENTATION_EMITTED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.representation.superseded,request,intake_safety,FhirRepresentationSet,lifecycle,additive_only,superseding,CESV_REQUEST_REPRESENTATION_SUPERSEDED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.workflow.changed,request,intake_safety,Request,lifecycle,additive_only,append_only,CESV_REQUEST_WORKFLOW_CHANGED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.safety.changed,request,intake_safety,SafetyDecisionRecord,lifecycle,additive_only,append_only,CESV_REQUEST_SAFETY_CHANGED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.identity.changed,request,intake_safety,IdentityBinding,lifecycle,additive_only,append_only,CESV_REQUEST_IDENTITY_CHANGED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.closure_blockers.changed,request,intake_safety,RequestClosureRecord,lifecycle,additive_only,append_only,CESV_REQUEST_CLOSURE_BLOCKERS_CHANGED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.close.evaluated,request,intake_safety,RequestClosureRecord,lifecycle,additive_only,append_only,CESV_REQUEST_CLOSE_EVALUATED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.closed,request,intake_safety,RequestClosureRecord,lifecycle,additive_only,append_only,CESV_REQUEST_CLOSED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.reopened,request,intake_safety,RequestClosureRecord,recovery,additive_only,append_only,CESV_REQUEST_REOPENED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.duplicate.pair_scored,request,intake_safety,DuplicatePairEvidence,lifecycle,additive_only,append_only,CESV_REQUEST_DUPLICATE_PAIR_SCORED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.duplicate.clustered,request,intake_safety,DuplicateResolutionDecision,lifecycle,additive_only,append_only,CESV_REQUEST_DUPLICATE_CLUSTERED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.duplicate.review_required,request,intake_safety,DuplicateResolutionDecision,blocker,additive_only,append_only,CESV_REQUEST_DUPLICATE_REVIEW_REQUIRED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.duplicate.attach_applied,request,intake_safety,DuplicateResolutionDecision,lifecycle,additive_only,append_only,CESV_REQUEST_DUPLICATE_ATTACH_APPLIED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.duplicate.retry_collapsed,request,intake_safety,DuplicateResolutionDecision,lifecycle,additive_only,append_only,CESV_REQUEST_DUPLICATE_RETRY_COLLAPSED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.duplicate.resolved,request,intake_safety,DuplicateResolutionDecision,settlement,new_version_required,append_only,CESV_REQUEST_DUPLICATE_RESOLVED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.duplicate.separated,request,intake_safety,DuplicateResolutionDecision,lifecycle,additive_only,append_only,CESV_REQUEST_DUPLICATE_SEPARATED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.lease.acquired,request,intake_safety,RequestLifecycleLease,lifecycle,additive_only,append_only,CESV_REQUEST_LEASE_ACQUIRED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.lease.released,request,intake_safety,RequestLifecycleLease,lifecycle,additive_only,superseding,CESV_REQUEST_LEASE_RELEASED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.lease.broken,request,intake_safety,RequestLifecycleLease,lifecycle,additive_only,append_only,CESV_REQUEST_LEASE_BROKEN_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
request.lease.takeover_committed,request,intake_safety,RequestLifecycleLease,lifecycle,additive_only,superseding,CESV_REQUEST_LEASE_TAKEOVER_COMMITTED_V1,declared,intake_safety; triage_workspace; booking; hub_coordination; pharmacy; support; platform_runtime,service_command_api,,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace; rf_hub_case_management; rf_pharmacy_console
intake.draft.created,intake,intake_safety,SubmissionEnvelope,lifecycle,additive_only,append_only,CESV_INTAKE_DRAFT_CREATED_V1,declared,intake_safety; communications; support,service_command_api,ingest.draft.created,rf_intake_self_service; rf_intake_telephony_capture; rf_support_ticket_workspace
intake.draft.updated,intake,intake_safety,SubmissionEnvelope,lifecycle,additive_only,idempotent_replace,CESV_INTAKE_DRAFT_UPDATED_V1,declared,intake_safety; communications; support,service_command_api,ingest.draft.updated,rf_intake_self_service; rf_intake_telephony_capture; rf_support_ticket_workspace
intake.ingress.recorded,intake,intake_safety,SubmissionIngressRecord,lifecycle,additive_only,append_only,CESV_INTAKE_INGRESS_RECORDED_V1,declared,intake_safety; communications; support,service_command_api,ingest.ingress.recorded,rf_intake_self_service; rf_intake_telephony_capture; rf_support_ticket_workspace
