obligation_id,dependency_id,dependency_name,dependency_class,baseline_scope,obligation_type,obligation_statement,manual_blocker,future_task_refs,browser_automation_required,candidate_portal_or_console,source_refs
dep_nhs_login_rail_obl_01,dep_nhs_login_rail,NHS login authentication rail,identity_auth,baseline_required,onboarding,Complete NHS login partner onboarding and freeze redirect-URI inventory before live use.,yes,seq_021; seq_023; seq_024; seq_025; seq_039; seq_040,yes,NHS login partner onboarding and OIDC application configuration portals,"phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine; blueprint-init.md#10. Identity, consent, security, and policy; platform-runtime-and-release-blueprint.md#AdapterContractProfile"
dep_nhs_login_rail_obl_02,dep_nhs_login_rail,NHS login authentication rail,identity_auth,baseline_required,clinical_safety,"Store scope selection, consent-denied handling, and clinical-safety evidence as part of the onboarding pack.",yes,seq_021; seq_023; seq_024; seq_025; seq_039; seq_040,yes,NHS login partner onboarding and OIDC application configuration portals,"phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine; blueprint-init.md#10. Identity, consent, security, and policy; platform-runtime-and-release-blueprint.md#AdapterContractProfile"
dep_nhs_login_rail_obl_03,dep_nhs_login_rail,NHS login authentication rail,identity_auth,baseline_required,contract_and_release,"Publish one adapter contract for auth redirect, callback correlation, and subject-binding proof upgrades.",yes,seq_021; seq_023; seq_024; seq_025; seq_039; seq_040,yes,NHS login partner onboarding and OIDC application configuration portals,"phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine; blueprint-init.md#10. Identity, consent, security, and policy; platform-runtime-and-release-blueprint.md#AdapterContractProfile"
dep_pds_fhir_enrichment_obl_01,dep_pds_fhir_enrichment,Optional PDS enrichment seam,patient_data_enrichment,optional_flagged,governance,"Document the legal basis, onboarding state, and tenant flag plan before enabling PDS.",yes,seq_021; seq_023; seq_027; seq_039; seq_040,yes,PDS FHIR sandbox access request and onboarding portals,"phase-2-identity-and-echoes.md#2C. Patient linkage, demographic confidence, and optional PDS enrichment; blueprint-init.md#10. Identity, consent, security, and policy; phase-cards.md#Phase 2 - Identity and Echoes"
dep_pds_fhir_enrichment_obl_02,dep_pds_fhir_enrichment,Optional PDS enrichment seam,patient_data_enrichment,optional_flagged,assurance,Keep PDS evidence subordinate to IdentityBindingAuthority rather than direct patientRef writes.,yes,seq_021; seq_023; seq_027; seq_039; seq_040,yes,PDS FHIR sandbox access request and onboarding portals,"phase-2-identity-and-echoes.md#2C. Patient linkage, demographic confidence, and optional PDS enrichment; blueprint-init.md#10. Identity, consent, security, and policy; phase-cards.md#Phase 2 - Identity and Echoes"
dep_pds_fhir_enrichment_obl_03,dep_pds_fhir_enrichment,Optional PDS enrichment seam,patient_data_enrichment,optional_flagged,assurance,"Treat PDS enablement as a reversible, audited capability toggle with route-level blast-radius awareness.",yes,seq_021; seq_023; seq_027; seq_039; seq_040,yes,PDS FHIR sandbox access request and onboarding portals,"phase-2-identity-and-echoes.md#2C. Patient linkage, demographic confidence, and optional PDS enrichment; blueprint-init.md#10. Identity, consent, security, and policy; phase-cards.md#Phase 2 - Identity and Echoes"
dep_telephony_ivr_recording_provider_obl_01,dep_telephony_ivr_recording_provider,"Telephony, IVR, and call-recording provider",telephony,baseline_required,assurance,"Select a provider that supports webhook correlation, recording availability, and callback evidence capture under stable adapter contracts.",yes,seq_021; seq_022; seq_023; seq_031; seq_032; seq_039; seq_040,yes,"Telephony vendor admin console for account creation, phone numbers, IVR flows, and webhook endpoints","phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; callback-and-clinician-messaging-loop.md#Callback domain"
dep_telephony_ivr_recording_provider_obl_02,dep_telephony_ivr_recording_provider,"Telephony, IVR, and call-recording provider",telephony,baseline_required,clinical_safety,"Bind telephony retention, masking, and clinical-safety hazards into the rollout pack before live use.",yes,seq_021; seq_022; seq_023; seq_031; seq_032; seq_039; seq_040,yes,"Telephony vendor admin console for account creation, phone numbers, IVR flows, and webhook endpoints","phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; callback-and-clinician-messaging-loop.md#Callback domain"
dep_telephony_ivr_recording_provider_obl_03,dep_telephony_ivr_recording_provider,"Telephony, IVR, and call-recording provider",telephony,baseline_required,contract_and_release,"Document failover for recording lag, callback-route repair, and urgent live diversion.",yes,seq_021; seq_022; seq_023; seq_031; seq_032; seq_039; seq_040,yes,"Telephony vendor admin console for account creation, phone numbers, IVR flows, and webhook endpoints","phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; callback-and-clinician-messaging-loop.md#Callback domain"
dep_transcription_processing_provider_obl_01,dep_transcription_processing_provider,Transcript and derived-facts processing provider,transcription,baseline_required,contract_and_release,Version transcript and derivation outputs so readiness decisions stay replayable.,yes,seq_021; seq_022; seq_023; seq_034; seq_035; seq_038; seq_039; seq_040,yes,Transcription vendor admin console or project workspace,"phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"
dep_transcription_processing_provider_obl_02,dep_transcription_processing_provider,Transcript and derived-facts processing provider,transcription,baseline_required,assurance,Demonstrate that original audio remains authoritative and that degraded transcripts fail closed to review.,yes,seq_021; seq_022; seq_023; seq_034; seq_035; seq_038; seq_039; seq_040,yes,Transcription vendor admin console or project workspace,"phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"
dep_transcription_processing_provider_obl_03,dep_transcription_processing_provider,Transcript and derived-facts processing provider,transcription,baseline_required,assurance,Document supplier data-processing and retention boundaries before live transcription starts.,yes,seq_021; seq_022; seq_023; seq_034; seq_035; seq_038; seq_039; seq_040,yes,Transcription vendor admin console or project workspace,"phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"
dep_sms_notification_provider_obl_01,dep_sms_notification_provider,SMS delivery provider,sms,optional_flagged,contract_and_release,"Freeze SMS templates, TTL, and wrong-recipient controls before seeded continuation is enabled.",yes,seq_021; seq_022; seq_023; seq_031; seq_033; seq_039; seq_040,yes,"SMS notification vendor console for sender, webhook, and template setup","phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; callback-and-clinician-messaging-loop.md#Delivery, callback-window, and settlement confidence model; phase-0-the-foundation-protocol.md#Command and adapter effect ledger"
dep_sms_notification_provider_obl_02,dep_sms_notification_provider,SMS delivery provider,sms,optional_flagged,assurance,"Keep send acceptance, delivery evidence, and grant redemption semantically separate in audit and UI.",yes,seq_021; seq_022; seq_023; seq_031; seq_033; seq_039; seq_040,yes,"SMS notification vendor console for sender, webhook, and template setup","phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; callback-and-clinician-messaging-loop.md#Delivery, callback-window, and settlement confidence model; phase-0-the-foundation-protocol.md#Command and adapter effect ledger"
dep_sms_notification_provider_obl_03,dep_sms_notification_provider,SMS delivery provider,sms,optional_flagged,assurance,Route disputed delivery into support repair rather than silent reminder drift.,yes,seq_021; seq_022; seq_023; seq_031; seq_033; seq_039; seq_040,yes,"SMS notification vendor console for sender, webhook, and template setup","phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; callback-and-clinician-messaging-loop.md#Delivery, callback-window, and settlement confidence model; phase-0-the-foundation-protocol.md#Command and adapter effect ledger"
dep_email_notification_provider_obl_01,dep_email_notification_provider,Email and notification delivery provider,email,baseline_required,assurance,Verify sender domains and delivery-webhook correlation before live use.,yes,seq_021; seq_022; seq_023; seq_031; seq_033; seq_039; seq_040,yes,"Email or notification vendor console for sender-domain, templates, and webhook setup",callback-and-clinician-messaging-loop.md#Clinician message domain; phase-5-the-network-horizon.md#Reminder and communication publication; phase-0-the-foundation-protocol.md#Command and adapter effect ledger
dep_email_notification_provider_obl_02,dep_email_notification_provider,Email and notification delivery provider,email,baseline_required,operations,Separate transport acceptance from durable delivery evidence in projections and runbooks.,yes,seq_021; seq_022; seq_023; seq_031; seq_033; seq_039; seq_040,yes,"Email or notification vendor console for sender-domain, templates, and webhook setup",callback-and-clinician-messaging-loop.md#Clinician message domain; phase-5-the-network-horizon.md#Reminder and communication publication; phase-0-the-foundation-protocol.md#Command and adapter effect ledger
dep_email_notification_provider_obl_03,dep_email_notification_provider,Email and notification delivery provider,email,baseline_required,assurance,Bind email delivery to controlled resend and support repair rather than silent success assumptions.,yes,seq_021; seq_022; seq_023; seq_031; seq_033; seq_039; seq_040,yes,"Email or notification vendor console for sender-domain, templates, and webhook setup",callback-and-clinician-messaging-loop.md#Clinician message domain; phase-5-the-network-horizon.md#Reminder and communication publication; phase-0-the-foundation-protocol.md#Command and adapter effect ledger
