runtime_component_id,runtime_component_name,component_kind,flow_lane,owning_bounded_context_refs,runtime_workload_family_ref,governing_object_refs,accepted_command_contract_refs,emitted_event_contract_refs,consumed_event_contract_refs,projection_contract_refs,namespace_refs,store_class,authoritative_truth_role,tenant_scope_mode,data_classification_refs,idempotency_strategy_ref,replay_strategy_ref,external_proof_class,timer_dependency_refs,endpoint_refs,external_dependency_refs,source_refs,notes
svc_api_gateway,API gateway and route-scoped BFF ingress,service,ingress,foundation_runtime_experience,wf_public_edge,GatewayBffSurface; RouteIntentBinding; FrontendContractManifest; AudienceSurfaceRuntimeBinding,MutationCommandContract(route-scoped passthrough),CanonicalEventContract(access.capability.evaluated); CanonicalEventContract(patient.route.intent.bound),CanonicalEventContract(release.runtime.publication.updated); CanonicalEventContract(policy.scope.binding.updated),ProjectionContractVersionSet(route-family active bundle),access; patient; release; policy,cache,Published route and scope boundary only; never domain truth.,public_pre_identity; grant_scoped_subject; tenant_subject_self_service; tenant_org_scoped_staff; cross_org_hub_scope; servicing_site_scope; support_investigation_scope; platform_governance_scope,public_safe; operational_internal_non_phi; security_or_secret_sensitive,IDEMP_BROWSER_COMMAND_PASSTHROUGH,REPLAY_ROUTE_INTENT_REBIND,none,TIM_SESSION_EXPIRY; TIM_ACCESS_GRANT_EXPIRY; TIM_SECURE_LINK_RECOVERY_EXPIRY,triage_more_info_cycle; self_care; admin_resolution; clinician_messaging; callback; local_booking; local_waitlist_continuation; network_hub_coordination; pharmacy_first_referral_loop; patient_contact_route_repair; patient_identity_hold_recovery; support_replay_resend_restore,,platform-runtime-and-release-blueprint.md#Frontend and backend integration contract; 11_gateway_surface_and_runtime_topology_baseline.md,Logical BFF ingress stays route-contract-first and may not join raw stores or call adapters directly.
svc_command_api,Command API and authoritative mutation orchestrator,service,command,foundation_control_plane,wf_command,ScopedMutationGate; CommandActionRecord; CommandSettlementRecord; LifecycleCoordinator,MutationCommandContract(intake.*); MutationCommandContract(triage.*); MutationCommandContract(communication.*); MutationCommandContract(booking.*); MutationCommandContract(hub.*); MutationCommandContract(pharmacy.*); MutationCommandContract(support.*),CanonicalEventContract(request.*); CanonicalEventContract(safety.*); CanonicalEventContract(triage.*); CanonicalEventContract(booking.*); CanonicalEventContract(hub.*); CanonicalEventContract(pharmacy.*); CanonicalEventContract(reachability.*); CanonicalEventContract(confirmation.*); CanonicalEventContract(exception.*),CanonicalEventContract(identity.*); CanonicalEventContract(access.*); CanonicalEventContract(policy.*); CanonicalEventContract(release.*),,request; intake; safety; triage; booking; hub; pharmacy; reachability; exception; confirmation,transactional_domain,"Only writer of canonical aggregates, settlements, blockers, and closure gates.",public_pre_identity; grant_scoped_subject; tenant_subject_self_service; tenant_subject_embedded; tenant_org_scoped_staff; cross_org_hub_scope; servicing_site_scope; support_tenant_delegate; support_investigation_scope; multi_tenant_operational_watch; platform_governance_scope; inherited_from_owner_shell,operational_internal_non_phi; patient_identifying; contact_sensitive; clinical_sensitive; identity_proof_sensitive,IDEMP_MUTATION_COMMAND,REPLAY_COMMAND_SETTLEMENT_CHAIN,review_disposition,TIM_MORE_INFO_REPLY_WINDOW; TIM_CALLBACK_EXPECTATION_WINDOW; TIM_BOOKING_CONFIRMATION_GATE; TIM_HUB_COORDINATION_SLA; TIM_PHARMACY_DISPATCH_PROOF_DEADLINE,urgent_diversion; degraded_acceptance_fallback_review; triage_more_info_cycle; duplicate_review; self_care; admin_resolution; clinician_messaging; callback; local_booking; local_waitlist_continuation; network_hub_coordination; pharmacy_first_referral_loop; patient_contact_route_repair; patient_identity_hold_recovery; support_replay_resend_restore,,phase-0-the-foundation-protocol.md#2.8 ScopedMutationGate; phase-0-the-foundation-protocol.md#2.3 LifecycleCoordinator; platform-runtime-and-release-blueprint.md#MutationCommandContract,"No downstream domain, adapter, or projection service may write canonical request state directly."
svc_projection_worker,Projection worker and rebuild engine,worker,read,foundation_runtime_experience,wf_projection,ProjectionContractFamily; ProjectionContractVersion; ProjectionContractVersionSet; ProjectionQueryContract; LiveUpdateChannelContract,,CanonicalEventContract(patient.projection.updated); CanonicalEventContract(analytics.readiness.updated),CanonicalEventContract(request.*); CanonicalEventContract(triage.*); CanonicalEventContract(booking.*); CanonicalEventContract(hub.*); CanonicalEventContract(pharmacy.*); CanonicalEventContract(communication.*); CanonicalEventContract(reachability.*); CanonicalEventContract(confirmation.*),ProjectionContractFamily(all published route families); ProjectionContractVersionSet(active route tuples),request; triage; booking; hub; pharmacy; patient; communication; reachability; confirmation; analytics,projection_read,Derived audience-safe read truth only; never canonical write authority.,public_pre_identity; grant_scoped_subject; tenant_subject_self_service; tenant_subject_embedded; tenant_org_scoped_staff; cross_org_hub_scope; servicing_site_scope; support_tenant_delegate; support_investigation_scope; multi_tenant_operational_watch; platform_governance_scope; inherited_from_owner_shell,public_safe; operational_internal_non_phi; patient_identifying; clinical_sensitive; audit_investigation_restricted,IDEMP_PROJECTION_CURSOR,REPLAY_PROJECTION_FROM_EVENT_HISTORY,projection_visible,TIM_BOOKING_CONFIRMATION_GATE; TIM_WAITLIST_DEADLINE; TIM_HUB_PATIENT_CHOICE_EXPIRY; TIM_PHARMACY_OUTCOME_RECONCILIATION_WINDOW,urgent_diversion; degraded_acceptance_fallback_review; triage_more_info_cycle; duplicate_review; self_care; admin_resolution; clinician_messaging; callback; local_booking; local_waitlist_continuation; network_hub_coordination; pharmacy_first_referral_loop; patient_contact_route_repair; patient_identity_hold_recovery; support_replay_resend_restore,,platform-runtime-and-release-blueprint.md#ProjectionContractVersionSet; platform-runtime-and-release-blueprint.md#ProjectionQueryContract,Rebuilds from immutable canonical events and contract digests; browser reads never join raw stores client-side.
svc_notification_worker,"Notification, callback, and controlled resend worker",worker,effect,callback_messaging,wf_integration,MessageDispatchEnvelope; MessageDeliveryEvidenceBundle; CallbackAttemptRecord; CallbackResolutionGate,MutationCommandContract(communication.dispatch.*); MutationCommandContract(callback.schedule.*),CanonicalEventContract(communication.delivery.*); CanonicalEventContract(telephony.callback.*); CanonicalEventContract(reachability.*),CanonicalEventContract(communication.*); CanonicalEventContract(reachability.*); CanonicalEventContract(policy.*),ProjectionContractFamily(messages and callback status),communication; telephony; reachability; patient,event_log,External-effect orchestrator only; outcome truth upgrades through evidence bundles and resolution gates.,grant_scoped_subject; tenant_subject_self_service; tenant_org_scoped_staff; support_tenant_delegate; support_investigation_scope,contact_sensitive; clinical_sensitive; operational_internal_non_phi,IDEMP_ADAPTER_EFFECT,REPLAY_ADAPTER_RECEIPT_CHECKPOINT,external_confirmation,TIM_MORE_INFO_REMINDERS; TIM_CALLBACK_EXPECTATION_WINDOW; TIM_CALLBACK_MISSED_WINDOW_REPAIR; TIM_HUB_PRACTICE_ACK_DUE,urgent_diversion; triage_more_info_cycle; self_care; admin_resolution; clinician_messaging; callback; local_waitlist_continuation; network_hub_coordination; patient_contact_route_repair; support_replay_resend_restore,dep_telephony_ivr_recording_provider; dep_sms_notification_provider; dep_email_notification_provider; dep_origin_practice_ack_rail,"callback-and-clinician-messaging-loop.md; phase-0-the-foundation-protocol.md#6.6A Adapter outbox, inbox, and callback replay rule",Transport acceptance never becomes terminal user-visible success without the linked evidence bundle or callback outcome proof.
svc_integration_worker,External adapter and receipt ingestion worker,worker,effect,foundation_control_plane; booking; hub_coordination; pharmacy,wf_integration,AdapterContractProfile; DependencyDegradationProfile; AdapterDispatchAttempt; AdapterReceiptCheckpoint; ExternalConfirmationGate,MutationCommandContract(booking.commit.*); MutationCommandContract(hub.commit.*); MutationCommandContract(pharmacy.dispatch.*),CanonicalEventContract(booking.confirmation.*); CanonicalEventContract(hub.practice_visibility.*); CanonicalEventContract(pharmacy.dispatch.*); CanonicalEventContract(pharmacy.outcome.*); CanonicalEventContract(capacity.snapshot.*),CanonicalEventContract(booking.*); CanonicalEventContract(hub.*); CanonicalEventContract(pharmacy.*); CanonicalEventContract(policy.*); CanonicalEventContract(release.*),,booking; hub; pharmacy; confirmation; capacity; policy; release,event_log,Adapter plane only; authoritative case truth still upgrades through command settlements and confirmation gates.,tenant_org_scoped_staff; cross_org_hub_scope; servicing_site_scope; platform_governance_scope,operational_internal_non_phi; patient_identifying; clinical_sensitive; security_or_secret_sensitive,IDEMP_ADAPTER_EFFECT,REPLAY_ADAPTER_RECEIPT_CHECKPOINT,external_confirmation,TIM_BOOKING_CONFIRMATION_GATE; TIM_WAITLIST_DEADLINE; TIM_HUB_CANDIDATE_REFRESH; TIM_HUB_PATIENT_CHOICE_EXPIRY; TIM_HUB_PRACTICE_ACK_DUE; TIM_PHARMACY_DISPATCH_PROOF_DEADLINE; TIM_PHARMACY_OUTCOME_RECONCILIATION_WINDOW,local_booking; local_waitlist_continuation; network_hub_coordination; pharmacy_first_referral_loop; support_replay_resend_restore,dep_nhs_login_rail; dep_local_booking_supplier_adapters; dep_network_capacity_partner_feeds; dep_cross_org_secure_messaging_mesh; dep_pharmacy_referral_transport; dep_pharmacy_outcome_observation; dep_pharmacy_urgent_return_professional_routes; dep_pharmacy_directory_dohs,platform-runtime-and-release-blueprint.md#AdapterContractProfile; phase-4-the-booking-engine.md; phase-5-the-network-horizon.md; phase-6-the-pharmacy-loop.md,"Every supplier, transport, webhook, and inbox callback remains behind this plane and resolves through canonical receipts before it can affect case truth."
svc_assurance_worker,"Assurance, audit, and replay guard worker",worker,assurance,assurance_and_governance,wf_assurance_security,AssuranceSliceTrustRecord; AccessEventIndex; ReplayCollisionReview; InvestigationScopeEnvelope,MutationCommandContract(support.restore.*); MutationCommandContract(assurance.review.*),CanonicalEventContract(audit.*); CanonicalEventContract(exception.replay_collision.*); CanonicalEventContract(support.restore.*),CanonicalEventContract(request.*); CanonicalEventContract(communication.*); CanonicalEventContract(booking.*); CanonicalEventContract(hub.*); CanonicalEventContract(pharmacy.*); CanonicalEventContract(release.*),ProjectionContractFamily(ops/governance/support replay),audit; exception; support; release,worm_audit,Tamper-evident evidence and restore gate publisher; not a clinical write owner.,support_investigation_scope; multi_tenant_operational_watch; platform_governance_scope,audit_investigation_restricted; retention_governance_restricted; security_or_secret_sensitive,IDEMP_ASSURANCE_RESTORE_GATE,REPLAY_SUPPORT_RESTORE_SCOPE,recovery_disposition,TIM_HUB_PRACTICE_ACK_DUE; TIM_PHARMACY_OUTCOME_RECONCILIATION_WINDOW,degraded_acceptance_fallback_review; duplicate_review; network_hub_coordination; pharmacy_first_referral_loop; patient_identity_hold_recovery; support_replay_resend_restore,,phase-9-the-assurance-ledger.md; forensic-audit-findings.md#Finding 100 - Support replay and observe return still had no authoritative restore gate,Unknown or semantically divergent events are quarantined here before any downstream projection or alerting path can see them.
svc_timer_orchestrator,Timer and workflow orchestrator,timer_engine,effect,foundation_control_plane,wf_command,MoreInfoReplyWindowCheckpoint; CallbackExpectationEnvelope; WaitlistDeadlineEvaluation; PracticeAcknowledgementRecord; PharmacyDispatchAttempt,MutationCommandContract(timer.checkpoint.recompute),CanonicalEventContract(triage.more_info.timer.*); CanonicalEventContract(booking.waitlist.deadline.*); CanonicalEventContract(hub.offer.expiry.*); CanonicalEventContract(pharmacy.dispatch.proof_deadline.*),CanonicalEventContract(triage.*); CanonicalEventContract(callback.*); CanonicalEventContract(booking.*); CanonicalEventContract(hub.*); CanonicalEventContract(pharmacy.*); CanonicalEventContract(access.*),,triage; communication; booking; hub; pharmacy; access; reachability,timer_state,"Owns deadline checkpoints and wakeups; timers may not hide inside request handlers, browsers, or ad hoc workers.",grant_scoped_subject; tenant_subject_self_service; tenant_org_scoped_staff; cross_org_hub_scope; servicing_site_scope,operational_internal_non_phi; patient_identifying; clinical_sensitive,IDEMP_TIMER_WAKEUP_CURSOR,REPLAY_TIMER_CHECKPOINT_RECOMPUTE,recovery_disposition,TIM_MORE_INFO_REPLY_WINDOW; TIM_MORE_INFO_REMINDERS; TIM_CALLBACK_EXPECTATION_WINDOW; TIM_CALLBACK_MISSED_WINDOW_REPAIR; TIM_BOOKING_CONFIRMATION_GATE; TIM_WAITLIST_DEADLINE; TIM_WAITLIST_OFFER_EXPIRY; TIM_HUB_CANDIDATE_REFRESH; TIM_HUB_PATIENT_CHOICE_EXPIRY; TIM_HUB_PRACTICE_ACK_DUE; TIM_HUB_COORDINATION_SLA; TIM_PHARMACY_DISPATCH_PROOF_DEADLINE; TIM_PHARMACY_OUTCOME_RECONCILIATION_WINDOW; TIM_PHARMACY_BOUNCE_BACK_REPAIR; TIM_SESSION_EXPIRY; TIM_ACCESS_GRANT_EXPIRY; TIM_SECURE_LINK_RECOVERY_EXPIRY,triage_more_info_cycle; clinician_messaging; callback; local_booking; local_waitlist_continuation; network_hub_coordination; pharmacy_first_referral_loop; patient_contact_route_repair; patient_identity_hold_recovery,,phase-3-the-human-checkpoint.md; phase-4-the-booking-engine.md; phase-5-the-network-horizon.md; phase-6-the-pharmacy-loop.md,Timer callbacks only trigger governed command and settlement chains; they never silently mutate user-visible truth on their own.
svc_adapter_simulators,Local simulator and adapter backplane,worker,assurance,foundation_runtime_experience,wf_integration,AdapterContractProfile; DependencyDegradationProfile,MutationCommandContract(simulator.seed.*),CanonicalEventContract(release.simulator.result.*),CanonicalEventContract(release.*); CanonicalEventContract(policy.*),,release; policy; analytics,object_artifact,Non-authoritative local and CI simulation only.,platform_governance_scope,operational_internal_non_phi,IDEMP_SIMULATOR_FIXTURE_RUN,REPLAY_SIMULATOR_FIXTURE,none,,triage_more_info_cycle; clinician_messaging; callback; local_booking; network_hub_coordination; pharmacy_first_referral_loop,dep_pds_fhir_enrichment; dep_assistive_model_vendor_family,08_simulator_and_local_stub_strategy.md; 12_developer_experience_and_local_bootstrap.md,Provides deterministic fixtures and local stubs without becoming supplier truth or a second event namespace source.
queue_command_outbox,Durable command outbox,queue,command,foundation_control_plane,wf_command,CommandActionRecord; AdapterDispatchAttempt,,CanonicalEventContract(request.outbox.ready),,,request; communication; booking; hub; pharmacy,event_log,Durable effect queue only; no business success without later proof upgrade.,tenant_tuple_required_on_every_mutation,operational_internal_non_phi; security_or_secret_sensitive,IDEMP_ADAPTER_EFFECT,REPLAY_OUTBOX_RESUME,none,,urgent_diversion; triage_more_info_cycle; self_care; admin_resolution; clinician_messaging; callback; local_booking; local_waitlist_continuation; network_hub_coordination; pharmacy_first_referral_loop; support_replay_resend_restore,,"phase-0-the-foundation-protocol.md#6.6A Adapter outbox, inbox, and callback replay rule",Every externally consequential mutation originates here or from an equivalent durable queue position tied back to the owning action record.
queue_adapter_receipt_inbox,Receipt and callback inbox,queue,effect,foundation_control_plane,wf_integration,AdapterReceiptCheckpoint; ReplayCollisionReview,,CanonicalEventContract(confirmation.receipt.accepted); CanonicalEventContract(exception.replay_collision.detected),,,confirmation; exception; communication; booking; hub; pharmacy,event_log,Durable inbound evidence queue; stale or divergent receipts never mutate truth directly.,tenant_tuple_plus_effect_scope_required,operational_internal_non_phi; clinical_sensitive; security_or_secret_sensitive,IDEMP_ADAPTER_RECEIPT,REPLAY_ADAPTER_RECEIPT_CHECKPOINT,external_confirmation,,clinician_messaging; callback; local_booking; local_waitlist_continuation; network_hub_coordination; pharmacy_first_referral_loop; support_replay_resend_restore,,"phase-0-the-foundation-protocol.md#6.6A Adapter outbox, inbox, and callback replay rule",Receipts and callbacks reconcile onto the same effect fence instead of spawning parallel success chains.
