stateId,phaseStage,snapshotRecoveryState,reservationTruthState,bookingTransactionState,confirmationTruthState,manageExposureState,waitlistRoute,dominantNarrative,sameShellPosture
search_renderable,4C,renderable,truthful_nonexclusive,not_started,booking_in_progress,hidden,stay_local_waitlist,Slots are available to review and choose.,normal selection allowed
search_partial_coverage,4C,partial_coverage,truthful_nonexclusive,not_started,booking_in_progress,hidden,stay_local_waitlist,Availability may be incomplete; support help stays visible.,selection allowed with bounded warning
search_stale_refresh,4C,stale_refresh_required,revalidation_required,not_started,booking_in_progress,hidden,stay_local_waitlist,Selection freezes in place until refresh restores current truth.,"anchor preserved, confirm blocked"
search_no_supply_confirmed,4C,no_supply_confirmed,unavailable,not_started,booking_in_progress,hidden,callback_fallback,Search completed exhaustively for the current policy and no directly bookable supply remains.,recovery and continuation only
offer_selected_nonexclusive,4D,renderable,truthful_nonexclusive,not_started,booking_in_progress,hidden,stay_local_waitlist,"Selected state persists, but copy must still say availability is confirmed when you book.",selected anchor preserved
offer_selected_exclusive_hold,4D,renderable,exclusive_held,not_started,booking_in_progress,hidden,stay_local_waitlist,Reserved-for-you wording and hold countdown are legal only from ReservationTruthProjection.,real hold countdown allowed
commit_pending_provisional,4E,renderable,pending_confirmation,accepted_for_processing,booking_in_progress,hidden,stay_local_waitlist,"Local acknowledgement and provisional receipt are visible, but booked reassurance is still blocked.",pending receipt in place
confirmation_pending,4E,renderable,pending_confirmation,awaiting_external_confirmation,confirmation_pending,hidden,stay_local_waitlist,The supplier or external gate is still settling; manage and reminder exposure remain hidden.,selected slot or provisional summary stays visible
reconciliation_required,4E,renderable,disputed,provider_pending,reconciliation_required,hidden,support_fallback,Contradictory or weak supplier truth keeps the same shell in governed recovery.,"recovery only, provenance preserved"
confirmed_booked,4E,renderable,confirmed,provider_reference_seen,confirmed,writable,stay_local_waitlist,"Booked summary, writable manage posture, and pending reminder scheduling are now legal.",calm manage entry
manage_pending,4F,renderable,confirmed,provider_reference_seen,confirmed,writable,stay_local_waitlist,Manage action can return supplier_pending without losing the appointment summary or anchor.,same-shell pending
manage_stale_recoverable,4F,renderable,confirmed,provider_reference_seen,confirmed,recovery_only,support_fallback,"Manage summary remains visible, but ordinary controls freeze until continuity proof refreshes.",bounded recovery only
