route_key,route_family_ref,path,section,runtime_scenario,selected_anchor_key,dominant_action,return_safe_rule
home,rf_patient_home,/home,home,live,home-spotlight,Continue this request,Restore the current home mode and the same shell continuity key
embedded,rf_patient_embedded_channel,/home/embedded,home,recovery_only,embedded-capabilities,Review embedded host floor,Fail closed in place and preserve the home shell summary
requests,rf_patient_requests,/requests,requests,live,request-needs-attention,Review the current request,Keep the selected request row and bucket visible
request_detail,rf_patient_requests,/requests/REQ-2049,requests,live,request-lineage,Add the requested photo and confirm the flare timing,Return to the selected request row without losing lineage context
appointments,rf_patient_appointments,/appointments,appointments,read_only,appointments-upcoming,Review the held summary,Keep the itinerary visible while booking publication proof settles
records,rf_patient_health_record,/records,records,live,record-summary,Review the current record summary,Preserve the record card anchor and trend parity
record_follow_up,rf_patient_health_record,/records/REC-HEM-8/follow-up,records,live,record-follow-up,Ask a bounded follow-up question,Return to the originating record summary after follow-up review
messages,rf_patient_messages,/messages,messages,live,messages-inbox,Review the current thread,Preserve inbox selection and current thread context
message_thread,rf_patient_messages,/messages/thread/THR-420,messages,live,messages-thread,Continue this thread,Return to the current message thread without leaving the shell
recovery,rf_patient_secure_link_recovery,/recovery/secure-link,messages,recovery_only,messages-recovery,Resume the secure-link repair,Keep the last safe message summary visible while repair remains dominant

