scenario_id,queue_ref,overload_state,fairness_merge_state,ordinal,task_ref,advisory_state,reviewer_ref
fair_queue_normal_load_commits_snapshot,queue_081_normal_queue,nominal,merged,1,task_norm_escalated,,
fair_queue_normal_load_commits_snapshot,queue_081_normal_queue,nominal,merged,2,task_norm_return,,
fair_queue_normal_load_commits_snapshot,queue_081_normal_queue,nominal,merged,3,task_norm_routine,,
overload_queue_pressure_escalated,queue_081_overload_queue,overload_critical,suppressed_overload,1,task_overload_1,,
overload_queue_pressure_escalated,queue_081_overload_queue,overload_critical,suppressed_overload,2,task_overload_2,,
overload_queue_pressure_escalated,queue_081_overload_queue,overload_critical,suppressed_overload,3,task_overload_3,,
fairness_merge_rotates_routine_bands,queue_081_fairness_merge,nominal,merged,1,task_merge_return,,
fairness_merge_rotates_routine_bands,queue_081_fairness_merge,nominal,merged,2,task_merge_routine,,
fairness_merge_rotates_routine_bands,queue_081_fairness_merge,nominal,merged,3,task_merge_same_day,,
assignment_suggestions_preserve_base_queue,queue_081_assignment_suggestions,nominal,merged,1,task_assign_escalated,ready,reviewer_alex
assignment_suggestions_preserve_base_queue,queue_081_assignment_suggestions,nominal,merged,2,task_assign_routine,ready,reviewer_bea
assignment_suggestions_preserve_base_queue,queue_081_assignment_suggestions,nominal,merged,3,task_assign_return,ready,reviewer_alex
next_task_advice_blocked_on_stale_owner,queue_081_blocked_next_task,nominal,merged,1,task_next_escalated,blocked_stale_owner,reviewer_bea
next_task_advice_blocked_on_stale_owner,queue_081_blocked_next_task,nominal,merged,2,task_next_routine,blocked_stale_owner,reviewer_bea
