case_id,route,record_projection,release_state,source_authority_state,visualization_parity_state,dominant_meaning_surface,chart_allowed,table_required,placeholder_visible,evidence_screenshot
records_overview,/records,PatientRecordSurfaceContext,visible,summary_verified,summary_only,summary,false,true,false,217-records-overview.png
verified_result_chart,/records/results/result_213_fbc,PatientResultInterpretationProjection,visible,summary_verified,visual_and_table,table_and_secondary_chart,true,true,false,217-result-detail.png
verified_result_table_toggle,/records/results/result_213_fbc,VisualizationTableContract,visible,summary_verified,visual_and_table,table,true,true,false,217-chart-table-fallback.png
stale_result_table_only,/records/results/result_213_stale,VisualizationParityProjection,visible,summary_provisional,table_only,table,false,true,false,217-table-only-fallback.png
delayed_result_placeholder,/records/results/result_213_delayed_release,PatientRecordContinuityState,delayed_release,placeholder_only,placeholder_only,placeholder,false,false,true,217-delayed-placeholder.png
step_up_result_placeholder,/records/results/result_213_step_up,PatientRecordContinuityState,step_up_required,placeholder_only,placeholder_only,placeholder,false,false,true,217-step-up-placeholder.png
verified_document_summary,/records/documents/document_213_letter,PatientRecordArtifactProjection,visible,summary_verified,summary_only,summary,false,true,false,217-document-summary.png
source_only_document,/records/documents/document_213_source_only,PatientRecordArtifactProjection,visible,source_only,summary_only,source_summary,false,true,false,217-source-only-document.png
restricted_document_placeholder,/records/documents/document_213_restricted,RecordArtifactParityWitness,restricted,placeholder_only,placeholder_only,placeholder,false,false,true,217-restricted-placeholder.png
mobile_records,/records,PatientRecordSurfaceContext,visible,summary_verified,summary_only,summary,false,true,false,217-mobile-records.png
mobile_result_table,/records/results/result_213_stale,VisualizationTableContract,visible,summary_provisional,table_only,table,false,true,false,217-mobile-table-fallback.png
reduced_motion_result,/records/results/result_213_fbc,VisualizationParityProjection,visible,summary_verified,visual_and_table,table_and_secondary_chart,true,true,false,217-reduced-motion.png
