scenario_id,surface_kind,route,recovery_reason,channel_mode,summary_tier,identity_hold_state,next_safe_action,reentry_route_family
booking_case_293_recovery,workspace,/bookings/booking_case_293_recovery,stale_session,authenticated,booking_safe_summary,clear,refresh_surface,rf_patient_booking_workspace
booking_case_295_stale,selection,/bookings/booking_case_295_stale/select,stale_session,authenticated,booking_safe_summary,clear,refresh_surface,rf_patient_booking_workspace
booking_case_295_unavailable,selection,/bookings/booking_case_295_unavailable/select,expired_action,authenticated,booking_safe_summary,clear,choose_another_time,rf_patient_booking_workspace
booking_case_296_reconciliation,confirmation,/bookings/booking_case_296_reconciliation/confirm,confirmation_disputed,authenticated,booking_safe_summary,clear,choose_another_time,rf_patient_booking_workspace
booking_case_296_route_drift,confirmation,/bookings/booking_case_296_route_drift/confirm,stale_session,authenticated,booking_safe_summary,clear,refresh_surface,rf_patient_booking_workspace
booking_case_296_identity_repair,confirmation,/bookings/booking_case_296_identity_repair/confirm,wrong_patient,authenticated,identity_hold_summary,wrong_patient_freeze,request_support,rf_patient_booking_workspace
booking_case_297_stale,manage,/bookings/booking_case_297_stale/manage,stale_session,authenticated,booking_safe_summary,clear,refresh_surface,rf_patient_booking_workspace
booking_case_297_confirmation_pending,manage,/bookings/booking_case_297_confirmation_pending/manage,confirmation_pending,authenticated,appointment_safe_summary,clear,wait_for_confirmation,rf_patient_booking_workspace
booking_case_297_reminder_blocked,manage,/bookings/booking_case_297_reminder_blocked/manage,contact_route_repair_required,authenticated,appointment_safe_summary,clear,repair_contact_route,rf_patient_booking_workspace
booking_case_298_offer_expired,waitlist,/bookings/booking_case_298_offer_expired/waitlist,expired_action,authenticated,booking_safe_summary,clear,choose_another_time,rf_patient_booking_workspace
booking_case_298_offer_superseded,waitlist,/bookings/booking_case_298_offer_superseded/waitlist,superseded_action,authenticated,booking_safe_summary,clear,choose_another_time,rf_patient_booking_workspace
booking_case_298_contact_repair,waitlist,/bookings/booking_case_298_contact_repair/waitlist,contact_route_repair_required,authenticated,appointment_safe_summary,clear,repair_contact_route,rf_patient_booking_workspace
booking_case_298_contact_repair_secure,waitlist,/bookings/booking_case_298_contact_repair_secure/waitlist,contact_route_repair_required,secure_link,appointment_safe_summary,clear,repair_contact_route,rf_patient_secure_link_recovery
