coverage_id,scenario_name,shell_demo_ref,route_refs,viewport_matrix,required_assertions,dominant_marker_refs,notes
PW_PATIENT_320,patient shell loads and keeps focus_frame or mission_stack law at 320px,patient,"patient_home, patient_requests",320x900,"shell markers, breakpoint marker, decision dock presence, long-form measure remains readable",data-shell-type; data-breakpoint-class; data-layout-topology; status-strip,Proves the patient shell does not collapse into dashboard density on narrow viewports.
PW_PATIENT_KEYBOARD,patient shell keyboard-only navigation,patient,"patient_home, patient_messages",1024x960,"visible focus ring, nav order, dominant CTA reachable without pointer",selected-anchor; decision-dock; data-keyboard-model,Covers keyboard-first navigation and announcement-safe quiet posture.
PW_PATIENT_ROUTE_MORPH,patient same-shell route morph preserves selected anchor,patient,"patient_requests, patient_messages",1440x1000,"no full reload, selected anchor preserved, design contract digest updates in place",data-anchor-state; data-design-contract-digest; selection-state,"Closes findings 86, 87, 97, 98, 99, 101, and 120 on the browser side."
PW_WORKSPACE_768,workspace shell mission_stack fold at tablet width,workspace,"workspace_queue, workspace_task",768x960,"mission_stack layout, queue retained, task anchor still visible",data-layout-topology; selected-anchor; shell-preview,Ensures fold and unfold preserve the current task context.
PW_WORKSPACE_KEYBOARD,workspace keyboard flow from queue into task plane,workspace,"workspace_queue, workspace_decision",1024x960,"queue rows, task plane actions, support region all tab in stable order",data-shell-type; route-switcher; decision-dock,Matches the keyboard-first clinical workspace contract.
PW_WORKSPACE_ROUTE_MORPH,workspace child-state transition stays in the same shell,workspace,"workspace_task, workspace_decision",1440x1000,"same shell reused, selected task pinned, support region does not multiply",selection-state; data-anchor-state; decision-dock,"Protects same-shell more-info, approval, and decision postures."
PW_OPERATIONS_1440,"operations board renders NorthStarBand, BottleneckRadar, ServiceHealthGrid, and InterventionWorkbench",operations,"operations_overview, operations_health",1440x1000,"one dominant anomaly surface, one dominant action region, visual summary-first hierarchy",data-ops-prominence-state; data-ops-promoted-surface; decision-dock,Confirms the operations layout is board-like rather than card-grid-like.
PW_OPERATIONS_PARITY,operations visualization parity stays exact,operations,operations_overview,1024x960,"visual and table parity, authoritative state marker, selected anomaly sync",data-visualization-parity-state; data-visualization-selection; data-visualization-authority,A chart without adjacent table parity fails publication law.
PW_GOVERNANCE_1024,governance shell keeps ScopeRibbon and status strip as the only sticky header stack,governance,"governance_release, governance_access",1024x960,"scope ribbon visible, change envelope retained, approval stepper reachable",data-shell-type; status-strip; selected-anchor,Prevents route-local warning bars or detached success strips from taking over the shell.
PW_GOVERNANCE_ROUTE_MORPH,governance review keeps change anchor and release tuple through route morph,governance,"governance_release, governance_config",1440x1000,"change envelope preserved, tuple card remains visible, no hard reload",data-anchor-state; data-design-contract-digest; selection-state,Closes finding 95 and keeps release-watch context in the same continuity path.
PW_REDUCED_MOTION,reduced motion mode preserves meaning without spatial travel,all,"patient_messages, workspace_task, operations_overview, governance_release",1024x960,"motion markers downgrade, content order stable, no hidden readiness",data-motion-profile; data-motion-suppressed; data-live-announce-state,Reduced motion remains first-class rather than a late CSS patch.
PW_A11Y_SMOKE,accessibility smoke across four shell demos,"patient,workspace,operations,governance",all showcase roots,"320x900, 768x960, 1024x960, 1440x1000","landmarks, tab order, accessible names, semantic surface markers, no hidden critical controls",data-accessibility-coverage-state; data-semantic-surface; data-focus-transition-scope,The showcase may remain calm only while accessibility coverage remains complete.
