scenarioId,queueKey,ordinal,taskRef,overloadState,fairnessBandRef,note
exact_formula_sort_precedence,repair,1,task_queue_escalated,nominal,band_routine,Escalated work stays first regardless of lower-row within-tier urgency.
exact_formula_sort_precedence,repair,2,task_queue_duplicate,nominal,band_returned_review,Duplicate-review ambiguity outranks noncritical routine rows.
exact_formula_sort_precedence,repair,3,task_queue_risk_attention,nominal,band_risk_attention,Risk-attention band stays above low-intensity work after canonical tie logic.
exact_formula_sort_precedence,repair,4,task_queue_low_intensity,nominal,band_low_intensity,Low-intensity work remains visible without displacing higher-risk work.
fairness_band_rotation,repair,1,task_fair_return,nominal,band_returned_review,Fairness credits start with returned-review protection.
fairness_band_rotation,repair,2,task_fair_risk,nominal,band_risk_attention,Risk-attention band rotates in on the next deterministic fairness cycle.
fairness_band_rotation,repair,3,task_fair_routine,nominal,band_routine,Routine work remains in the replayable band order.
fairness_band_rotation,repair,4,task_fair_low,nominal,band_low_intensity,Low-intensity work is protected without starvation claims.
overload_critical_posture,repair,1,task_overload_escalated,overload_critical,band_routine,Canonical critical order persists under overload.
overload_critical_posture,repair,2,task_overload_returned,overload_critical,band_returned_review,Returned work stays visible but fairness promises are suppressed.
soft_claim_race_serialized,repair,1,task_claim_race_target,nominal,band_routine,Soft-claim target remains first until one lease holder wins.
