design_contract_vocabulary_tuple_id,publication_bundle_id,audience_surface,route_family_ref,shell_type,state_class_vocabulary_ref,state_class_keys,state_reason_vocabulary_ref,state_reason_keys,artifact_mode_vocabulary_ref,artifact_mode_keys,breakpoint_vocabulary_ref,breakpoint_keys,selected_anchor_vocabulary_ref,selected_anchor_keys,dominant_action_vocabulary_ref,dominant_action_keys,automation_marker_vocabulary_ref,automation_marker_keys,telemetry_event_vocabulary_ref,telemetry_event_keys,tuple_hash
DCVT_052_RF_GOVERNANCE_SHELL_V1,dcpb::governance_admin::planned,audsurf_governance_admin,rf_governance_shell,governance,SCV_052_SIGNAL_STATE_CLASS_V1,loading|empty|sparse|stale|degraded|recovery|blocked|settled,SRV_052_SIGNAL_STATE_REASON_V1,exact|watch|placeholder|restore_required|handoff_only|masked|frozen,AMV_052_SIGNAL_ARTIFACT_MODE_V1,summary|preview|handoff,BPV_052_SIGNAL_BREAKPOINTS_V1,compact|narrow|medium|expanded|wide,SAV_052_RF_GOVERNANCE_SHELL_V1,governance_shell.root|governance_shell.detail|governance_shell.artifact,DAV_052_RF_GOVERNANCE_SHELL_V1,governance_shell.primary|governance_shell.review|governance_shell.recover,AAM_050_RF_GOVERNANCE_SHELL_V1,rf_governance_shell-root|surface-state|dominant-action|selected-anchor|accessibility-coverage-state|semantic-surface|keyboard-model|focus-transition-scope|live-announce-state,TEV_052_RF_GOVERNANCE_SHELL_V1,ui.surface.governance_shell.viewed|ui.surface.governance_shell.mutated|ui.surface.governance_shell.stream_updated|ui.surface.governance_shell.anchor_changed,c24d2cc662321fd6
DCVT_052_RF_HUB_CASE_MANAGEMENT_V1,dcpb::hub_desk::planned,audsurf_hub_desk,rf_hub_case_management,hub,SCV_052_SIGNAL_STATE_CLASS_V1,loading|empty|sparse|stale|degraded|recovery|blocked|settled,SRV_052_SIGNAL_STATE_REASON_V1,exact|watch|placeholder|restore_required|handoff_only|masked|frozen,AMV_052_SIGNAL_ARTIFACT_MODE_V1,summary,BPV_052_SIGNAL_BREAKPOINTS_V1,compact|narrow|medium|expanded|wide,SAV_052_RF_HUB_CASE_MANAGEMENT_V1,hub_case_management.root|hub_case_management.detail|hub_case_management.artifact,DAV_052_RF_HUB_CASE_MANAGEMENT_V1,hub_case_management.primary|hub_case_management.review|hub_case_management.recover,AAM_050_RF_HUB_CASE_MANAGEMENT_V1,rf_hub_case_management-root|surface-state|dominant-action|selected-anchor|accessibility-coverage-state|semantic-surface|keyboard-model|focus-transition-scope|live-announce-state,TEV_052_RF_HUB_CASE_MANAGEMENT_V1,ui.surface.hub_case_management.viewed|ui.surface.hub_case_management.mutated|ui.surface.hub_case_management.stream_updated|ui.surface.hub_case_management.anchor_changed,5fb8056756bcf090
DCVT_052_RF_HUB_QUEUE_V1,dcpb::hub_desk::planned,audsurf_hub_desk,rf_hub_queue,hub,SCV_052_SIGNAL_STATE_CLASS_V1,loading|empty|sparse|stale|degraded|recovery|blocked|settled,SRV_052_SIGNAL_STATE_REASON_V1,exact|watch|placeholder|restore_required|handoff_only|masked|frozen,AMV_052_SIGNAL_ARTIFACT_MODE_V1,summary,BPV_052_SIGNAL_BREAKPOINTS_V1,compact|narrow|medium|expanded|wide,SAV_052_RF_HUB_QUEUE_V1,hub_queue.root|hub_queue.detail|hub_queue.artifact,DAV_052_RF_HUB_QUEUE_V1,hub_queue.primary|hub_queue.review|hub_queue.recover,AAM_050_RF_HUB_QUEUE_V1,rf_hub_queue-root|surface-state|dominant-action|selected-anchor|accessibility-coverage-state|semantic-surface|keyboard-model|focus-transition-scope|live-announce-state,TEV_052_RF_HUB_QUEUE_V1,ui.surface.hub_queue.viewed|ui.surface.hub_queue.mutated|ui.surface.hub_queue.stream_updated|ui.surface.hub_queue.anchor_changed,9e0f0548e534f2f4
DCVT_052_RF_INTAKE_SELF_SERVICE_V1,dcpb::patient_public_entry::planned,audsurf_patient_public_entry,rf_intake_self_service,patient,SCV_052_SIGNAL_STATE_CLASS_V1,loading|empty|sparse|stale|degraded|recovery|blocked|settled,SRV_052_SIGNAL_STATE_REASON_V1,exact|watch|placeholder|restore_required|handoff_only|masked|frozen,AMV_052_SIGNAL_ARTIFACT_MODE_V1,summary,BPV_052_SIGNAL_BREAKPOINTS_V1,compact|narrow|medium|expanded|wide,SAV_052_RF_INTAKE_SELF_SERVICE_V1,intake_self_service.root|intake_self_service.detail|intake_self_service.artifact,DAV_052_RF_INTAKE_SELF_SERVICE_V1,intake_self_service.primary|intake_self_service.review|intake_self_service.recover,AAM_050_RF_INTAKE_SELF_SERVICE_V1,rf_intake_self_service-root|surface-state|dominant-action|selected-anchor|accessibility-coverage-state|semantic-surface|keyboard-model|focus-transition-scope|live-announce-state,TEV_052_RF_INTAKE_SELF_SERVICE_V1,ui.surface.intake_self_service.viewed|ui.surface.intake_self_service.mutated|ui.surface.intake_self_service.anchor_changed,0f5fd77050a87ae0
DCVT_052_RF_INTAKE_TELEPHONY_CAPTURE_V1,dcpb::patient_public_entry::planned,audsurf_patient_public_entry,rf_intake_telephony_capture,patient,SCV_052_SIGNAL_STATE_CLASS_V1,loading|empty|sparse|stale|degraded|recovery|blocked|settled,SRV_052_SIGNAL_STATE_REASON_V1,exact|watch|placeholder|restore_required|handoff_only|masked|frozen,AMV_052_SIGNAL_ARTIFACT_MODE_V1,summary,BPV_052_SIGNAL_BREAKPOINTS_V1,compact|narrow|medium|expanded|wide,SAV_052_RF_INTAKE_TELEPHONY_CAPTURE_V1,intake_telephony_capture.root|intake_telephony_capture.detail|intake_telephony_capture.artifact,DAV_052_RF_INTAKE_TELEPHONY_CAPTURE_V1,intake_telephony_capture.primary|intake_telephony_capture.review|intake_telephony_capture.recover,AAM_050_RF_INTAKE_TELEPHONY_CAPTURE_V1,rf_intake_telephony_capture-root|surface-state|dominant-action|selected-anchor|accessibility-coverage-state|semantic-surface|keyboard-model|focus-transition-scope|live-announce-state,TEV_052_RF_INTAKE_TELEPHONY_CAPTURE_V1,ui.surface.intake_telephony_capture.viewed|ui.surface.intake_telephony_capture.mutated|ui.surface.intake_telephony_capture.anchor_changed,402fe9021cd1acbf
DCVT_052_RF_OPERATIONS_BOARD_V1,dcpb::operations_console::planned,audsurf_operations_console,rf_operations_board,operations,SCV_052_SIGNAL_STATE_CLASS_V1,loading|empty|sparse|stale|degraded|recovery|blocked|settled,SRV_052_SIGNAL_STATE_REASON_V1,exact|watch|placeholder|restore_required|handoff_only|masked|frozen,AMV_052_SIGNAL_ARTIFACT_MODE_V1,summary|preview|handoff,BPV_052_SIGNAL_BREAKPOINTS_V1,compact|narrow|medium|expanded|wide,SAV_052_RF_OPERATIONS_BOARD_V1,operations_board.root|operations_board.detail|operations_board.artifact,DAV_052_RF_OPERATIONS_BOARD_V1,operations_board.primary|operations_board.review|operations_board.recover,AAM_050_RF_OPERATIONS_BOARD_V1,rf_operations_board-root|surface-state|dominant-action|selected-anchor|accessibility-coverage-state|semantic-surface|keyboard-model|focus-transition-scope|live-announce-state,TEV_052_RF_OPERATIONS_BOARD_V1,ui.surface.operations_board.viewed|ui.surface.operations_board.mutated|ui.surface.operations_board.stream_updated|ui.surface.operations_board.anchor_changed,7f780943e6c7a2ab
DCVT_052_RF_OPERATIONS_DRILLDOWN_V1,dcpb::operations_console::planned,audsurf_operations_console,rf_operations_drilldown,operations,SCV_052_SIGNAL_STATE_CLASS_V1,loading|empty|sparse|stale|degraded|recovery|blocked|settled,SRV_052_SIGNAL_STATE_REASON_V1,exact|watch|placeholder|restore_required|handoff_only|masked|frozen,AMV_052_SIGNAL_ARTIFACT_MODE_V1,summary,BPV_052_SIGNAL_BREAKPOINTS_V1,compact|narrow|medium|expanded|wide,SAV_052_RF_OPERATIONS_DRILLDOWN_V1,operations_drilldown.root|operations_drilldown.detail|operations_drilldown.artifact,DAV_052_RF_OPERATIONS_DRILLDOWN_V1,operations_drilldown.primary|operations_drilldown.review|operations_drilldown.recover,AAM_050_RF_OPERATIONS_DRILLDOWN_V1,rf_operations_drilldown-root|surface-state|dominant-action|selected-anchor|accessibility-coverage-state|semantic-surface|keyboard-model|focus-transition-scope|live-announce-state,TEV_052_RF_OPERATIONS_DRILLDOWN_V1,ui.surface.operations_drilldown.viewed|ui.surface.operations_drilldown.mutated|ui.surface.operations_drilldown.stream_updated|ui.surface.operations_drilldown.anchor_changed,1ffa8a891f43bca9
DCVT_052_RF_PATIENT_APPOINTMENTS_V1,dcpb::patient_authenticated_shell::planned,audsurf_patient_authenticated_portal,rf_patient_appointments,patient,SCV_052_SIGNAL_STATE_CLASS_V1,loading|empty|sparse|stale|degraded|recovery|blocked|settled,SRV_052_SIGNAL_STATE_REASON_V1,exact|watch|placeholder|restore_required|handoff_only|masked|frozen,AMV_052_SIGNAL_ARTIFACT_MODE_V1,summary,BPV_052_SIGNAL_BREAKPOINTS_V1,compact|narrow|medium|expanded|wide,SAV_052_RF_PATIENT_APPOINTMENTS_V1,patient_appointments.root|patient_appointments.detail|patient_appointments.artifact,DAV_052_RF_PATIENT_APPOINTMENTS_V1,patient_appointments.primary|patient_appointments.review|patient_appointments.recover,AAM_050_RF_PATIENT_APPOINTMENTS_V1,rf_patient_appointments-root|surface-state|dominant-action|selected-anchor|accessibility-coverage-state|semantic-surface|keyboard-model|focus-transition-scope|live-announce-state,TEV_052_RF_PATIENT_APPOINTMENTS_V1,ui.surface.patient_appointments.viewed|ui.surface.patient_appointments.mutated|ui.surface.patient_appointments.stream_updated|ui.surface.patient_appointments.anchor_changed,51451888b271c9fd
DCVT_052_RF_PATIENT_EMBEDDED_CHANNEL_V1,dcpb::patient_transaction_recovery::planned,audsurf_patient_transaction_recovery,rf_patient_embedded_channel,patient,SCV_052_SIGNAL_STATE_CLASS_V1,loading|empty|sparse|stale|degraded|recovery|blocked|settled,SRV_052_SIGNAL_STATE_REASON_V1,exact|watch|placeholder|restore_required|handoff_only|masked|frozen,AMV_052_SIGNAL_ARTIFACT_MODE_V1,summary,BPV_052_SIGNAL_BREAKPOINTS_V1,compact|narrow|medium|expanded|wide,SAV_052_RF_PATIENT_EMBEDDED_CHANNEL_V1,patient_embedded_channel.root|patient_embedded_channel.detail|patient_embedded_channel.artifact,DAV_052_RF_PATIENT_EMBEDDED_CHANNEL_V1,patient_embedded_channel.primary|patient_embedded_channel.review|patient_embedded_channel.recover,AAM_050_RF_PATIENT_EMBEDDED_CHANNEL_V1,rf_patient_embedded_channel-root|surface-state|dominant-action|selected-anchor|accessibility-coverage-state|semantic-surface|keyboard-model|focus-transition-scope|live-announce-state,TEV_052_RF_PATIENT_EMBEDDED_CHANNEL_V1,ui.surface.patient_embedded_channel.viewed|ui.surface.patient_embedded_channel.mutated|ui.surface.patient_embedded_channel.stream_updated|ui.surface.patient_embedded_channel.anchor_changed,99e2f4dc83b613bb
DCVT_052_RF_PATIENT_HEALTH_RECORD_V1,dcpb::patient_authenticated_shell::planned,audsurf_patient_authenticated_portal,rf_patient_health_record,patient,SCV_052_SIGNAL_STATE_CLASS_V1,loading|empty|sparse|stale|degraded|recovery|blocked|settled,SRV_052_SIGNAL_STATE_REASON_V1,exact|watch|placeholder|restore_required|handoff_only|masked|frozen,AMV_052_SIGNAL_ARTIFACT_MODE_V1,summary|preview|handoff,BPV_052_SIGNAL_BREAKPOINTS_V1,compact|narrow|medium|expanded|wide,SAV_052_RF_PATIENT_HEALTH_RECORD_V1,patient_health_record.root|patient_health_record.detail|patient_health_record.artifact,DAV_052_RF_PATIENT_HEALTH_RECORD_V1,patient_health_record.primary|patient_health_record.review|patient_health_record.recover,AAM_050_RF_PATIENT_HEALTH_RECORD_V1,rf_patient_health_record-root|surface-state|dominant-action|selected-anchor|accessibility-coverage-state|semantic-surface|keyboard-model|focus-transition-scope|live-announce-state,TEV_052_RF_PATIENT_HEALTH_RECORD_V1,ui.surface.patient_health_record.viewed|ui.surface.patient_health_record.mutated|ui.surface.patient_health_record.anchor_changed,6676081109e7a497
