scenario_id,more_info_state,thread_posture,callback_state,reachability_state,repair_state,consent_state,dominant_action,public_safe,atlas_region
active-reply-needed,reply_needed,answerable,scheduled,clear,not_required,satisfied,respond_more_info,false,StateGallery
reply-submitted-awaiting-review,reply_submitted,submitted_read_only,scheduled,clear,not_required,satisfied,none,false,ThreadAnatomyBoard
late-review,accepted_late_review,submitted_read_only,retry_planned,clear,not_required,satisfied,none,false,ThreadAnatomyBoard
expired-cycle-recovery,expired,expired_recovery,scheduled,clear,not_required,satisfied,recover_session,false,RequestShellChildRouteDiagram
callback-expected,reply_needed,answerable,scheduled,clear,not_required,satisfied,callback_response,false,MessageShellCallbackRepairDiagram
callback-window-at-risk,reply_needed,answerable,scheduled,clear,not_required,satisfied,callback_response,false,MessageShellCallbackRepairDiagram
callback-completed,awaiting_review,submitted_read_only,closed,clear,not_required,satisfied,none,false,ContinuityEvidenceShelf
read-only-summary,read_only,submitted_read_only,closed,clear,not_required,satisfied,none,false,ContinuityEvidenceShelf
repair-required,repair_required,blocked_by_repair,route_repair_required,blocked,required,satisfied,contact_route_repair,false,BlockerDominanceMatrix
consent-checkpoint-required,reply_needed,blocked_by_consent,scheduled,clear,not_required,expired,renew_consent,false,BlockerDominanceMatrix
public-safe-placeholder,reply_needed,public_safe_placeholder,scheduled,clear,not_required,satisfied,none,true,StateGallery
