ui_state,lifecycle_state,quarantine_state,current_safe_mode,artifact_mode,visual_tone,preview_allowed,retry_allowed,replace_allowed,remove_allowed,submit_posture,assistive_summary
selecting,initiated,not_started,not_started,summary_only,upload,false,false,false,false,not_ready,Local slot created before quarantine upload begins
uploading to quarantine,upload_pending,not_started,not_started,summary_only,upload,false,false,false,false,not_ready,File is moving into quarantine and is not trusted yet
scanning,scanning,not_started,recovery_only,recovery_only,upload,false,false,false,false,not_ready,Checks are still running and final meaning is pending
ready / kept,promoted,not_quarantined,governed_preview,governed_preview,safe,true,false,true,true,ready,Safe evidence kept with governed preview available
preview unavailable but kept,promoted,not_quarantined,placeholder_only,placeholder_only,safe,false,false,true,true,ready,Safe evidence kept without inline preview
retryable transfer failure,scan_failed_retryable,not_started,recovery_only,recovery_only,retry,false,true,true,true,blocked_until_retry,Upload failed before quarantine and can be retried
quarantined unsupported type,rejected_policy,quarantined,recovery_only,recovery_only,quarantine,false,false,true,true,blocked_until_resolved,Unsupported file stays visibly blocked in the same shell
quarantined unreadable / integrity failure,quarantined,quarantined,recovery_only,recovery_only,quarantine,false,false,true,true,blocked_until_resolved,Unreadable or damaged file stays fail-closed
quarantined malware,quarantined,quarantined,recovery_only,recovery_only,quarantine,false,false,true,true,blocked_until_resolved,Unsafe file stays blocked and cannot be mistaken for accepted evidence
removed,removed,not_started,recovery_only,recovery_only,removed,false,false,false,false,excluded,Removed cards stay only for continuity until the shell advances
replaced,replaced,not_started,recovery_only,recovery_only,removed,false,false,false,false,excluded,Replaced cards persist as continuity stubs while the new file settles
