route_family_ref,shell_slug,anchor_type,primary_anchor_slot_ref,replacement_requirement_ref,fallback_anchor_ref,restore_order,invalidation_presentation_ref,source_refs
rf_patient_home,patient-web,action_card,slot.rf_patient_home.primary,acknowledgement_required,home-next-step,anchor > scroll > disclosure > focus,present_nearest_safe_anchor_with_stub,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/ux-quiet-clarity-redesign.md | blueprint/forensic-audit-findings.md
rf_patient_requests,patient-web,action_card,slot.rf_patient_requests.primary,acknowledgement_required,request-lineage,anchor > scroll > disclosure > focus,present_nearest_safe_anchor_with_stub,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/ux-quiet-clarity-redesign.md
rf_patient_appointments,patient-web,slot,slot.rf_patient_appointments.primary,acknowledgement_required,appointments-actions,anchor > scroll > disclosure > focus,present_nearest_safe_anchor_with_stub,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_health_record,patient-web,evidence_cluster,slot.rf_patient_health_record.primary,acknowledgement_required,record-latest,anchor > scroll > disclosure > focus,present_nearest_safe_anchor_with_stub,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_messages,patient-web,message,slot.rf_patient_messages.primary,acknowledgement_required,messages-thread,anchor > scroll > disclosure > focus,present_nearest_safe_anchor_with_stub,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_intake_self_service,patient-web,action_card,slot.rf_intake_self_service.primary,acknowledgement_required,request-proof,anchor > scroll > disclosure > focus,present_nearest_safe_anchor_with_stub,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_intake_telephony_capture,patient-web,action_card,slot.rf_intake_telephony_capture.primary,acknowledgement_required,request-proof,anchor > scroll > disclosure > focus,present_nearest_safe_anchor_with_stub,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md
rf_patient_secure_link_recovery,patient-web,message,slot.rf_patient_secure_link_recovery.primary,stub_required,messages-return,anchor > disclosure > scroll > focus,present_nearest_safe_anchor_with_stub,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_patient_embedded_channel,patient-web,action_card,slot.rf_patient_embedded_channel.primary,stub_required,embedded-capabilities,anchor > disclosure > scroll > focus,present_nearest_safe_anchor_with_stub,blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/patient-portal-experience-architecture-blueprint.md | blueprint/forensic-audit-findings.md
rf_staff_workspace,clinical-workspace,queue_row,slot.rf_staff_workspace.primary,silent_patch_allowed,queue-decision,anchor > scroll > disclosure > focus,present_queue_row_stub_and_quiet_return,blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/accessibility-and-content-system-contract.md | blueprint/platform-frontend-blueprint.md | blueprint/staff-workspace-interface-architecture.md | blueprint/ux-quiet-clarity-redesign.md | blueprint/forensic-audit-findings.md
