case_id,repair_kind,thread_gate,evidence_status,existing_live_attempt,idempotency_key_relation,expected_decision,external_effect_delta,settlement_result,atlas_region
repair_001,controlled_resend,repair_route,failed,false,new,created_new_attempt,1,awaiting_external,RepairLifecycleBoard
repair_002,controlled_resend,repair_route,failed,true,same,exact_replay,0,awaiting_external,IdempotencyDuplicateBoard
repair_003,controlled_resend,repair_route,failed,true,different,reuse_live_attempt,0,awaiting_external,IdempotencyDuplicateBoard
repair_004,reissue,reopen,expired,false,new,created_new_attempt,1,awaiting_external,RepairLifecycleBoard
repair_005,channel_change,repair_route,disputed,false,new,created_new_attempt,1,awaiting_external,RepairLifecycleBoard
repair_006,callback_reschedule,hold,delivered,false,new,denied_scope,0,denied_scope,TimelineSettlementAlignmentBoard
repair_007,attachment_recovery,manual_review,pending,false,new,denied_scope,0,denied_scope,TimelineSettlementAlignmentBoard
repair_008,controlled_resend,repair_route,failed,true,worker_retry,reuse_live_attempt,0,awaiting_external,IdempotencyDuplicateBoard
repair_009,controlled_resend,repair_route,failed,true,provider_callback_replay,reuse_live_attempt,0,authoritative_settled,ProviderCallbackHygieneBoard
repair_010,controlled_resend,repair_route,failed,true,invalid_signature,reuse_live_attempt,0,awaiting_external,ProviderCallbackHygieneBoard
repair_011,controlled_resend,repair_route,failed,false,replay_active,read_only_fallback,0,read_only_fallback,RestoreFallbackBoard
repair_012,controlled_resend,repair_route,failed,false,post_settlement,new_attempt_allowed_after_settlement,1,awaiting_external,TimelineSettlementAlignmentBoard
repair_013,channel_change,reopen,failed,true,operator_double_click,reuse_live_attempt,0,awaiting_external,IdempotencyDuplicateBoard
repair_014,callback_reschedule,hold,failed,false,new,created_new_attempt,1,awaiting_external,RepairLifecycleBoard
