invariant_id,scope,rule,enforced_by,verified_by,source_refs
INV_063_FREEZE_BEFORE_NORMALIZATION,EvidenceCaptureBundle,Canonical normalization may not run before one immutable capture bundle exists.,packages/domains/intake_safety/src/evidence-backbone.ts::EvidenceDerivationPackageService.createDerivationPackage,packages/domains/intake_safety/tests/evidence-backbone.test.ts,"blueprint/phase-0-the-foundation-protocol.md#4.3B Evidence immutability, derivation, and parity; blueprint/forensic-audit-findings.md#Finding-03"
INV_063_CAPTURE_BUNDLE_APPEND_ONLY,EvidenceCaptureBundle,Capture bundles are append-only rows and may never be rewritten in place.,packages/domains/intake_safety/src/evidence-backbone.ts::appendOnlyInsert,packages/domains/intake_safety/tests/evidence-backbone.test.ts,"prompt/063.md; blueprint/phase-0-the-foundation-protocol.md#4.3B Evidence immutability, derivation, and parity"
INV_063_DERIVATION_APPEND_ONLY,EvidenceDerivationPackage,"Late transcript, normalization, fact, and summary reruns append new derivation packages instead of mutating prior output.",packages/domains/intake_safety/src/evidence-backbone.ts::EvidenceDerivationPackageService.createDerivationPackage,packages/domains/intake_safety/tests/evidence-backbone.test.ts; services/command-api/tests/evidence-backbone.integration.test.js,"blueprint/phase-0-the-foundation-protocol.md#4.3B Evidence immutability, derivation, and parity; blueprint/phase-2-identity-and-echoes.md#Convergence into one request model and one workflow"
INV_063_REDACTION_IS_NONDESTRUCTIVE,EvidenceRedactionTransform,Redaction narrows visibility through immutable transforms and preserves the source hash and redaction policy version.,packages/domains/intake_safety/src/evidence-backbone.ts::EvidenceRedactionTransformService.createRedactionTransform,packages/domains/intake_safety/tests/evidence-backbone.test.ts,"blueprint/phase-0-the-foundation-protocol.md#4.3B Evidence immutability, derivation, and parity; prompt/063.md"
INV_063_PARITY_REQUIRED_FOR_AUTHORITY,EvidenceSummaryParityRecord,Only parityState = verified may back an authoritative summary in an immutable snapshot.,packages/domains/intake_safety/src/evidence-backbone.ts::EvidenceSnapshotService.createEvidenceSnapshot,packages/domains/intake_safety/tests/evidence-backbone.test.ts,"blueprint/phase-0-the-foundation-protocol.md#4.3B Evidence immutability, derivation, and parity; blueprint/patient-account-and-communications-blueprint.md#PatientRequestSummaryProjection"
INV_063_PARITY_STATE_EXPLICIT,EvidenceSummaryParityRecord,"Summary parity records must resolve through explicit verified, stale, blocked, or superseded states.",packages/domains/intake_safety/src/evidence-backbone.ts::EvidenceSummaryParityService.createSummaryParityRecord,packages/domains/intake_safety/tests/evidence-backbone.test.ts,"prompt/063.md; blueprint/phase-0-the-foundation-protocol.md#4.3B Evidence immutability, derivation, and parity"
INV_063_SNAPSHOT_SINGLE_CURRENT,EvidenceSnapshot,Each evidence lineage may resolve to at most one current EvidenceSnapshot; supersession must reference the current authority.,packages/domains/intake_safety/src/evidence-backbone.ts::EvidenceSnapshotService.createEvidenceSnapshot; packages/domains/intake_safety/src/evidence-backbone.ts::InMemoryEvidenceBackboneStore.getCurrentEvidenceSnapshotForLineage,packages/domains/intake_safety/tests/evidence-backbone.test.ts; services/command-api/tests/evidence-backbone.integration.test.js,blueprint/phase-0-the-foundation-protocol.md#EvidenceSnapshot; prompt/063.md
INV_063_TECHNICAL_ONLY_UNATTACHED,EvidenceAssimilationCoordinator,technical_only and operational_nonclinical revisions stay unattached when policy allows and do not mutate prior snapshot truth.,packages/domains/intake_safety/src/evidence-backbone.ts::EvidenceAssimilationCoordinator.assimilateDerivationRevision,packages/domains/intake_safety/tests/evidence-backbone.test.ts; services/command-api/tests/evidence-backbone.integration.test.js,"blueprint/phase-0-the-foundation-protocol.md#4.3B Evidence immutability, derivation, and parity; prompt/063.md"
INV_063_MATERIAL_CHANGE_SUPERSEDES,EvidenceAssimilationCoordinator,"Clinically material, triage, delivery, or patient-visible interpretation changes create a new immutable snapshot through append-only supersession.",packages/domains/intake_safety/src/evidence-backbone.ts::EvidenceAssimilationCoordinator.assimilateDerivationRevision,packages/domains/intake_safety/tests/evidence-backbone.test.ts; services/command-api/tests/evidence-backbone.integration.test.js,"blueprint/phase-0-the-foundation-protocol.md#4.3B Evidence immutability, derivation, and parity; blueprint/callback-and-clinician-messaging-loop.md#Purpose"
INV_063_REPLAY_CLASSES_PRESERVE_FROZEN_EVIDENCE,EvidenceCaptureBundle,Replay and collision-review classes preserve immutable frozen evidence instead of skipping bundle freeze.,packages/domains/intake_safety/src/evidence-backbone.ts::EvidenceCaptureBundleService.freezeCaptureBundle,packages/domains/intake_safety/tests/evidence-backbone.test.ts; services/command-api/tests/evidence-backbone.integration.test.js,prompt/063.md; blueprint/phase-0-the-foundation-protocol.md#4.1 Command ingest and envelope creation; blueprint/phase-1-the-red-flag-gate.md#Submit algorithm
