route_path,route_kind,route_family_ref,shell_region,selected_anchor_policy,dominant_action,continuity_posture,gap_resolution_ref
/workspace,home,rf_staff_workspace,TodayWorkbenchHero,recommended_queue_expands_by_default,Resume the recommended queue,reuse_shell,
/workspace/queue/:queueKey,queue,rf_staff_workspace,QueueWorkboard,active_row_persists_during_rerank,Open task in same shell,reuse_shell,
/workspace/task/:taskId,task,rf_staff_workspace,TaskCanvasFrame,selected_anchor_freezes_to_current_task,Advance the current case safely,reuse_shell,
/workspace/task/:taskId/more-info,more-info,rf_staff_workspace_child,QuickCaptureTray,focus_protection_preserves_quiet_region,Send bounded more-info request,morph_child_surface,GAP_FUTURE_TASK_SPECIALIZATION_MORE_INFO_FRAME
/workspace/task/:taskId/decision,decision,rf_staff_workspace_child,DecisionDock,focus_protection_preserves_decision_context,Confirm the current decision preview,morph_child_surface,GAP_FUTURE_TASK_SPECIALIZATION_DECISION_FRAME
/workspace/approvals,approvals,rf_staff_workspace_child,ApprovalPreviewRail,approval_preview_stays_same_shell,Advance the promoted approval preview,morph_child_surface,GAP_RESOLUTION_STAFF_COPY_APPROVAL_PREVIEW
/workspace/escalations,escalations,rf_staff_workspace_child,EscalationWorkboard,dominant_action_remains_explicit,Relieve the escalated callback blocker,morph_child_surface,
/workspace/changed,changed,rf_staff_workspace_child,EvidenceDeltaPacket,return_anchor_survives_reopen_review,Acknowledge the authoritative delta packet,morph_child_surface,
/workspace/search,search,rf_staff_workspace_child,SearchWithinShell,search_term_and_return_target_are_preserved,Review the exact-match search result,morph_child_surface,
/workspace/support-handoff,support-handoff,rf_staff_workspace_child,BoundedSupportStub,staff_shell_ownership_is_preserved,Keep support handoff bounded,morph_child_surface,GAP_BOUNDARY_SUPPORT_SHELL_READ_ONLY_STUB
