journeyPathId,routeFamilyRef,routePattern,readinessVerdict,audience,environmentParity,freezeMode,degradationMode,evidenceCompleteness,continuityPosture,compatibilityTruth
jp_start_medical_request,medical_request_intake,/requests/new?type=medical,conditionally_ready,patient,profileThenRelease,live,none,conditional,conditional,conditional
jp_start_admin_request,admin_request_intake,/requests/new?type=admin,conditionally_ready,patient,profileThenRelease,live,none,conditional,conditional,conditional
jp_continue_draft,draft_resume,/requests/drafts/:draftId,conditionally_ready,patient,profileThenRelease,live,none,conditional,conditional,conditional
jp_request_status,request_status,/requests/:requestId/status,evidence_missing,patient,profileThenRelease,live,summary_only,missing,missing,conditional
jp_respond_more_info,more_info_response,/requests/:requestId/more-info/:checkpointId,evidence_missing,patient_and_staff,profileThenRelease,live,summary_only,missing,missing,conditional
jp_manage_local_appointment,appointment_manage,/appointments/:appointmentId/manage,conditionally_ready,patient_and_staff,profileThenRelease,placeholder_only,placeholder_summary,conditional,trusted,conditional
jp_pharmacy_choice,pharmacy_choice,/requests/:requestId/pharmacy/choice,evidence_missing,patient,profileThenRelease,live,summary_only,missing,conditional,conditional
jp_pharmacy_status,pharmacy_status,/requests/:requestId/pharmacy/status,ready,patient,allMatching,read_only,summary_only,complete,trusted,compatible
jp_waitlist_offer_response,waitlist_offer_response,/appointments/waitlist/:offerId/respond,blocked,patient_and_staff,adaptationBlocked,redirect_to_safe_route,safe_route_redirect,blocked,conditional,incompatible
jp_hub_alternative_offer,hub_alternative_offer,/appointments/hub-offers/:offerId,blocked,patient_and_staff,adaptationBlocked,hidden,summary_only,missing,missing,conditional
jp_records_letters_summary,record_letter_summary,/records/letters/:letterId,placeholder_only,patient,adaptationBlocked,hidden,placeholder_summary,placeholder_only,placeholder,compatible
jp_patient_message_thread,patient_message_thread,/messages/:threadId,evidence_missing,patient_and_staff,adaptationBlocked,hidden,summary_only,missing,missing,conditional
jp_urgent_emergency_advice,urgent_emergency_advice,/urgent-and-emergency-care,blocked,internal_assurance,outOfScope,hidden,out_of_scope,blocked,missing,not_applicable
