concernId,lawArea,canonicalObjectOrField,frozenSource,ownerTrack,collisionStatus,resolution
CC314_001,hub_case_and_lineage,HubCoordinationCase + booking lineage,311,par_315,clear,314 opens par_315 directly against the 311 case kernel freeze.
CC314_002,acting_context,ActingContext + ActingScopeTuple,311,par_316,clear,314 opens par_316 directly against the 311 acting-context freeze.
CC314_003,minimum_necessary_visibility,CrossOrganisationVisibilityEnvelope + audience tiers,311,par_316,clear,Visibility enforcement stays with par_316 and is consumed read-only by later tracks.
CC314_004,policy_tuple_hash,policyTupleHash,312,par_317,clear,Tuple hash remains deterministic and owned by the compiler/evaluation engine.
CC314_005,ranking_frontier_law,patient-offerable and direct-commit frontier law,312,par_317,clear,314 forbids later tracks from reordering candidates outside 312 law.
CC314_006,truth_tuple_hash,truthTupleHash,313,par_321,clear,Commit evidence and confirmation truth stay centered on par_321.
CC314_007,truth_projection_writer,HubOfferToConfirmationTruthProjection,313,par_321,resolved_by_314,Canonical writer locked to par_321; sibling tracks emit deltas only via the 314 seam.
CC314_008,supplier_mirror_bootstrap,HubSupplierMirrorState,313 seam,par_325,resolved_by_314,State ownership locked to par_325; par_321 emits bootstrap requests only.
CC314_009,exception_lifecycle,HubCoordinationException,313 seam,par_323,resolved_by_314,Canonical exception creation stays with par_323; par_325 emits worker outcomes only.
CC314_010,shell_ownership,HubDeskShell + folded-shell contract,311 route family,par_326,clear,Later frontend tracks extend the shell rather than forking route ownership.
CC314_011,phase4_performance_carry_forward,interaction support target,310,seq_314,carried_forward,ISSUE310_003 remains active until seq_340 proves the browser-visible family under load.
CC314_012,provider_evidence_class_boundaries,live vs sandbox vs unsupported vs future-network claims,310 and 313,seq_314,carried_forward,Later commit and visibility tracks must not collapse evidence classes.
