case_id,start_status,command_id,end_status,predicate_id,owner_effect,required_refs
TC315_001,hub_requested,validate_intake,intake_validated,P311_REQUEST_LINEAGE_BOUND,no_owner_change,parent_lineage_case_link_ref
TC315_002,intake_validated,queue_hub_case,queued,P311_QUEUE_ADMISSION_CLEAR,no_owner_change,queue_entered_at
TC315_003,queued,claim_hub_case,claimed,P311_CASE_CLAIMED_FROM_QUEUE,epoch_increments,ownership_lease_ref|ownership_fence_token
TC315_004,claimed,begin_candidate_search,candidate_searching,P311_REFRESH_CANDIDATES_ALLOWED,owner_required,policy_tuple_hash|policy_evaluation_ref
TC315_005,candidate_searching,publish_candidates_ready,candidates_ready,P311_CANDIDATES_CURRENT,owner_required,candidate_snapshot_ref|cross_site_decision_plan_ref
TC315_006,candidates_ready,enter_coordinator_selecting,coordinator_selecting,P311_SELECTION_RESUMED,owner_required,selected_candidate_ref
TC315_007,coordinator_selecting,enter_candidate_revalidating,candidate_revalidating,P311_SELECTED_CANDIDATE_PRECHECK,owner_required,selected_candidate_ref
TC315_008,candidate_revalidating,enter_native_booking_pending,native_booking_pending,P311_REVALIDATION_PASSED,owner_required,booking_evidence_ref
TC315_009,native_booking_pending,mark_confirmation_pending,confirmation_pending,P311_PENDING_CONFIRMATION_ONLY,owner_required,external_confirmation_state
TC315_010,confirmation_pending,mark_booked_pending_practice_ack,booked_pending_practice_ack,P311_CONFIRMATION_GATE_CLEARED,owner_required,network_appointment_ref|offer_to_confirmation_truth_ref|practice_ack_generation
TC315_011,booked_pending_practice_ack,mark_booked,booked,P311_ACK_GENERATION_SATISFIED,owner_required,practice_ack_generation
TC315_012,candidates_ready,mark_callback_transfer_pending,callback_transfer_pending,P311_CALLBACK_PENDING_FROM_READY,owner_required,active_fallback_ref
TC315_013,callback_transfer_pending,mark_callback_offered,callback_offered,P311_CALLBACK_LINKED,owner_required,callback_expectation_ref
TC315_014,candidates_ready,mark_escalated_back,escalated_back,P311_RETURN_FROM_READY,owner_required,active_fallback_ref
TC315_015,booked,close_hub_case,closed,P311_OPEN_BLOCKERS_EMPTY,ownership_released,close_decision_ref
TC315_016,callback_offered,close_hub_case,closed,P311_CALLBACK_CONTINUATION_DURABLE,ownership_released,close_decision_ref
TC315_017,escalated_back,close_hub_case,closed,P311_RETURN_CONTINUATION_DURABLE,ownership_released,close_decision_ref
TC315_018,claimed,mark_stale_owner_recovery_pending,claimed,P315_STALE_OWNER_RECOVERY,epoch_increments,active_ownership_transition_ref
TC315_019,booked,release_hub_case,booked,P315_RELEASE_OWNERSHIP_ONLY,epoch_increments,current_fence_token
TC315_020,booked,transfer_hub_ownership,booked,P315_TRANSFER_OWNERSHIP,epoch_increments,next_ownership_lease_ref|next_ownership_fence_token
