task_id,task_title,phase_ref,baseline_scope,orphan_state,notes
seq_001,ingest blueprint corpus and establish traceable requirement registry,planning,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_003,define product scope boundary and non goals,planning,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_006,map canonical domain glossary and object catalog,planning,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_007,map state machines and cross phase invariants,planning,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_011,choose cloud region tenant model and trust zone strategy,planning,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_019,create requirement to task traceability map,planning,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_030,external use Playwright or other appropriate tooling browser automation to register nhs app site link metadata placeholders,external_readiness,deferred,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_031,external select telephony ivr sms and email vendors,external_readiness,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_034,external select transcription and artifact scanning providers,external_readiness,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_037,external identify pharmacy directory and update record access paths,external_readiness,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_038,external create local adapter simulator backlog for unavailable or manual integrations,external_readiness,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_039,external document manual approval checkpoints and browser automation retries,external_readiness,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_040,external freeze integration contract assumptions and degraded mode defaults,external_readiness,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_041,phase0 freeze repository topology and package boundary rules,phase_0,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_042,phase0 scaffold monorepo apps services and packages,phase_0,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_044,phase0 scaffold domain context modules and shared contract packages,phase_0,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_045,phase0 publish coding standards branching and commit conventions,phase_0,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_046,phase0 define runtime topology manifest and workload families,phase_0,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_048,phase0 define canonical event namespace and schema registry process,phase_0,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_049,phase0 define fhir representation contract strategy,phase_0,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_054,phase0 define tenant isolation and acting scope tuple model,phase_0,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_055,phase0 define lifecycle coordinator and closure blocker rules,phase_0,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_057,phase0 define adapter contract profile template and degradation profiles,phase_0,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_058,phase0 define verification ladder and environment ring policy,phase_0,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
seq_059,phase0 define seed data and simulator strategy,phase_0,current,weakly_grounded,Mappings are indirect and should be revisited when the prompt spec is enriched.
