referenceCaseId,scenarioClass,layer,pathKind,usedRealCurrentPath,routeFamilyRef,gatewaySurfaceRef,status,canonicalObjectRefs,eventRefs,settlementRefs,projectionRefs,closureBlockerRefs,continuityState,lineageTraceable,coordinatorOwnedClosure,gapRefs,notes
RC_FLOW_001,nominal,gateway,runtime_http,true,rf_intake_self_service,gws_patient_intake_web,200:degraded,,,,,,mock_published_with_downgrade,true,true,GAP_REFERENCE_FLOW_EVENT_MAPPING_INTAKE_PROMOTION_STARTED | GAP_REFERENCE_FLOW_EVENT_MAPPING_INTAKE_PROMOTION_SUPERSEDED_GRANTS_APPLIED | GAP_REFERENCE_FLOW_EVENT_MAPPING_INTAKE_PROMOTION_COMMITTED,Real gateway authority evaluation over local HTTP.
RC_FLOW_001,nominal,command_api,runtime_http,true,rf_intake_self_service,gws_patient_intake_web,200:awaiting_settlement_evidence,,command.placeholder.accepted,queued_stub,,,observed,true,true,,Real command ingress over local HTTP.
RC_FLOW_001,nominal,domain_kernel,domain_orchestrator,true,rf_intake_self_service,gws_patient_intake_web,authoritative_progress_recorded,SubmissionEnvelope:command_api_submission_backbone_submissionEnvelope_0001 | SubmissionPromotionRecord:command_api_submission_backbone_submissionPromotionRecord_0001 | Request:command_api_submission_backbone_request_0001 | RequestLineage:command_api_submission_backbone_requestLineage_0001 | Episode:command_api_submission_backbone_episode_0001 | EvidenceAssimilationRecord:command_api_assimilation_safety_evidenceAssimilation_0001,intake.promotion.started | intake.promotion.superseded_grants_applied | intake.promotion.committed | intake.promotion.settled | request.created | request.submitted,command_settlement_simulation_072_local_ack_command_settlement_simulation_072_local_ack_lease_command_action_record_0001_2026-04-12T12:01:20Z_settlement_command_settlement_record_0001 | command_settlement_simulation_072_local_ack_command_settlement_simulation_072_local_ack_lease_command_action_record_0001_2026-04-12T12:01:40Z_settlement_command_settlement_record_0001,,,triage_ready_and_authoritatively_settled,true,true,,Canonical domain and orchestrator proof reused by the synthetic harness.
RC_FLOW_001,nominal,event_spine,event_spine,true,rf_intake_self_service,gws_patient_intake_web,mapped_transport_rows,,intake.promotion.started | intake.promotion.superseded_grants_applied | intake.promotion.committed | intake.promotion.settled | request.created | request.submitted,unmapped | unmapped | unmapped | stream_intake | stream_request | stream_request,q_event_projection_live | q_event_projection_replay | q_event_assurance_audit | q_event_projection_live | q_event_projection_replay | q_event_assurance_audit | q_event_projection_live | q_event_projection_replay | q_event_assurance_audit,,transport_and_queue_lineage_preserved,true,true,GAP_REFERENCE_FLOW_EVENT_MAPPING_INTAKE_PROMOTION_STARTED | GAP_REFERENCE_FLOW_EVENT_MAPPING_INTAKE_PROMOTION_SUPERSEDED_GRANTS_APPLIED | GAP_REFERENCE_FLOW_EVENT_MAPPING_INTAKE_PROMOTION_COMMITTED,Canonical event names mapped into the published event spine transport rows.
RC_FLOW_001,nominal,projection_worker,runtime_http,true,rf_intake_self_service,gws_patient_intake_web,200:armed,,projection.placeholder.accepted,,PQC_050_RF_INTAKE_SELF_SERVICE_V1 | projection::patient-home,,stale-read-explicit,true,true,,Real projection intake and freshness endpoints over local HTTP.
RC_FLOW_001,nominal,shell_observatory,shell_manifest,true,rf_intake_self_service,gws_patient_intake_web,partial:recovery_only,,,FMTUP_127_SURF_PATIENT_INTAKE_WEB_V1,surf_patient_intake_web,,The patient shell returns to the same request lineage with a truthful settled posture instead of a reopened draft.,true,true,,Published shell tuple and continuity expectation reflected in the observatory.
RC_FLOW_002,replay,gateway,runtime_http,true,rf_patient_requests,gws_patient_requests,200:published,,,,,,mock_published,true,true,GAP_REFERENCE_FLOW_EVENT_SPINE_REPLAY_MAPPING_PENDING | GAP_REFERENCE_FLOW_EVENT_MAPPING_INTAKE_PROMOTION_STARTED | GAP_REFERENCE_FLOW_EVENT_MAPPING_INTAKE_PROMOTION_SUPERSEDED_GRANTS_APPLIED | GAP_REFERENCE_FLOW_EVENT_MAPPING_INTAKE_PROMOTION_COMMITTED | GAP_REFERENCE_FLOW_EVENT_MAPPING_INTAKE_PROMOTION_REPLAY_RETURNED,Real gateway authority evaluation over local HTTP.
RC_FLOW_002,replay,command_api,runtime_http,true,rf_patient_requests,gws_patient_requests,200:awaiting_settlement_evidence,,command.placeholder.accepted,queued_stub,,,observed,true,true,,Real command ingress over local HTTP.
RC_FLOW_002,replay,domain_kernel,domain_orchestrator,true,rf_patient_requests,gws_patient_requests,replayed_authoritative,Request:command_api_submission_backbone_request_0001 | ReplayRequest:command_api_submission_backbone_request_0001,intake.promotion.started | intake.promotion.superseded_grants_applied | intake.promotion.committed | intake.promotion.settled | request.created | request.submitted | intake.promotion.replay_returned,command_api_submission_backbone_request_0001 | command_api_submission_backbone_request_0001 | lookup:submissionEnvelopeRef,,,prior_authoritative_outcome_reused,true,true,GAP_REFERENCE_FLOW_EVENT_SPINE_REPLAY_MAPPING_PENDING,Canonical domain and orchestrator proof reused by the synthetic harness.
RC_FLOW_002,replay,event_spine,event_spine,true,rf_patient_requests,gws_patient_requests,mapped_transport_rows,,intake.promotion.started | intake.promotion.superseded_grants_applied | intake.promotion.committed | intake.promotion.settled | request.created | request.submitted | intake.promotion.replay_returned,unmapped | unmapped | unmapped | stream_intake | stream_request | stream_request | unmapped,q_event_projection_live | q_event_projection_replay | q_event_assurance_audit | q_event_projection_live | q_event_projection_replay | q_event_assurance_audit | q_event_projection_live | q_event_projection_replay | q_event_assurance_audit,,transport_and_queue_lineage_preserved,true,true,GAP_REFERENCE_FLOW_EVENT_MAPPING_INTAKE_PROMOTION_STARTED | GAP_REFERENCE_FLOW_EVENT_MAPPING_INTAKE_PROMOTION_SUPERSEDED_GRANTS_APPLIED | GAP_REFERENCE_FLOW_EVENT_MAPPING_INTAKE_PROMOTION_COMMITTED | GAP_REFERENCE_FLOW_EVENT_MAPPING_INTAKE_PROMOTION_REPLAY_RETURNED,Canonical event names mapped into the published event spine transport rows.
