posture_class,visible_safe_summary,withheld_structure,placeholder_footprint,interactive_posture,explanation_rule
loading_summary,known object headline and status strip,detail rows still hydrating,known_structure,guarded,Reserve only the footprint that is already known
empty,queue choice and filter tuple,none,none,live,Explain what usually appears and the next safe move
sparse,top watchpoint and one calm summary,non-dominant modules collapsed,none,live,Keep residual meaning without decorative density
partial_visibility,safe summary rows remain,identity and capability fields withheld,table_row,guarded,Name the withheld structure and keep visible truth explicit
stale_review,last stable board remains,fresh counts and confidence deferred,chart,guarded,Suppress writable reassurance until freshness review clears
blocked_recovery,last safe case summary remains,further actions blocked,card,blocked,Keep one dominant recovery path and subordinate help below it
read_only,published diff and audit summary remain,approval controls fenced,card,read_only,Do not imply mutability while read-only fence is active
placeholder_only,result identity and summary remain,artifact body withheld,line|card,guarded,Use governed placeholder copy and preserve spatial structure
calm_degraded,thread summary remains,reassurance and composer suppressed,card,live,Keep the same shell while explicitly suppressing calm completion language
bounded_recovery,last safe transfer tuple remains,full action set narrowed to one path,card,recovery_only,Keep only one governed resume path armed
