stage_id,stage_name,stage_group,stage_class,entry_conditions,required_artifacts,manual_checkpoints,browser_automation_possible,mock_now_action,actual_later_action,outputs,safety_and_privacy_dependencies,risk_refs,notes,source_refs,prerequisite_stage_ids,live_gate_refs
product_profile_defined,Product profile defined,initiation,internal_rehearsal,Bound the IM1 use case to booking-capability work only.<br>Record that NHS login and patient continuity remain admissible without IM1.,ART_PRODUCT_PROFILE_DOSSIER,Architect and interoperability lead agree the IM1 scope stays bounded.,yes,Capture the internal product profile and IM1 disclaimers inside the rehearsal studio.,Use the same bounded profile as the basis of later prerequisites-form preparation.,Bounded IM1 use-case summary<br>Stage unlock for prerequisites drafting,RISK_EXT_IM1_SCAL_DELAY<br>HZ_WRONG_PATIENT_BINDING,RISK_EXT_IM1_SCAL_DELAY<br>HZ_WRONG_PATIENT_BINDING,This is where the pack closes the critical-path contradiction: IM1 is prepared early but remains non-authoritative for Phase 2 identity.,blueprint/phase-2-the-identity-and-echoes.md#Rule 5: keep IM1 out of the critical path for this phase<br>prompt/026.md,,
prerequisites_drafted,Prerequisites drafted,initiation,internal_rehearsal,The exact public prerequisites-form fields are mapped.<br>Clinical safety and IG prerequisites are linked to current Vecells artifacts.,ART_CLINICAL_SAFETY_DECLARATION<br>ART_HAZARD_LOG<br>ART_DPIA_AND_PRIVACY_NOTICE<br>ART_DSPT_ISMS_PEN_TEST_PLAN,"Clinical safety, privacy, and security owners confirm placeholder posture is current.",yes,Fill the rehearsal dossier from the exact public field map and show blockers where the product still carries placeholders.,Use the same field map as the browser-automation dry-run profile before any real form interaction.,Complete prerequisites field map<br>Draft readiness notes per field,RISK_EXT_IM1_SCAL_DELAY<br>RISK_RUNTIME_001,RISK_EXT_IM1_SCAL_DELAY<br>RISK_RUNTIME_001,"The rehearsal twin must show exact public prerequisites truth, not a simplified narrative checklist.",official_im1_prerequisites_form<br>official_scal_process,product_profile_defined,
stage_one_scal_stub_ready,Stage-one SCAL stub ready,initiation,internal_rehearsal,"A supplier/product/service dossier exists for stage-one SCAL preparation.<br>Capability, route-family, and architecture digests are current.",ART_STAGE_ONE_SCAL_STUB<br>ART_PROVIDER_CAPABILITY_MATRIX_DIGEST<br>ART_ROUTE_FAMILY_COMPATIBILITY_MATRIX<br>ART_PRODUCT_PROFILE_DOSSIER,Interoperability lead confirms the stage-one stub stays aligned to the bounded use case.,yes,Generate the internal stage-one SCAL skeleton and link every claim back to a Vecells artifact.,Freeze the dossier so a future form run can populate product information without reinterpreting the architecture.,Stage-one SCAL stub<br>Artifact traceability map,RISK_EXT_IM1_SCAL_DELAY<br>RISK_RUNTIME_001,RISK_EXT_IM1_SCAL_DELAY<br>RISK_RUNTIME_001,"The public IM1 page names stage-one SCAL but not every field, so the stub stays explicit about what is derived.",official_im1_pairing_process<br>official_scal_process<br>ASSUMPTION_IM1_STAGE_ONE_SCAL_FIELDS,prerequisites_drafted,
provider_supplier_targeting_ready,Provider supplier targeting ready,initiation,internal_rehearsal,The current public provider roster has a fetch-at-runtime source.<br>Each targeted route family has supplier-specific compatibility notes.,ART_PROVIDER_CAPABILITY_MATRIX_DIGEST<br>ART_ROUTE_FAMILY_COMPATIBILITY_MATRIX<br>ART_PROVIDER_ROSTER_REFRESH_EVIDENCE,Interoperability lead confirms the target suppliers still match the current public roster.,partial,Select providers in the rehearsal matrix and capture route-family compatibility notes.,Fetch the current roster at runtime before any real portal preparation and block if the official roster no longer matches the pack.,Provider-targeting matrix<br>Runtime roster refresh rule,RISK_EXT_BOOKING_PROVIDER_GAP<br>RISK_EXT_IM1_SCAL_DELAY,RISK_EXT_BOOKING_PROVIDER_GAP<br>RISK_EXT_IM1_SCAL_DELAY,This stage exists specifically to stop provider paperwork drifting away from actual supplier capability evidence.,official_im1_pairing_process<br>official_im1_prerequisites_form<br>official_im1_api_standards,stage_one_scal_stub_ready,LIVE_GATE_PROVIDER_ROSTER_REFRESH_REQUIRED
compatibility_claim_ready,Compatibility claim ready,initiation,internal_rehearsal,Compatibility claims are tied to ProviderCapabilityMatrix and BookingProviderAdapterBinding evidence.<br>The booking truth guardrail statement is current.,ART_PROVIDER_CAPABILITY_MATRIX_DIGEST<br>ART_ROUTE_FAMILY_COMPATIBILITY_MATRIX<br>ART_STAGE_ONE_SCAL_STUB,Booking domain lead signs off that compatibility does not overclaim booked truth or live reach.,yes,Render route-family compatibility claims and explicit unsupported states in the control tower.,Carry the same claims into later supplier conversations and reject any step that asks for broader capability than the matrix allows.,Compatibility claim digest<br>Supplier-specific caveat notes,RISK_EXT_BOOKING_PROVIDER_GAP<br>RISK_MUTATION_003,RISK_EXT_BOOKING_PROVIDER_GAP<br>RISK_MUTATION_003,Compatibility readiness is not the same as live approval or technical acceptance.,official_im1_pairing_process<br>phase-0-the-foundation-protocol.md#1.13B BookingProviderAdapterBinding,provider_supplier_targeting_ready,
model_interface_licence_placeholder_ready,Model Interface Licence placeholder ready,initiation,internal_rehearsal,Provider-specific licence slots exist for each targeted supplier.<br>Named signatory placeholders are tracked by role instead of repo fixture.,ART_MODEL_INTERFACE_LICENCE_PLACEHOLDERS,Commercial and governance leads confirm placeholder-only posture.,no,Track licence readiness and signatory placeholders without storing real legal or signing details.,"Populate the real licence pack only after named sponsor, commercial owner, and approver details exist outside the repo.",Licence placeholder register<br>Role-owned signatory slots,RISK_EXT_IM1_SCAL_DELAY,RISK_EXT_IM1_SCAL_DELAY,"Licence readiness exists early, but licence execution remains a later human-governed checkpoint.",official_im1_pairing_process<br>ASSUMPTION_IM1_LICENCE_SIGNATORIES_PLACEHOLDER_ONLY,compatibility_claim_ready,LIVE_GATE_NAMED_SPONSOR_AND_COMMERCIAL_OWNER<br>LIVE_GATE_NAMED_APPROVER_PRESENT
provider_mock_api_rehearsal_ready,Provider mock API rehearsal ready,unsupported_test,internal_rehearsal,"The unsupported-test simulator preserves supplier truth, ambiguity, and fallback semantics.<br>PIP placeholder registry and provider mock-API rehearsal log are current.",ART_PROVIDER_MOCK_API_REHEARSAL_LOG<br>ART_PAIRING_INTEGRATION_PACK_REGISTER,Booking domain lead confirms the simulator is stricter than a typical happy-path vendor stub.,yes,Exercise unsupported-test behavior entirely inside the rehearsal studio and local simulators.,Use the same capability and artifact model when real provider mock-API access is later granted.,Unsupported-test rehearsal evidence<br>PIP placeholder list,RISK_EXT_BOOKING_PROVIDER_GAP<br>RISK_RUNTIME_001,RISK_EXT_BOOKING_PROVIDER_GAP<br>RISK_RUNTIME_001,Access to a provider mock API is never treated as live or authoritative booking truth.,official_im1_pairing_process<br>official_im1_api_standards,model_interface_licence_placeholder_ready,
supported_test_readiness_blocked,Supported-test readiness blocked,supported_test,blocked_until_mvp,"The full SCAL is complete.<br>Named sponsor, commercial owner, approver, and environment target are present.<br>Provider-specific evidence and assurance freshness are current.",ART_SUPPORTED_TEST_REQUEST_CHECKLIST<br>ART_ASSURANCE_EVIDENCE_INDEX,Human review confirms the supported-test request is admissible.,partial,Show the blocked state explicitly with machine-readable blocker chips.,Request Supported Test Environment access only after the live-gate pack turns green.,Supported-test blocker digest<br>Live-gate dependency list,RISK_EXT_IM1_SCAL_DELAY<br>RISK_EXT_BOOKING_PROVIDER_GAP<br>HZ_WRONG_PATIENT_BINDING,RISK_EXT_IM1_SCAL_DELAY<br>RISK_EXT_BOOKING_PROVIDER_GAP<br>HZ_WRONG_PATIENT_BINDING,The pack intentionally keeps this blocked today so the studio cannot be mistaken for approval.,official_im1_pairing_process<br>prompt/026.md,provider_mock_api_rehearsal_ready,LIVE_GATE_PROVIDER_CAPABILITY_MODEL_FROZEN<br>LIVE_GATE_SAFETY_PRIVACY_ARCHITECTURE_CURRENT<br>LIVE_GATE_NAMED_SPONSOR_AND_COMMERCIAL_OWNER<br>LIVE_GATE_NAMED_APPROVER_PRESENT<br>LIVE_GATE_ENVIRONMENT_TARGET_PRESENT
assurance_pack_in_progress,Assurance pack in progress,assurance,internal_rehearsal,"The assurance evidence index exists.<br>Safety, privacy, architecture, and runtime artifacts are linked into the IM1 pack.",ART_ASSURANCE_EVIDENCE_INDEX<br>ART_HAZARD_LOG<br>ART_DPIA_AND_PRIVACY_NOTICE<br>ART_DSPT_ISMS_PEN_TEST_PLAN,Governance lead confirms freshness posture and missing evidence list.,yes,Track evidence freshness and blocker counts in the control tower header and inspector.,Use the same evidence ordering when the later SCAL and assurance review run begins.,Assurance evidence freshness index<br>Evidence-gap list,RISK_RUNTIME_001<br>RISK_MUTATION_003,RISK_RUNTIME_001<br>RISK_MUTATION_003,"Assurance is represented as an explicit workstream, not a hidden endnote after technical pairing.",official_im1_pairing_process<br>official_scal_process,stage_one_scal_stub_ready,LIVE_GATE_SAFETY_PRIVACY_ARCHITECTURE_CURRENT
rfc_watch_registered,RFC watch registered,rfc_watch,internal_rehearsal,"AI, major function, supplier, route-family, and medical-device change classes are named.<br>Each class maps to an updated SCAL and documentation expectation.",ART_RFC_TRIGGER_REGISTER,Programme architect confirms the watch register stays aligned with Phase 8 and later scope changes.,yes,Track RFC trigger classes in the rehearsal studio and make them visible in the licence watch view.,Use the same trigger register when product scope evolves after assurance or live rollout.,RFC trigger register<br>AI and major-change watchpoints,RISK_MUTATION_003,RISK_MUTATION_003,This closes the gap where assistive or AI expansion might otherwise ride through stale IM1 paperwork.,official_im1_pairing_process<br>blueprint/phase-8-the-assistive-layer.md,product_profile_defined,
