contract_ref,contract_kind,architecture_plane,primary_adr_id,supporting_adr_ids,bound_view_id,source_refs,upstream_task_refs,runtime_consumers,binding_law,drift_effect,validation_obligations,status
RuntimeTopologyManifest,runtime_manifest,runtime_topology,ADR-016-004,ADR-016-003; ADR-016-011,view_container_topology,platform-runtime-and-release-blueprint.md#RuntimeTopologyManifest; 11_gateway_surface_and_runtime_topology_baseline.md,seq_011; seq_016,public edge; gateway families; governance topology review; operations boards,"All gateway, workload, and trust-zone publications point back to one current runtime topology manifest.","Browser, gateway, and control surfaces freeze to recovery or diagnostic posture when topology parity drifts.",Verify trust-zone and gateway surface parity against the current manifest.,accepted
GatewayBffSurface,gateway_contract,gateway_boundary,ADR-016-005,ADR-016-004; ADR-016-010,view_frontend_gateway_design_contract,platform-runtime-and-release-blueprint.md#GatewayBffSurface; 14_gateway_bff_pattern_and_surface_split.md,seq_011; seq_014; seq_016,browsers; route-family clients; gateway executables; operations drilldown,Every browser-callable route family resolves through a published gateway surface.,"Unpublished or stale routes drop to summary-only, recovery-only, or blocked posture.",Block direct browser calls beyond published gateway surfaces.,accepted
FrontendContractManifest,frontend_manifest,browser_authority,ADR-016-005,ADR-016-010,view_frontend_gateway_design_contract,platform-runtime-and-release-blueprint.md#FrontendContractManifest; 14_shell_and_route_runtime_architecture.md,seq_014; seq_016,typed clients; shell registries; automation suites,"Route families, live-channel contracts, and shell entrypoints publish through one current frontend manifest.",Route-level authority becomes recovery-only until the manifest and runtime tuple realign.,Fail route publication when manifest digests drift from runtime publication.,accepted
AudienceSurfaceRuntimeBinding,runtime_tuple,browser_authority,ADR-016-010,ADR-016-005; ADR-016-011; ADR-016-015,view_frontend_gateway_design_contract,phase-0-the-foundation-protocol.md#AudienceSurfaceRuntimeBinding; platform-runtime-and-release-blueprint.md#AudienceSurfaceRuntimeBinding,seq_011; seq_014; seq_015; seq_016,patient shell; staff shells; support; operations; governance,Writable or calmly trustworthy surfaces require one current audience-surface runtime binding.,"Surfaces remain same-shell but freeze to read-only, summary-only, or recovery-only posture.","Require exact route, design-contract, release, parity, and recovery tuple agreement.",accepted
DesignContractPublicationBundle,design_contract,browser_authority,ADR-016-010,ADR-016-011; ADR-016-015,view_frontend_gateway_design_contract,phase-0-the-foundation-protocol.md#DesignContractPublicationBundle; platform-frontend-blueprint.md#12A. The active DesignContractPublicationBundle and DesignContractLintVerdict must remain current,seq_012; seq_014; seq_016,DOM markers; automation anchors; telemetry vocabularies; artifact posture renderers,"Token export, state semantics, automation markers, telemetry vocabulary, and artifact posture publish as one bundle.",Surfaces downgrade in place instead of rendering mixed-vocabulary truth.,Block writable or calm posture when design-contract lint or digest drift occurs.,accepted
RouteIntentBinding,mutation_authority,lifecycle_control,ADR-016-008,ADR-016-006; ADR-016-010; ADR-016-015,view_domain_runtime_control_plane,"phase-0-the-foundation-protocol.md#RouteIntentBinding; forensic-audit-findings.md#Finding 91 - The audit still treated route, settlement, release, and trust controls as phase-local conventions",seq_005; seq_013; seq_016,browser shells; command API; capability and action-routing projections,Every post-submit mutation binds one exact target tuple through RouteIntentBinding.,"Stale, ambiguous, or orphaned actions recover in the same shell rather than mutating directly.","Reject writable actions when route intent is missing, partial, or tuple-drifted.",accepted
CommandSettlementRecord,authoritative_settlement,lifecycle_control,ADR-016-008,ADR-016-006; ADR-016-009,view_data_event_storage_integration,phase-0-the-foundation-protocol.md#CommandSettlementRecord; platform-frontend-blueprint.md#CommandSettlementRecord.authoritativeOutcomeState,seq_005; seq_013; seq_014; seq_016,browser shells; projections; audit; partner outcome repair,Consequential commands yield an authoritative settlement record before user-visible finality is legal.,UI can stay locally acknowledged but not final until settlement or command-following projection truth exists.,Fail any final-state render that cannot cite current settlement or derived projection proof.,accepted
ReleaseApprovalFreeze,release_tuple,release_authority,ADR-016-011,ADR-016-015; ADR-016-016,view_release_assurance_resilience,phase-0-the-foundation-protocol.md#ReleaseApprovalFreeze; platform-admin-and-config-blueprint.md#Production promotion gate,seq_011; seq_015; seq_016,release pipeline; governance review; embedded and channel-specific writable gates,Promotion and writable posture remain bound to one immutable approval freeze tuple.,"Any tuple drift is a hard freeze for promotion, widening, or writable exposure.","Require baselineTupleHash, approvalTupleHash, and releaseContractMatrixHash parity.",accepted
ChannelReleaseFreezeRecord,channel_release_tuple,release_authority,ADR-016-011,ADR-016-012; ADR-016-016,view_release_assurance_resilience,"phase-0-the-foundation-protocol.md#ChannelReleaseFreezeRecord; forensic-audit-findings.md#Finding 91 - The audit still treated route, settlement, release, and trust controls as phase-local conventions",seq_011; seq_015; seq_016,embedded surfaces; channel bridges; operations boards; governance handoff,Channel-specific writable posture requires a compatible channel release freeze record.,Embedded or channel-specific surfaces can preserve context but not expose writable affordances.,Require channel compatibility and bridge floor before writable embedded posture.,accepted
AssuranceSliceTrustRecord,trust_tuple,assurance,ADR-016-012,ADR-016-011; ADR-016-015,view_release_assurance_resilience,phase-0-the-foundation-protocol.md#AssuranceSliceTrustRecord; forensic-audit-findings.md#Finding 95 - The audit still omitted governance watch-tuple parity and recovery posture from release oversight,seq_009; seq_015; seq_016,operations boards; governance boards; support diagnostics; release gates,Trust posture is authoritative for affected assurance slices and cannot be inferred from local dashboards.,Consumers fall to diagnostic or governance-handoff posture instead of optimistic actionability.,"Gate automation on trust lower bounds, not hopeful point estimates.",accepted
