ttl_profile_id,session_posture,idle_timeout_seconds,absolute_timeout_seconds,reauth_before_seconds,session_epoch_action,cookie_action,csrf_action,access_grant_action,writable_authority_state,reason_codes
TTL_171_ANONYMOUS_PRE_AUTH,anonymous_pre_auth,900,1800,300,no_session,none,issue,none,blocked,AUTH_171_ANON_PRE_AUTH
TTL_171_AUTH_TRANSACTION_PENDING,auth_transaction_pending,300,600,120,no_session,none,rotate,none,blocked,AUTH_171_TRANSACTION_PENDING
TTL_171_SIGNED_IN_FRESH,signed_in,1800,28800,900,create,set_secure_http_only,issue,grant_within_capability,writable,AUTH_171_SESSION_FRESH
TTL_171_ROTATE_EXISTING,rotate_existing,1800,28800,900,rotate,rotate_secure_http_only,rotate,grant_within_capability,writable,AUTH_171_SESSION_ROTATED
TTL_171_REUSE_EXISTING,reuse_existing,1200,21600,600,reuse,preserve_read_only,preserve_read_only,preserve_read_only,read_only,AUTH_171_SESSION_REUSED_READ_ONLY
TTL_171_CLAIM_PENDING,claim_pending,900,7200,300,rotate,rotate_secure_http_only,rotate,continuation_recovery_only,read_only,AUTH_171_CLAIM_PENDING
TTL_171_RE_AUTH_REQUIRED,re_auth_required,300,900,0,no_session,clear,clear,supersede_writable,blocked,AUTH_171_RE_AUTH_REQUIRED
TTL_171_SESSION_EXPIRED,session_expired,0,0,0,terminate,clear,clear,supersede_all,blocked,AUTH_171_SESSION_EXPIRED
TTL_171_SUBJECT_CONFLICT,subject_conflict,0,0,0,terminate,clear,clear,supersede_all,blocked,AUTH_171_SUBJECT_CONFLICT
TTL_171_BOUNDED_RECOVERY,bounded_recovery,600,1800,0,no_session,none,issue,continuation_recovery_only,blocked,AUTH_171_BOUNDED_RECOVERY
TTL_171_LOGOUT,logout,0,0,0,terminate,clear,clear,supersede_all,blocked,AUTH_171_LOGOUT
