redirect_id,environment_profile_id,client_id,route_binding_id,route_family_id,route_family,callback_uri,route_intent_key,session_ceiling,overflow_strategy,official_limit_state,notes,source_refs
redir_001,env_local_mock,mc_patient_portal,rb_patient_home,rf_patient_home,Home,http://127.0.0.1:4174/auth/callback/home,patient.home.entry,auth_read_only,opaque_state_fanout_when_more_than_10,within_current_limit,Home remains projection-only after auth until local capability law admits wider actions.,official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_002,env_local_mock,mc_patient_portal,rb_patient_requests,rf_patient_requests,Requests,http://127.0.0.1:4174/auth/callback/requests,patient.requests.detail,auth_read_only_or_writable_after_local_capability,opaque_state_fanout_when_more_than_10,within_current_limit,"Reply, claim, and recovery actions remain route-bound after local session establishment.",official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_003,env_local_mock,mc_patient_portal,rb_patient_appointments,rf_patient_appointments,Appointments,http://127.0.0.1:4174/auth/callback/appointments,patient.appointments.manage,writable_if_local_capability_allows,opaque_state_fanout_when_more_than_10,within_current_limit,"Booking truth, waitlist, and manage posture require high verification before local capability can widen.",official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_004,env_local_mock,mc_patient_portal,rb_patient_health_record,rf_patient_health_record,Health record,http://127.0.0.1:4174/auth/callback/health-record,patient.record.entry,auth_read_only_or_writable_after_local_capability,opaque_state_fanout_when_more_than_10,within_current_limit,"Sensitive-record access needs high verification, but the local shell still controls artifact visibility and actionability.",official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_005,env_local_mock,mc_patient_portal,rb_patient_messages,rf_patient_messages,Messages,http://127.0.0.1:4174/auth/callback/messages,patient.messages.thread,auth_read_only_or_writable_after_local_capability,opaque_state_fanout_when_more_than_10,within_current_limit,Messaging reply and callback repair stay bound to reachability and current thread tuples after auth.,official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_006,env_sandpit_like,mc_patient_portal,rb_patient_home,rf_patient_home,Home,https://sandpit-like.vecells.local/auth/callback/home,patient.home.entry,auth_read_only,opaque_state_fanout_when_more_than_10,within_current_limit,Home remains projection-only after auth until local capability law admits wider actions.,official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_007,env_sandpit_like,mc_patient_portal,rb_patient_requests,rf_patient_requests,Requests,https://sandpit-like.vecells.local/auth/callback/requests,patient.requests.detail,auth_read_only_or_writable_after_local_capability,opaque_state_fanout_when_more_than_10,within_current_limit,"Reply, claim, and recovery actions remain route-bound after local session establishment.",official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_008,env_sandpit_like,mc_patient_portal,rb_patient_appointments,rf_patient_appointments,Appointments,https://sandpit-like.vecells.local/auth/callback/appointments,patient.appointments.manage,writable_if_local_capability_allows,opaque_state_fanout_when_more_than_10,within_current_limit,"Booking truth, waitlist, and manage posture require high verification before local capability can widen.",official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_009,env_sandpit_like,mc_patient_portal,rb_patient_health_record,rf_patient_health_record,Health record,https://sandpit-like.vecells.local/auth/callback/health-record,patient.record.entry,auth_read_only_or_writable_after_local_capability,opaque_state_fanout_when_more_than_10,within_current_limit,"Sensitive-record access needs high verification, but the local shell still controls artifact visibility and actionability.",official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_010,env_sandpit_like,mc_patient_portal,rb_patient_messages,rf_patient_messages,Messages,https://sandpit-like.vecells.local/auth/callback/messages,patient.messages.thread,auth_read_only_or_writable_after_local_capability,opaque_state_fanout_when_more_than_10,within_current_limit,Messaging reply and callback repair stay bound to reachability and current thread tuples after auth.,official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_011,env_integration_like,mc_patient_portal,rb_patient_home,rf_patient_home,Home,https://integration-like.vecells.local/auth/callback/home,patient.home.entry,auth_read_only,opaque_state_fanout_when_more_than_10,within_current_limit,Home remains projection-only after auth until local capability law admits wider actions.,official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_012,env_integration_like,mc_patient_portal,rb_patient_requests,rf_patient_requests,Requests,https://integration-like.vecells.local/auth/callback/requests,patient.requests.detail,auth_read_only_or_writable_after_local_capability,opaque_state_fanout_when_more_than_10,within_current_limit,"Reply, claim, and recovery actions remain route-bound after local session establishment.",official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_013,env_integration_like,mc_patient_portal,rb_patient_appointments,rf_patient_appointments,Appointments,https://integration-like.vecells.local/auth/callback/appointments,patient.appointments.manage,writable_if_local_capability_allows,opaque_state_fanout_when_more_than_10,within_current_limit,"Booking truth, waitlist, and manage posture require high verification before local capability can widen.",official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_014,env_integration_like,mc_patient_portal,rb_patient_health_record,rf_patient_health_record,Health record,https://integration-like.vecells.local/auth/callback/health-record,patient.record.entry,auth_read_only_or_writable_after_local_capability,opaque_state_fanout_when_more_than_10,within_current_limit,"Sensitive-record access needs high verification, but the local shell still controls artifact visibility and actionability.",official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_015,env_integration_like,mc_patient_portal,rb_patient_messages,rf_patient_messages,Messages,https://integration-like.vecells.local/auth/callback/messages,patient.messages.thread,auth_read_only_or_writable_after_local_capability,opaque_state_fanout_when_more_than_10,within_current_limit,Messaging reply and callback repair stay bound to reachability and current thread tuples after auth.,official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_016,env_actual_sandpit,mc_patient_portal,rb_patient_home,rf_patient_home,Home,https://sandpit.patient.vecells.example/auth/callback/home,patient.home.entry,auth_read_only,opaque_state_fanout_when_more_than_10,within_current_limit,Home remains projection-only after auth until local capability law admits wider actions.,official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_017,env_actual_sandpit,mc_patient_portal,rb_patient_requests,rf_patient_requests,Requests,https://sandpit.patient.vecells.example/auth/callback/requests,patient.requests.detail,auth_read_only_or_writable_after_local_capability,opaque_state_fanout_when_more_than_10,within_current_limit,"Reply, claim, and recovery actions remain route-bound after local session establishment.",official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_018,env_actual_sandpit,mc_patient_portal,rb_patient_appointments,rf_patient_appointments,Appointments,https://sandpit.patient.vecells.example/auth/callback/appointments,patient.appointments.manage,writable_if_local_capability_allows,opaque_state_fanout_when_more_than_10,within_current_limit,"Booking truth, waitlist, and manage posture require high verification before local capability can widen.",official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_019,env_actual_sandpit,mc_patient_portal,rb_patient_health_record,rf_patient_health_record,Health record,https://sandpit.patient.vecells.example/auth/callback/health-record,patient.record.entry,auth_read_only_or_writable_after_local_capability,opaque_state_fanout_when_more_than_10,within_current_limit,"Sensitive-record access needs high verification, but the local shell still controls artifact visibility and actionability.",official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_020,env_actual_sandpit,mc_patient_portal,rb_patient_messages,rf_patient_messages,Messages,https://sandpit.patient.vecells.example/auth/callback/messages,patient.messages.thread,auth_read_only_or_writable_after_local_capability,opaque_state_fanout_when_more_than_10,within_current_limit,Messaging reply and callback repair stay bound to reachability and current thread tuples after auth.,official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_021,env_actual_integration,mc_patient_portal,rb_patient_home,rf_patient_home,Home,https://integration.patient.vecells.example/auth/callback/home,patient.home.entry,auth_read_only,opaque_state_fanout_when_more_than_10,within_current_limit,Home remains projection-only after auth until local capability law admits wider actions.,official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_022,env_actual_integration,mc_patient_portal,rb_patient_requests,rf_patient_requests,Requests,https://integration.patient.vecells.example/auth/callback/requests,patient.requests.detail,auth_read_only_or_writable_after_local_capability,opaque_state_fanout_when_more_than_10,within_current_limit,"Reply, claim, and recovery actions remain route-bound after local session establishment.",official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_023,env_actual_integration,mc_patient_portal,rb_patient_appointments,rf_patient_appointments,Appointments,https://integration.patient.vecells.example/auth/callback/appointments,patient.appointments.manage,writable_if_local_capability_allows,opaque_state_fanout_when_more_than_10,within_current_limit,"Booking truth, waitlist, and manage posture require high verification before local capability can widen.",official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_024,env_actual_integration,mc_patient_portal,rb_patient_health_record,rf_patient_health_record,Health record,https://integration.patient.vecells.example/auth/callback/health-record,patient.record.entry,auth_read_only_or_writable_after_local_capability,opaque_state_fanout_when_more_than_10,within_current_limit,"Sensitive-record access needs high verification, but the local shell still controls artifact visibility and actionability.",official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
redir_025,env_actual_integration,mc_patient_portal,rb_patient_messages,rf_patient_messages,Messages,https://integration.patient.vecells.example/auth/callback/messages,patient.messages.thread,auth_read_only_or_writable_after_local_capability,opaque_state_fanout_when_more_than_10,within_current_limit,Messaging reply and callback repair stay bound to reachability and current thread tuples after auth.,official_multiple_redirect_uris; blueprint/phase-0-the-foundation-protocol.md; blueprint/platform-runtime-and-release-blueprint.md
