case_id,from_status,to_status,expected_outcome,guard_ref,reason_code,notes
booking_case_282,handoff_received,capability_checked,applied,P278_HANDOFF_ACKNOWLEDGED,capability_tuple_current,Exact 278 handoff acknowledgement edge.
booking_case_282,capability_checked,searching_local,applied,P278_CAPABILITY_LIVE_FOR_SEARCH,capability_live_for_search,Requires live capability tuple plus durable SearchPolicy.
booking_case_282,searching_local,offers_ready,applied,P278_OFFERS_DISCLOSED,offer_session_live,Requires typed OfferSession ref only.
booking_case_282,offers_ready,selecting,applied,P278_SLOT_CHOSEN,slot_selected,Requires typed selected-slot ref only.
booking_case_282,selecting,revalidating,applied,P278_REVALIDATION_STARTED,revalidation_started,Transition stays whole while reservation logic remains later-owned.
booking_case_282,revalidating,commit_pending,applied,P278_PREFLIGHT_VALID,preflight_valid,Commit path stays typed-seam driven.
booking_case_282,commit_pending,confirmation_pending,applied,P278_PENDING_CONFIRMATION,confirmation_truth_pending,Requires typed confirmation-truth ref.
booking_case_282,commit_pending,booked,applied,P278_COMMIT_CONFIRMED,confirmation_truth_confirmed,Requires appointment plus confirmation truth refs.
booking_case_282,commit_pending,supplier_reconciliation_pending,applied,P278_RECONCILIATION_PENDING,confirmation_truth_ambiguous,Ambiguous supplier truth freezes branch locally.
booking_case_282,searching_local,waitlisted,applied,P278_WAITLIST_SAFE,waitlist_safe,Requires typed waitlist refs only.
booking_case_282,waitlisted,callback_fallback,applied,P278_CALLBACK_REQUIRED,callback_required,Requires typed fallback obligation plus linked callback case ref.
booking_case_282,waitlisted,fallback_to_hub,applied,P278_HUB_REQUIRED,hub_required,Requires typed fallback obligation plus linked hub case ref.
booking_case_282,searching_local,booking_failed,applied,P278_LOCAL_FAILURE,local_failure_no_continuation,Failure path is explicit and append-only.
booking_case_282,booked,managed,applied,P278_MANAGE_OPEN,appointment_manage_open,Manage posture remains separate from booked truth.
booking_case_282,managed,closed,applied,P278_BRANCH_CLOSED,manage_finished,Branch closure does not close the request.
booking_case_282,handoff_received,managed,rejected,ILLEGAL_BOOKING_CASE_TRANSITION,illegal_transition,Kernel rejects off-graph shortcuts.
booking_case_282,capability_checked,searching_local,rejected,IDENTITY_REPAIR_FREEZE_ACTIVE,identity_repair_active,Released identity disposition is required for live mutation.
booking_case_282,capability_checked,searching_local,rejected,STALE_SOURCE_DECISION_EPOCH,stale_epoch,Stale decision epoch fails closed.
