edge_id,from_milestone_id,to_milestone_id,dependency_mode,baseline_scope,gate_ref,reason
EDGE_001,MS_PLAN_DISCOVERY_BASELINE,MS_PLAN_EXECUTION_GRAPH,strict_sequence,current,,ADR freeze and baseline decisions must exist before the executable programme graph can be published.
EDGE_002,MS_PLAN_EXECUTION_GRAPH,MS_PLAN_RISK_AND_TRACEABILITY_FOUNDATION,strict_sequence,current,,"Risk, watch, traceability, and gate-foundation work consume the milestone graph."
EDGE_003,MS_PLAN_RISK_AND_TRACEABILITY_FOUNDATION,MS_EXT_STRATEGY_AND_ACCOUNT_PLAN,strict_sequence,current,GATE_PLAN_EXTERNAL_ENTRY,"External readiness starts only after planning, risk, and traceability foundations are ready."
EDGE_004,MS_EXT_STRATEGY_AND_ACCOUNT_PLAN,MS_EXT_NHS_LOGIN_ONBOARDING,strict_sequence,current,,Strategy and account ownership freeze before partner access requests.
EDGE_005,MS_EXT_NHS_LOGIN_ONBOARDING,MS_EXT_IM1_SCAL_READINESS,strict_sequence,current,,Identity rail onboarding informs IM1 and SCAL readiness.
EDGE_006,MS_EXT_IM1_SCAL_READINESS,MS_EXT_OPTIONAL_PDS_ENRICHMENT,optional_branch,optional,,Optional PDS work branches from the current-baseline external chain.
EDGE_007,MS_EXT_IM1_SCAL_READINESS,MS_EXT_MESH_ACCESS,strict_sequence,current,,Current-baseline external work continues with messaging access after IM1 visibility is established.
EDGE_008,MS_EXT_MESH_ACCESS,MS_EXT_DEFERRED_NHSAPP_ECOSYSTEM,deferred_branch,deferred,,Deferred NHS App onboarding branches from the current external chain without blocking it.
EDGE_009,MS_EXT_MESH_ACCESS,MS_EXT_COMMS_AND_SCAN_VENDORS,strict_sequence,current,,Current-baseline vendor provisioning continues without waiting on deferred NHS App work.
EDGE_010,MS_EXT_COMMS_AND_SCAN_VENDORS,MS_EXT_PROVIDER_PATHS_AND_EVIDENCE,strict_sequence,current,,Provider project setup precedes provider-path evidence capture.
EDGE_011,MS_EXT_PROVIDER_PATHS_AND_EVIDENCE,MS_EXT_SIMULATOR_AND_MANUAL_GATE_FREEZE,strict_sequence,current,,Simulator backlog and manual checkpoints close the current external block.
EDGE_012,MS_EXT_SIMULATOR_AND_MANUAL_GATE_FREEZE,MS_P0_0A_DELIVERY_SKELETON,strict_sequence,current,GATE_EXTERNAL_TO_FOUNDATION,Foundation work may only start after current external readiness is frozen.
EDGE_013,MS_P0_0A_DELIVERY_SKELETON,MS_P0_0B_DOMAIN_KERNEL,strict_sequence,current,GATE_P0_0A_TO_0B,0A hard gate into 0B.
EDGE_014,MS_P0_0B_DOMAIN_KERNEL,MS_P0_0C_RUNTIME_PUBLICATION_SUBSTRATE,strict_sequence,current,GATE_P0_0B_TO_0C,0B hard gate into 0C.
EDGE_015,MS_P0_0C_RUNTIME_PUBLICATION_SUBSTRATE,MS_P0_0D_CONTROL_GOVERNORS_AND_MUTATION_LAW,strict_sequence,current,GATE_P0_0C_TO_0D,0C hard gate into 0D.
EDGE_016,MS_P0_0D_CONTROL_GOVERNORS_AND_MUTATION_LAW,MS_P0_0E_VERIFICATION_SIMULATORS_AND_FRONTEND_CONTRACTS,strict_sequence,current,GATE_P0_0D_TO_0E,0D hard gate into 0E.
EDGE_017,MS_P0_0E_VERIFICATION_SIMULATORS_AND_FRONTEND_CONTRACTS,MS_P0_0F_SEED_SHELLS_AND_SYNTHETIC_FLOW,phase_gate,current,GATE_P0_PARALLEL_FOUNDATION_OPEN,0E opens the parallel foundation tracks and seed-shell integration work.
EDGE_018,MS_P0_0F_SEED_SHELLS_AND_SYNTHETIC_FLOW,MS_P0_0G_DCB0129_SAFETY_CASE,parallel_dependency,current,,0G assurance closeout depends on 0F synthetic-flow proof.
EDGE_019,MS_P0_0F_SEED_SHELLS_AND_SYNTHETIC_FLOW,MS_P0_0G_DSPT_READINESS,parallel_dependency,current,,0G assurance closeout depends on 0F synthetic-flow proof.
EDGE_020,MS_P0_0F_SEED_SHELLS_AND_SYNTHETIC_FLOW,MS_P0_0G_IM1_SCAL_ASSURANCE,parallel_dependency,current,,0G assurance closeout depends on 0F synthetic-flow proof.
EDGE_021,MS_P0_0F_SEED_SHELLS_AND_SYNTHETIC_FLOW,MS_P0_0G_NHS_LOGIN_ONBOARDING_EVIDENCE,parallel_dependency,current,,0G assurance closeout depends on 0F synthetic-flow proof.
EDGE_022,MS_P0_0F_SEED_SHELLS_AND_SYNTHETIC_FLOW,MS_P0_0G_CLINICAL_AND_PRIVACY_REVIEW_CADENCE,parallel_dependency,current,,0G assurance closeout depends on 0F synthetic-flow proof.
EDGE_023,MS_P0_0G_DCB0129_SAFETY_CASE,MS_P0_0G_EXIT_PROOF_AND_FOUNDATION_SIGNOFF,par_block_merge,current,GATE_P0_LONG_LEAD_ASSURANCE_MERGE,Named long-lead safety track merges into Phase 0 exit proof.
EDGE_024,MS_P0_0G_DSPT_READINESS,MS_P0_0G_EXIT_PROOF_AND_FOUNDATION_SIGNOFF,par_block_merge,current,GATE_P0_LONG_LEAD_ASSURANCE_MERGE,Named long-lead DSPT track merges into Phase 0 exit proof.
EDGE_025,MS_P0_0G_IM1_SCAL_ASSURANCE,MS_P0_0G_EXIT_PROOF_AND_FOUNDATION_SIGNOFF,par_block_merge,current,GATE_P0_LONG_LEAD_ASSURANCE_MERGE,Named long-lead IM1 and SCAL track merges into Phase 0 exit proof.
EDGE_026,MS_P0_0G_NHS_LOGIN_ONBOARDING_EVIDENCE,MS_P0_0G_EXIT_PROOF_AND_FOUNDATION_SIGNOFF,par_block_merge,current,GATE_P0_LONG_LEAD_ASSURANCE_MERGE,Named long-lead NHS login onboarding track merges into Phase 0 exit proof.
EDGE_027,MS_P0_0G_CLINICAL_AND_PRIVACY_REVIEW_CADENCE,MS_P0_0G_EXIT_PROOF_AND_FOUNDATION_SIGNOFF,par_block_merge,current,GATE_P0_LONG_LEAD_ASSURANCE_MERGE,Clinical review cadence and DPIA backlog merge into Phase 0 exit proof.
EDGE_028,MS_P0_0G_EXIT_PROOF_AND_FOUNDATION_SIGNOFF,MS_P1_DEFINITION_AND_ENTRY,strict_sequence,current,GATE_P0_EXIT,Phase 1 starts only after Phase 0 exit proof is complete.
EDGE_029,MS_P1_DEFINITION_AND_ENTRY,MS_P1_PARALLEL_INTAKE_IMPLEMENTATION,strict_sequence,current,,MS_P1_DEFINITION_AND_ENTRY must settle before MS_P1_PARALLEL_INTAKE_IMPLEMENTATION.
EDGE_030,MS_P1_PARALLEL_INTAKE_IMPLEMENTATION,MS_P1_MERGE_AND_PROOF,par_block_merge,current,,MS_P1_PARALLEL_INTAKE_IMPLEMENTATION must settle before MS_P1_MERGE_AND_PROOF.
EDGE_031,MS_P1_MERGE_AND_PROOF,MS_P1_EXIT_GATE,strict_sequence,current,,MS_P1_MERGE_AND_PROOF must settle before MS_P1_EXIT_GATE.
EDGE_032,MS_P1_EXIT_GATE,MS_P2_DEFINITION_AND_ENTRY,strict_sequence,current,,MS_P1_EXIT_GATE must settle before MS_P2_DEFINITION_AND_ENTRY.
EDGE_033,MS_P2_DEFINITION_AND_ENTRY,MS_P2_PARALLEL_IDENTITY_AND_TELEPHONY,strict_sequence,current,,MS_P2_DEFINITION_AND_ENTRY must settle before MS_P2_PARALLEL_IDENTITY_AND_TELEPHONY.
EDGE_034,MS_P2_PARALLEL_IDENTITY_AND_TELEPHONY,MS_P2_EXTERNAL_CONFIG,par_block_merge,current,,MS_P2_PARALLEL_IDENTITY_AND_TELEPHONY must settle before MS_P2_EXTERNAL_CONFIG.
EDGE_035,MS_P2_EXTERNAL_CONFIG,MS_P2_PROOF_AND_REGRESSION,strict_sequence,current,,MS_P2_EXTERNAL_CONFIG must settle before MS_P2_PROOF_AND_REGRESSION.
EDGE_036,MS_P2_PROOF_AND_REGRESSION,MS_P2_EXIT_GATE,strict_sequence,current,,MS_P2_PROOF_AND_REGRESSION must settle before MS_P2_EXIT_GATE.
EDGE_037,MS_P2_EXIT_GATE,MS_XC_ENTRY_GATE,strict_sequence,current,,MS_P2_EXIT_GATE must settle before MS_XC_ENTRY_GATE.
EDGE_038,MS_XC_ENTRY_GATE,MS_XC_PARALLEL_PATIENT_ACCOUNT_AND_SUPPORT,strict_sequence,current,,MS_XC_ENTRY_GATE must settle before MS_XC_PARALLEL_PATIENT_ACCOUNT_AND_SUPPORT.
EDGE_039,MS_XC_PARALLEL_PATIENT_ACCOUNT_AND_SUPPORT,MS_XC_MERGE_AND_PROOF,par_block_merge,current,,MS_XC_PARALLEL_PATIENT_ACCOUNT_AND_SUPPORT must settle before MS_XC_MERGE_AND_PROOF.
EDGE_040,MS_XC_MERGE_AND_PROOF,MS_XC_EXIT_GATE,strict_sequence,current,,MS_XC_MERGE_AND_PROOF must settle before MS_XC_EXIT_GATE.
EDGE_041,MS_XC_EXIT_GATE,MS_P3_DEFINITION_AND_ENTRY,strict_sequence,current,,MS_XC_EXIT_GATE must settle before MS_P3_DEFINITION_AND_ENTRY.
EDGE_042,MS_P3_DEFINITION_AND_ENTRY,MS_P3_PARALLEL_TRIAGE_AND_CALLBACK,strict_sequence,current,,MS_P3_DEFINITION_AND_ENTRY must settle before MS_P3_PARALLEL_TRIAGE_AND_CALLBACK.
EDGE_043,MS_P3_PARALLEL_TRIAGE_AND_CALLBACK,MS_P3_MERGE_AND_PROOF,par_block_merge,current,,MS_P3_PARALLEL_TRIAGE_AND_CALLBACK must settle before MS_P3_MERGE_AND_PROOF.
EDGE_044,MS_P3_MERGE_AND_PROOF,MS_P3_EXIT_GATE,strict_sequence,current,,MS_P3_MERGE_AND_PROOF must settle before MS_P3_EXIT_GATE.
EDGE_045,MS_P3_EXIT_GATE,MS_P4_DEFINITION_AND_ENTRY,strict_sequence,current,,MS_P3_EXIT_GATE must settle before MS_P4_DEFINITION_AND_ENTRY.
EDGE_046,MS_P4_DEFINITION_AND_ENTRY,MS_P4_PARALLEL_BOOKING_IMPLEMENTATION,strict_sequence,current,,MS_P4_DEFINITION_AND_ENTRY must settle before MS_P4_PARALLEL_BOOKING_IMPLEMENTATION.
EDGE_047,MS_P4_PARALLEL_BOOKING_IMPLEMENTATION,MS_P4_MERGE_CONFIG_AND_PROOF,par_block_merge,current,,MS_P4_PARALLEL_BOOKING_IMPLEMENTATION must settle before MS_P4_MERGE_CONFIG_AND_PROOF.
EDGE_048,MS_P4_MERGE_CONFIG_AND_PROOF,MS_P4_EXIT_GATE,strict_sequence,current,,MS_P4_MERGE_CONFIG_AND_PROOF must settle before MS_P4_EXIT_GATE.
EDGE_049,MS_P4_EXIT_GATE,MS_P5_DEFINITION_AND_ENTRY,strict_sequence,current,,MS_P4_EXIT_GATE must settle before MS_P5_DEFINITION_AND_ENTRY.
EDGE_050,MS_P5_DEFINITION_AND_ENTRY,MS_P5_PARALLEL_NETWORK_IMPLEMENTATION,strict_sequence,current,,MS_P5_DEFINITION_AND_ENTRY must settle before MS_P5_PARALLEL_NETWORK_IMPLEMENTATION.
EDGE_051,MS_P5_PARALLEL_NETWORK_IMPLEMENTATION,MS_P5_MERGE_CONFIG_AND_PROOF,par_block_merge,current,,MS_P5_PARALLEL_NETWORK_IMPLEMENTATION must settle before MS_P5_MERGE_CONFIG_AND_PROOF.
EDGE_052,MS_P5_MERGE_CONFIG_AND_PROOF,MS_P5_EXIT_GATE,strict_sequence,current,,MS_P5_MERGE_CONFIG_AND_PROOF must settle before MS_P5_EXIT_GATE.
EDGE_053,MS_P5_EXIT_GATE,MS_P6_DEFINITION_AND_ENTRY,strict_sequence,current,,MS_P5_EXIT_GATE must settle before MS_P6_DEFINITION_AND_ENTRY.
EDGE_054,MS_P6_DEFINITION_AND_ENTRY,MS_P6_PARALLEL_PHARMACY_IMPLEMENTATION,strict_sequence,current,,MS_P6_DEFINITION_AND_ENTRY must settle before MS_P6_PARALLEL_PHARMACY_IMPLEMENTATION.
EDGE_055,MS_P6_PARALLEL_PHARMACY_IMPLEMENTATION,MS_P6_MERGE_CONFIG_AND_PROOF,par_block_merge,current,,MS_P6_PARALLEL_PHARMACY_IMPLEMENTATION must settle before MS_P6_MERGE_CONFIG_AND_PROOF.
EDGE_056,MS_P6_MERGE_CONFIG_AND_PROOF,MS_P6_EXIT_GATE,strict_sequence,current,,MS_P6_MERGE_CONFIG_AND_PROOF must settle before MS_P6_EXIT_GATE.
EDGE_057,MS_P6_EXIT_GATE,MS_POST6_SCOPE_SPLIT_GATE,strict_sequence,current,,MS_P6_EXIT_GATE must settle before MS_POST6_SCOPE_SPLIT_GATE.
EDGE_058,MS_POST6_SCOPE_SPLIT_GATE,MS_P7_DEFINITION_AND_ENTRY,deferred_branch,deferred,GATE_POST6_SCOPE_SPLIT,Deferred Phase 7 branch opens explicitly from the post-Phase-6 split gate.
EDGE_059,MS_POST6_SCOPE_SPLIT_GATE,MS_P8_DEFINITION_AND_ENTRY,strict_sequence,current,GATE_POST6_SCOPE_SPLIT,Current-baseline Phase 8 branch opens from the post-Phase-6 split gate.
EDGE_060,MS_POST6_SCOPE_SPLIT_GATE,MS_P9_DEFINITION_AND_ENTRY,strict_sequence,current,GATE_POST6_SCOPE_SPLIT,Current-baseline Phase 9 branch opens from the post-Phase-6 split gate.
EDGE_061,MS_P7_DEFINITION_AND_ENTRY,MS_P7_PARALLEL_EMBEDDED_CHANNEL,strict_sequence,deferred,,Deferred Phase 7 contract freeze precedes its parallel implementation.
EDGE_062,MS_P7_PARALLEL_EMBEDDED_CHANNEL,MS_P7_MERGE_AND_PROOF,par_block_merge,deferred,GATE_P7_DEFERRED_MERGE,Deferred Phase 7 parallel block must merge before exit.
EDGE_063,MS_P7_MERGE_AND_PROOF,MS_P7_EXIT_GATE,strict_sequence,deferred,,Deferred Phase 7 proof pack precedes exit.
EDGE_064,MS_P8_DEFINITION_AND_ENTRY,MS_P8_PARALLEL_ASSISTIVE_IMPLEMENTATION,strict_sequence,current,,Phase 8 policy freeze precedes assistive implementation.
EDGE_065,MS_P8_PARALLEL_ASSISTIVE_IMPLEMENTATION,MS_P8_MERGE,par_block_merge,current,GATE_P8_PARALLEL_MERGE,Phase 8 parallel block merges before proof.
EDGE_066,MS_P8_MERGE,MS_P8_PROOF_AND_EXIT_PACK,strict_sequence,current,,Phase 8 merge precedes proof.
EDGE_067,MS_P8_PROOF_AND_EXIT_PACK,MS_P8_EXIT_GATE,strict_sequence,current,GATE_P8_EXIT,Phase 8 proof precedes exit.
EDGE_068,MS_P9_DEFINITION_AND_ENTRY,MS_P9_PARALLEL_ASSURANCE_IMPLEMENTATION,strict_sequence,current,,Phase 9 contract freeze precedes assurance implementation.
EDGE_069,MS_P9_PARALLEL_ASSURANCE_IMPLEMENTATION,MS_P9_MERGE,par_block_merge,current,GATE_P9_PARALLEL_MERGE,Phase 9 parallel block merges before proof.
EDGE_070,MS_P9_MERGE,MS_P9_PROOF_AND_EXIT_PACK,strict_sequence,current,,Phase 9 merge precedes proof.
EDGE_071,MS_P9_PROOF_AND_EXIT_PACK,MS_P9_EXIT_GATE,strict_sequence,current,GATE_P9_EXIT,Phase 9 proof precedes exit.
EDGE_072,MS_P6_EXIT_GATE,MS_PRG_CURRENT_BASELINE_CONFORMANCE,strict_sequence,current,,Current-baseline conformance waits for Phase 6 exit.
EDGE_073,MS_P8_EXIT_GATE,MS_PRG_CURRENT_BASELINE_CONFORMANCE,strict_sequence,current,,Current-baseline conformance waits for Phase 8 exit.
EDGE_074,MS_P9_EXIT_GATE,MS_PRG_CURRENT_BASELINE_CONFORMANCE,strict_sequence,current,,Current-baseline conformance waits for Phase 9 exit.
EDGE_075,MS_P7_EXIT_GATE,MS_PRG_DEFERRED_PHASE7_CONFORMANCE,strict_sequence,deferred,,Deferred scorecard reconciliation waits for Phase 7 exit.
EDGE_076,MS_PRG_CURRENT_BASELINE_CONFORMANCE,MS_PRG_RELEASE_READINESS,strict_sequence,current,GATE_CURRENT_BASELINE_CONFORMANCE,"Release readiness starts from the current-baseline scorecard, not from deferred or optional branches."
EDGE_077,MS_PRG_RELEASE_READINESS,MS_PRG_WAVE1_PROMOTION_AND_OBSERVATION,strict_sequence,current,GATE_RELEASE_READINESS,Wave 1 waits for the release-readiness pack.
EDGE_078,MS_PRG_WAVE1_PROMOTION_AND_OBSERVATION,MS_PRG_MULTIWAVE_RELEASE,strict_sequence,current,GATE_WAVE1_OBSERVATION,Widening waits for Wave 1 observation.
EDGE_079,MS_PRG_MULTIWAVE_RELEASE,MS_PRG_OPTIONAL_ASSISTIVE_VISIBLE_ENABLEMENT,optional_branch,optional,GATE_OPTIONAL_ASSISTIVE_ENABLEMENT,Optional visible assistive enablement branches from current-baseline widening.
EDGE_080,MS_PRG_MULTIWAVE_RELEASE,MS_PRG_BAU_HANDOVER_AND_ARCHIVE,strict_sequence,current,GATE_BAU_TRANSFER,BAU handover starts once current-baseline waves stabilize.
EDGE_081,MS_PRG_DEFERRED_PHASE7_CONFORMANCE,MS_PRG_DEFERRED_NHSAPP_ENABLEMENT,deferred_branch,deferred,GATE_DEFERRED_NHSAPP_ENABLEMENT,Deferred NHS App enablement waits for deferred scorecard reconciliation.
EDGE_082,MS_PRG_MULTIWAVE_RELEASE,MS_PRG_DEFERRED_NHSAPP_ENABLEMENT,deferred_branch,deferred,GATE_DEFERRED_NHSAPP_ENABLEMENT,Deferred NHS App enablement also waits for the current baseline to widen and stabilize.
