backup_set_manifest_id,dataset_scope_ref,dataset_label,essential_function_refs,snapshot_time,immutability_state,checksum_bundle_ref,restore_compatibility_digest_ref,runtime_publication_bundle_ref,manifest_tuple_hash,manifest_state,verified_at,restore_priority,contains_phi,compatibility_scope,source_refs
BSM_060_IDENTITY_ENTRY_STATE_V1,dataset://identity-entry-state,"Identity, access-grant, and intake-state plane",ef_patient_entry_recovery,2026-04-13T14:51:09+00:00,immutable,checksum-bundle::a1e317936642ed9f,restore-compatibility::0f5e1123fd23d1bf,RPB_PRODUCTION_V1,backup-tuple::966ffe1cff07ec4f,current,2026-04-13T14:51:09+00:00,1,yes,identity-and-entry tuple,blueprint/phase-0-the-foundation-protocol.md#1.40C BackupSetManifest; data/analysis/runtime_topology_manifest.json
BSM_060_PATIENT_CONTINUITY_READ_MODELS_V1,dataset://patient-continuity-read-models,Patient continuity projections and route-calmness state,ef_patient_self_service_continuity,2026-04-13T14:51:09+00:00,immutable,checksum-bundle::5a69d3cfbf33a199,restore-compatibility::1e56ca3de5df9d0d,RPB_PRODUCTION_V1,backup-tuple::b121de057d8299ca,current,2026-04-13T14:51:09+00:00,1,yes,patient continuity tuple,blueprint/platform-runtime-and-release-blueprint.md#Operational readiness contract; data/analysis/frontend_contract_manifests.json
BSM_060_WORKSPACE_SETTLEMENT_STATE_V1,dataset://workspace-settlement-and-queue,"Workspace queue, lease, and settlement state",ef_workspace_settlement,2026-04-13T14:51:09+00:00,immutable,checksum-bundle::3c4acb90561a5c14,restore-compatibility::97229f1d7442560e,RPB_PRODUCTION_V1,backup-tuple::38d3ee08915f05e3,stale,2026-04-13T14:51:09+00:00,2,yes,workspace recovery tuple,blueprint/phase-0-the-foundation-protocol.md#1.40C BackupSetManifest; data/analysis/verification_scenarios.json
BSM_060_BOOKING_CAPACITY_STATE_V1,dataset://booking-capacity-and-confirmation,"Booking capacity holds, confirmation, and waitlist state",ef_booking_capacity_commit,2026-04-13T14:51:09+00:00,immutable,checksum-bundle::21ddbb90d88e3830,restore-compatibility::e20a9e176974354a,RPB_PRODUCTION_V1,backup-tuple::eb561fa02afaa6e5,current,2026-04-13T14:51:09+00:00,3,yes,booking and patient appointment tuple,blueprint/phase-0-the-foundation-protocol.md#1.40C BackupSetManifest; data/analysis/reference_case_catalog.json
BSM_060_HUB_COORDINATION_STATE_V1,dataset://hub-queue-and-supplier-mirror,"Hub queue, supplier mirror, and cross-site coordination state",ef_hub_coordination,2026-04-13T14:51:09+00:00,immutable,checksum-bundle::7c1e55d29b8c3657,restore-compatibility::c232e9b0d1f83700,RPB_PRODUCTION_V1,backup-tuple::54323ced21ea1757,current,2026-04-13T14:51:09+00:00,4,yes,hub coordination tuple,blueprint/phase-0-the-foundation-protocol.md#1.40C BackupSetManifest; data/analysis/reference_case_catalog.json
BSM_060_PHARMACY_REFERRAL_STATE_V1,dataset://pharmacy-dispatch-and-outcome,"Pharmacy dispatch, consent, and outcome reconciliation state",ef_pharmacy_referral_reconciliation,2026-04-13T14:51:09+00:00,immutable,checksum-bundle::51a708d8acb9e24d,restore-compatibility::5ef3e78955e918b3,RPB_PRODUCTION_V1,backup-tuple::1544464d19aae027,current,2026-04-13T14:51:09+00:00,5,yes,pharmacy referral tuple,blueprint/phase-0-the-foundation-protocol.md#1.40C BackupSetManifest; data/analysis/reference_case_catalog.json
BSM_060_COMMUNICATION_DELIVERY_STATE_V1,dataset://communications-and-reachability,"Communication, callback, and reachability repair state",ef_communication_reachability,2026-04-13T14:51:09+00:00,immutable,checksum-bundle::dddbb7a27737edee,restore-compatibility::846423647fc261fe,RPB_PRODUCTION_V1,backup-tuple::5cd53700460eca34,current,2026-04-13T14:51:09+00:00,2,yes,communication recovery tuple,blueprint/phase-0-the-foundation-protocol.md#1.40C BackupSetManifest; data/analysis/reference_case_catalog.json
BSM_060_RELEASE_GOVERNANCE_TUPLE_V1,dataset://release-governance-and-watch-tuple,"Release watch tuple, parity, and governance handoff state",ef_release_governance,2026-04-13T14:51:09+00:00,immutable,checksum-bundle::0a71fba16ae3c099,restore-compatibility::7d302070a38e6838,RPB_PRODUCTION_V1,backup-tuple::edad0c064217b10c,current,2026-04-13T14:51:09+00:00,0,no,release watch tuple,blueprint/platform-runtime-and-release-blueprint.md#Operational readiness contract; data/analysis/release_contract_verification_matrix.json
BSM_060_PLATFORM_RECOVERY_EVIDENCE_V1,dataset://platform-recovery-evidence-and-runbooks,"Runbook bindings, restore reports, and resilience action evidence",ef_platform_recovery_control,2026-04-13T14:51:09+00:00,immutable,checksum-bundle::28f4a23d4f0734a3,restore-compatibility::3b9ab76d7824bb89,RPB_PRODUCTION_V1,backup-tuple::49b9b5fbc7f78748,stale,2026-04-13T14:51:09+00:00,0,mixed,platform resilience tuple,blueprint/platform-runtime-and-release-blueprint.md#RunbookBindingRecord; blueprint/forensic-audit-findings.md#Finding 112
BSM_060_WORM_AUDIT_EVIDENCE_V1,dataset://worm-audit-and-recovery-evidence,"WORM audit, recovery evidence, and settlement history",ef_patient_entry_recovery; ef_patient_self_service_continuity; ef_workspace_settlement; ef_booking_capacity_commit; ef_hub_coordination; ef_pharmacy_referral_reconciliation; ef_communication_reachability; ef_release_governance; ef_platform_recovery_control,2026-04-13T14:51:09+00:00,immutable,checksum-bundle::a70ebd4ccaa2c721,restore-compatibility::a388118cbf831b69,RPB_PRODUCTION_V1,backup-tuple::c403f181730a60c9,current,2026-04-13T14:51:09+00:00,0,mixed,audit and recovery evidence tuple,blueprint/phase-0-the-foundation-protocol.md#1.40M RecoveryEvidenceArtifact; data/analysis/audit_record_schema.json
