identity_ref,channel,provider_scope,environment_profile,identity_kind,verification_posture,routing_eligible,webhook_profile_ref,lane,source_refs,notes
SND_SMS_LOCAL_PLACEHOLDER,sms,shared,local_mock,sender_identity,seeded_placeholder,yes,WH_SMS_LOCAL_SIGNED,mock_now,data/analysis/external_account_inventory.csv#ACC_SMS_LOCAL_SIM_PRINCIPAL,Synthetic local sender used for seeded-continuation and repair drills.
SND_SMS_PREVIEW_PLACEHOLDER,sms,shared,preview_mock,sender_identity,placeholder_preview,yes,WH_SMS_PREVIEW_SIGNED,mock_now,prompt/033.md,Preview-only sender alias; never a live sender.
SND_SMS_TWILIO_PROVIDER,sms,twilio_sms,provider_like_preprod,sender_identity,messaging_service_config_required,conditional,WH_SMS_TWILIO_SIGNED,actual_later,https://www.twilio.com/docs/messaging/services,Twilio sender profile must bind to a messaging service and callback pack.
SND_SMS_VONAGE_PROVIDER,sms,vonage_sms,provider_like_preprod,sender_identity,application_and_sender_registration_required,conditional,WH_SMS_VONAGE_SIGNED,actual_later,https://developer.vonage.com/en/getting-started/concepts/webhooks,Vonage SMS sender and callback surfaces stay behind application creation and spend gates.
SND_SMS_SUPPORT_REPAIR,sms,shared,actual_later,sender_identity,governed_manual_only,conditional,WH_SMS_REPAIR_SIGNED,actual_later,blueprint/callback-and-clinician-messaging-loop.md,Dedicated sender for support-authorized controlled resend and wrong-recipient repair.
SND_EMAIL_LOCAL_PLACEHOLDER,email,shared,local_mock,sender_identity,seeded_placeholder,yes,WH_EMAIL_LOCAL_SIGNED,mock_now,data/analysis/external_account_inventory.csv#ACC_EMAIL_LOCAL_SIM_PRINCIPAL,Synthetic local email sender used for secure-link and reply-needed drills.
SND_EMAIL_PREVIEW_PLACEHOLDER,email,shared,preview_mock,sender_identity,placeholder_preview,yes,WH_EMAIL_PREVIEW_SIGNED,mock_now,prompt/033.md,Preview-only sender alias for browser evidence and no-spend demos.
DOM_EMAIL_MAILGUN_SANDBOX,email,mailgun_email,preview_mock,domain,sandbox_domain_only,conditional,WH_EMAIL_MAILGUN_SIGNED,actual_later,https://documentation.mailgun.com/docs/mailgun/user-manual/domains/domains-sandbox,Mailgun sandbox domain is useful for staged validation but not for patient-safe production widening.
DOM_EMAIL_MAILGUN_VERIFIED,email,mailgun_email,actual_later,domain,dns_verification_required,conditional,WH_EMAIL_MAILGUN_SIGNED,actual_later,https://documentation.mailgun.com/docs/mailgun/user-manual/webhooks/webhooks,Verified domain candidate for later patient-facing email.
WH_EMAIL_MAILGUN_SIGNED,email,mailgun_email,actual_later,webhook,http_signing_key_required,conditional,WH_EMAIL_MAILGUN_SIGNED,actual_later,https://documentation.mailgun.com/docs/mailgun/api-reference/send/mailgun/account-management/get-v5-accounts-http_signing_key,Mailgun event webhook profile bound to signing-key validation and replay checks.
SND_EMAIL_SENDGRID_SINGLE_SENDER,email,sendgrid_email,preview_mock,sender_identity,single_sender_verification_required,conditional,WH_EMAIL_SENDGRID_SIGNED,actual_later,https://www.twilio.com/docs/sendgrid/for-developers/sending-email/sandbox-mode,Single-sender verification path for low-volume staged testing only.
DOM_EMAIL_SENDGRID_AUTH,email,sendgrid_email,actual_later,domain,domain_auth_required,conditional,WH_EMAIL_SENDGRID_SIGNED,actual_later,https://www.twilio.com/docs/sendgrid/glossary/domain-authentication,Preferred SendGrid sender posture once DNS ownership is explicit.
WH_EMAIL_SENDGRID_SIGNED,email,sendgrid_email,actual_later,webhook,signed_event_webhook_required,conditional,WH_EMAIL_SENDGRID_SIGNED,actual_later,https://www.twilio.com/docs/sendgrid/for-developers/tracking-events/getting-started-event-webhook-security-features,Signed event-webhook profile with public-key validation and replay fence.
SND_DUAL_SUPPORT_FALLBACK,dual_if_supported,shared,actual_later,sender_identity,support_repair_only,conditional,WH_DUAL_SUPPORT_SIGNED,actual_later,blueprint/phase-0-the-foundation-protocol.md,Shared fallback identity for support-led repair when the same authoritative chain has already moved to repair route.
