artifact_id,artifact_type,access_modes,route_family_refs,owner_role,freshness_rule,source_refs,gate_refs,notes
ART_PDS_HAZARD_LOG,hazard_log,application_restricted;healthcare_worker;healthcare_worker_with_update;patient_access,all_pds_routes,ROLE_MANUFACTURER_CSO,review_on_every_use_case_or_access_mode_change,official_pds_onboarding_support_info; HZ_WRONG_PATIENT_BINDING,PDS_LIVE_GATE_HAZARD_LOG_CURRENT,Use the official PDS hazard log template or an equivalent that covers the same hazards.
ART_PDS_RISKLOG_APPLICATION_RESTRICTED,connecting_systems_risk_log,application_restricted,rf_patient_secure_link_recovery;rf_patient_requests,ROLE_INTEROPERABILITY_LEAD,current_for_each_access_mode_in_use,official_pds_onboarding_support_info,PDS_LIVE_GATE_RISK_LOGS_CURRENT,Required because the official onboarding support page publishes a dedicated template for application-restricted mode.
ART_PDS_RISKLOG_HEALTHCARE_WORKER,connecting_systems_risk_log,healthcare_worker,rf_staff_workspace;rf_support_ticket_workspace;rf_governance_shell,ROLE_INTEROPERABILITY_LEAD,current_for_each_access_mode_in_use,official_pds_onboarding_support_info; official_pds_integrated_products,PDS_LIVE_GATE_RISK_LOGS_CURRENT,Normalised to the read-only worker class even where the roster says 'healthcare worker mode without update'.
ART_PDS_RISKLOG_HEALTHCARE_WORKER_UPDATE,connecting_systems_risk_log,healthcare_worker_with_update,rf_support_ticket_workspace;rf_governance_shell,ROLE_INTEROPERABILITY_LEAD,current_for_each_access_mode_in_use,official_pds_onboarding_support_info; official_pds_integrated_products,PDS_LIVE_GATE_RISK_LOGS_CURRENT; PDS_LIVE_GATE_ALLOW_REAL_PROVIDER_MUTATION,Update-capable risk log is required before any write-like rehearsal can move beyond simulated mode.
ART_PDS_RISKLOG_PATIENT_ACCESS,connecting_systems_risk_log,patient_access,rf_patient_home,ROLE_INTEROPERABILITY_LEAD,current_for_each_access_mode_in_use,official_pds_onboarding_support_info; official_pds_integration_guidance,PDS_LIVE_GATE_RISK_LOGS_CURRENT; PDS_LIVE_GATE_ALLOW_REAL_PROVIDER_MUTATION,"Patient access is explicitly current in the official roster and integration guidance, but remains future-only in Vecells."
ART_PDS_LEGAL_BASIS_DOSSIER,legal_basis_dossier,all_selected_modes,all_pds_routes,ROLE_DPO,refresh_on_scope_or_route_change,official_access_data_on_pds; LIVE_GATE_PDS_LEGAL_BASIS_APPROVED,LIVE_GATE_PDS_LEGAL_BASIS_APPROVED,Structured route-family legal basis fields prevent vague narrative approval.
ART_PDS_WRONG_PATIENT_MITIGATION_PLAN,wrong_patient_mitigation,all_selected_modes,all_pds_routes,ROLE_MANUFACTURER_CSO,refresh_on_identity_or_repair_policy_change,HZ_WRONG_PATIENT_BINDING; RISK_STATE_004,PDS_LIVE_GATE_WRONG_PATIENT_PLAN_CURRENT,Must prove no lookup can shortcut IdentityBindingAuthority or identity repair.
ART_PDS_ROUTE_FLAG_APPROVAL,feature_flag_approval,all_selected_modes,all_pds_routes,ROLE_GOVERNANCE_LEAD,refresh_on_tenant_or_route_blast_radius_change,prompt/027.md,PDS_LIVE_GATE_ROUTE_FLAG_DEFAULT_OFF,Each route-family flag stays default-off or internal-only until this approval exists.
ART_PDS_SECURE_NETWORK_PLAN,network_connectivity_plan,healthcare_worker;healthcare_worker_with_update,rf_staff_workspace;rf_support_ticket_workspace;rf_governance_shell,ROLE_PLATFORM_GOVERNANCE_LEAD,refresh_on_auth_pattern_or_network_path_change,official_access_data_on_pds,PDS_LIVE_GATE_SECURE_NETWORK_PATH_PLANNED,Worker modes require an explicit secure-network and strong-auth posture plan.
ART_PDS_EVIDENCE_TEST_PLAN,mitigation_evidence_test_plan,all_selected_modes,all_pds_routes,ROLE_INTEROPERABILITY_LEAD,refresh_on_new_risk_log_version,official_pds_onboarding_support_info,PDS_LIVE_GATE_RISK_LOGS_CURRENT,The official onboarding support page says the test team arranges evidence testing of the mitigations.
ART_PDS_ROLLBACK_REHEARSAL,rollback_rehearsal,all_selected_modes,all_pds_routes,ROLE_RELEASE_MANAGER,refresh_each_release_candidate,prompt/027.md; docs/external/21_mock_first_vs_actual_later_strategy.md,PDS_LIVE_GATE_ROLLBACK_REHEARSED,Kill switch plus degraded fallback must be rehearsed before any real onboarding is attempted.
ART_PDS_SECRET_CAPTURE_PLAN,secret_capture_plan,application_restricted;healthcare_worker;healthcare_worker_with_update;patient_access,all_pds_routes,ROLE_INTEROPERABILITY_LEAD,refresh_on_provider_material_change,seq_023 secret ownership outputs,LIVE_GATE_PDS_LEGAL_BASIS_APPROVED,Principal and certificate capture remain blocked placeholders until legal basis and feature-flag approval clear.
ART_PDS_DATA_HANDLING_NOTE,data_handling_rule,all_selected_modes,all_pds_routes,ROLE_DPO,refresh_on retention or masking policy update,seq_010 data classification outputs; prompt/027.md,PDS_LIVE_GATE_RISK_LOGS_CURRENT,No real NHS numbers or demographic fixtures in repo; logs and screenshots must remain masked.
