seed_object_id,object_type,reference_case_id,tenant_scope_ref,organisation_scope_ref,route_family_ref,starting_surface_ref,seed_state,simulator_refs,continuity_control_refs,release_verification_use,phi_safe_class,requires_live_credentials,canonical_truth_refs,notes
SEED_059_FALLBACK_REVIEW_AFTER_ACCEPTED_PROGRESS_DEGRADES_ACTING_SCOPE_TUPLE_V1,ActingScopeTuple,RC_059_ACCEPTED_PROGRESS_DEGRADED_FALLBACK_V1,tenant://vecells/phase0-primary,SEED_059_ORG_VECELLS_SUPPORT_V1,rf_support_replay_observe,audsurf_support_workspace,aligned,sim_email_notification_twin; sim_mesh_message_path_twin,support_replay_restore; conversation_settlement; more_info_reply,wave_probe,synthetic_phi_safe,no,ActingScopeTuple; AudienceSurfaceRuntimeBinding,Acting scope stays deterministic and tenant-safe in every seeded route.
SEED_059_FALLBACK_REVIEW_AFTER_ACCEPTED_PROGRESS_DEGRADES_COMMAND_SETTLEMENT_RECORD_V1,CommandSettlementRecord,RC_059_ACCEPTED_PROGRESS_DEGRADED_FALLBACK_V1,tenant://vecells/phase0-primary,SEED_059_ORG_VECELLS_SUPPORT_V1,rf_support_replay_observe,audsurf_support_workspace,settled_or_pending,sim_email_notification_twin; sim_mesh_message_path_twin,support_replay_restore; conversation_settlement; more_info_reply,wave_probe,synthetic_phi_safe,no,CommandSettlementRecord; CommandActionRecord,Command settlement rows prove same-shell write posture without transport-local shortcuts.
SEED_059_FALLBACK_REVIEW_AFTER_ACCEPTED_PROGRESS_DEGRADES_COMMUNICATION_ENVELOPE_V1,CommunicationEnvelope,RC_059_ACCEPTED_PROGRESS_DEGRADED_FALLBACK_V1,tenant://vecells/phase0-primary,SEED_059_ORG_VECELLS_SUPPORT_V1,rf_support_replay_observe,audsurf_support_workspace,prepared,sim_email_notification_twin; sim_mesh_message_path_twin,support_replay_restore; conversation_settlement; more_info_reply,wave_probe,synthetic_phi_safe,no,CommunicationEnvelope; ConversationCommandSettlement,Communication fixtures carry delivery proof separately from send acceptance.
SEED_059_FALLBACK_REVIEW_AFTER_ACCEPTED_PROGRESS_DEGRADES_FALLBACK_REVIEW_CASE_V1,FallbackReviewCase,RC_059_ACCEPTED_PROGRESS_DEGRADED_FALLBACK_V1,tenant://vecells/phase0-primary,SEED_059_ORG_VECELLS_SUPPORT_V1,rf_support_replay_observe,audsurf_support_workspace,open,sim_email_notification_twin; sim_mesh_message_path_twin,support_replay_restore; conversation_settlement; more_info_reply,wave_probe,synthetic_phi_safe,no,FallbackReviewCase; SupportReplayRestoreSettlement,Fallback review keeps degraded accepted progress explicit until governed recovery settles.
SEED_059_FALLBACK_REVIEW_AFTER_ACCEPTED_PROGRESS_DEGRADES_LIFECYCLE_LEASE_V1,RequestLifecycleLease,RC_059_ACCEPTED_PROGRESS_DEGRADED_FALLBACK_V1,tenant://vecells/phase0-primary,SEED_059_ORG_VECELLS_SUPPORT_V1,rf_support_replay_observe,audsurf_support_workspace,held,sim_email_notification_twin; sim_mesh_message_path_twin,support_replay_restore; conversation_settlement; more_info_reply,wave_probe,synthetic_phi_safe,no,RequestLifecycleLease; RequestClosureRecord,Lifecycle lease rows keep closure coordinator-owned even in seed drills.
SEED_059_FALLBACK_REVIEW_AFTER_ACCEPTED_PROGRESS_DEGRADES_PATIENT_ACTION_RECOVERY_ENVELOPE_V1,PatientActionRecoveryEnvelope,RC_059_ACCEPTED_PROGRESS_DEGRADED_FALLBACK_V1,tenant://vecells/phase0-primary,SEED_059_ORG_VECELLS_SUPPORT_V1,rf_support_replay_observe,audsurf_support_workspace,active,sim_email_notification_twin; sim_mesh_message_path_twin,support_replay_restore; conversation_settlement; more_info_reply,wave_probe,synthetic_phi_safe,no,PatientActionRecoveryEnvelope; PatientRequestReturnBundle,Patient recovery envelope keeps shell continuity truthful through blockers and repairs.
SEED_059_FALLBACK_REVIEW_AFTER_ACCEPTED_PROGRESS_DEGRADES_PATIENT_IDENTITY_SEED_V1,SyntheticPatientIdentityState,RC_059_ACCEPTED_PROGRESS_DEGRADED_FALLBACK_V1,tenant://vecells/phase0-primary,SEED_059_ORG_VECELLS_SUPPORT_V1,rf_support_replay_observe,audsurf_support_workspace,accepted_progress_degraded,sim_email_notification_twin; sim_mesh_message_path_twin,support_replay_restore; conversation_settlement; more_info_reply,wave_probe,synthetic_phi_safe,no,IdentityBinding; ReachabilityAssessmentRecord,Synthetic patient identity state with PHI-safe names and deterministic identifiers.
SEED_059_FALLBACK_REVIEW_AFTER_ACCEPTED_PROGRESS_DEGRADES_PATIENT_RECEIPT_V1,PatientReceiptEnvelope,RC_059_ACCEPTED_PROGRESS_DEGRADED_FALLBACK_V1,tenant://vecells/phase0-primary,SEED_059_ORG_VECELLS_SUPPORT_V1,rf_support_replay_observe,audsurf_support_workspace,degraded,sim_email_notification_twin; sim_mesh_message_path_twin,support_replay_restore; conversation_settlement; more_info_reply,wave_probe,synthetic_phi_safe,no,PatientReceiptEnvelope; PatientShellConsistencyProjection,"Receipt rows keep preview shells truthful about calm, degraded, or blocked posture."
SEED_059_FALLBACK_REVIEW_AFTER_ACCEPTED_PROGRESS_DEGRADES_REACHABILITY_ASSESSMENT_V1,ReachabilityAssessmentRecord,RC_059_ACCEPTED_PROGRESS_DEGRADED_FALLBACK_V1,tenant://vecells/phase0-primary,SEED_059_ORG_VECELLS_SUPPORT_V1,rf_support_replay_observe,audsurf_support_workspace,current_or_repair_required,sim_email_notification_twin; sim_mesh_message_path_twin,support_replay_restore; conversation_settlement; more_info_reply,wave_probe,synthetic_phi_safe,no,ReachabilityAssessmentRecord; ContactRouteSnapshot,Reachability rows keep message and continuation repair explicit.
SEED_059_FALLBACK_REVIEW_AFTER_ACCEPTED_PROGRESS_DEGRADES_RELEASE_BINDING_ROW_V1,VerificationScenarioBinding,RC_059_ACCEPTED_PROGRESS_DEGRADED_FALLBACK_V1,tenant://vecells/phase0-primary,SEED_059_ORG_VECELLS_SUPPORT_V1,rf_support_replay_observe,audsurf_support_workspace,wave_probe,sim_email_notification_twin; sim_mesh_message_path_twin,support_replay_restore; conversation_settlement; more_info_reply,wave_probe,synthetic_phi_safe,no,VS_058_PRODUCTION_V1,Release and runtime tuple binding keeps seed simulation reusable across rings.
SEED_059_FALLBACK_REVIEW_AFTER_ACCEPTED_PROGRESS_DEGRADES_REQUEST_LINEAGE_V1,RequestLineage,RC_059_ACCEPTED_PROGRESS_DEGRADED_FALLBACK_V1,tenant://vecells/phase0-primary,SEED_059_ORG_VECELLS_SUPPORT_V1,rf_support_replay_observe,audsurf_support_workspace,active,sim_email_notification_twin; sim_mesh_message_path_twin,support_replay_restore; conversation_settlement; more_info_reply,wave_probe,synthetic_phi_safe,no,RequestLineage; LineageCaseLink,Lineage rows preserve child-case links and replay-safe causality.
