lifecycle_input_id,input_family,source_object_type,owning_bounded_context_ref,event_contract_refs,route_family_refs,route_scope_requirement_refs,audience_surface_refs,acting_scope_tuple_refs,runtime_binding_refs,trust_refs,release_approval_freeze_refs,request_closure_record_field,blocker_class_key,evaluation_stage,materialization_rule,failure_effect,same_shell_recovery,required_lineage_epoch,source_refs
LCI_055_APPROVAL_AND_ACKNOWLEDGEMENT_GATES,approval_gate,ApprovalCheckpoint,triage_workspace,CEC_TRIAGE_TASK_SETTLED; CEC_HUB_PRACTICE_NOTIFIED,rf_staff_workspace; rf_hub_case_management,RSR_054_GWS_CLINICIAN_WORKSPACE_RF_STAFF_WORKSPACE; RSR_054_GWS_PRACTICE_OPS_WORKSPACE_RF_STAFF_WORKSPACE; RSR_054_GWS_HUB_CASE_MANAGEMENT_RF_HUB_CASE_MANAGEMENT,audsurf_clinical_workspace; audsurf_hub_desk,AST_054_CLINICAL_WORKSPACE_V1; AST_054_PRACTICE_OPS_V1; AST_054_HUB_COORDINATION_V1,ASRB_050_CLINICAL_WORKSPACE_V1; ASRB_050_HUB_DESK_V1,asr_runtime_topology_tuple; RTFV_PROD_WORKSPACE_LIVE_V1; RTFV_PROD_HUB_LIVE_V1; scope://hub/cross_org_visibility,RAF_LOCAL_V1; RAF_CI_PREVIEW_V1; RAF_INTEGRATION_V1; RAF_PREPROD_V1; RAF_PRODUCTION_V1,blockingApprovalRefs[],approval_checkpoint,policy_gate,required acknowledgement and governance approvals remain first-class blocker refs,defer,summary_only_until_approval,yes,blueprint/phase-3-the-human-checkpoint.md#Closure and reopen rules; blueprint/phase-5-the-network-horizon.md
LCI_055_COMMAND_FOLLOWING_PROJECTIONS,projection_consumption,Command-following projection,projection_worker,CEC_REQUEST_CLOSE_EVALUATED; CEC_REQUEST_WORKFLOW_CHANGED,rf_patient_requests; rf_patient_appointments; rf_patient_messages; rf_staff_workspace; rf_hub_case_management; rf_pharmacy_console,RSR_054_GWS_PATIENT_REQUESTS_RF_PATIENT_REQUESTS; RSR_054_GWS_PATIENT_APPOINTMENTS_RF_PATIENT_APPOINTMENTS; RSR_054_GWS_PATIENT_MESSAGES_RF_PATIENT_MESSAGES; RSR_054_GWS_CLINICIAN_WORKSPACE_RF_STAFF_WORKSPACE; RSR_054_GWS_PRACTICE_OPS_WORKSPACE_RF_STAFF_WORKSPACE; RSR_054_GWS_HUB_CASE_MANAGEMENT_RF_HUB_CASE_MANAGEMENT; RSR_054_GWS_PHARMACY_CONSOLE_RF_PHARMACY_CONSOLE,audsurf_patient_authenticated_portal; audsurf_clinical_workspace; audsurf_hub_desk; audsurf_pharmacy_console,AST_054_CLINICAL_WORKSPACE_V1; AST_054_PRACTICE_OPS_V1; AST_054_HUB_COORDINATION_V1; AST_054_PHARMACY_SERVICING_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1; ASRB_050_CLINICAL_WORKSPACE_V1; ASRB_050_HUB_DESK_V1; ASRB_050_PHARMACY_CONSOLE_V1,asr_runtime_topology_tuple; RTFV_PROD_WORKSPACE_LIVE_V1; RTFV_PROD_HUB_LIVE_V1; scope://hub/cross_org_visibility; RTFV_PROD_PHARMACY_LIVE_V1,RAF_LOCAL_V1; RAF_CI_PREVIEW_V1; RAF_INTEGRATION_V1; RAF_PREPROD_V1; RAF_PRODUCTION_V1,,,terminal_truth,close remains provisional until command_following projections consume the required causal token under the active release tuple,defer,projection_pending_same_shell,yes,blueprint/phase-0-the-foundation-protocol.md#9.6 Closure evaluation algorithm; data/analysis/frontend_contract_manifests.json; data/analysis/release_publication_parity_rules.json
LCI_055_DEGRADED_PROMISES_AND_CONSENT,degraded_promise,CurrentPromise or consent-pending dependency,communications,CEC_CONFIRMATION_GATE_CREATED; CEC_COMMUNICATION_RECEIPT_ENVELOPED; CEC_PHARMACY_CONSENT_REVOCATION_RECORDED,rf_patient_messages; rf_pharmacy_console; rf_hub_case_management,RSR_054_GWS_PATIENT_MESSAGES_RF_PATIENT_MESSAGES; RSR_054_GWS_PHARMACY_CONSOLE_RF_PHARMACY_CONSOLE; RSR_054_GWS_HUB_CASE_MANAGEMENT_RF_HUB_CASE_MANAGEMENT,audsurf_patient_authenticated_portal; audsurf_pharmacy_console; audsurf_hub_desk,AST_054_PHARMACY_SERVICING_V1; AST_054_HUB_COORDINATION_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1; ASRB_050_PHARMACY_CONSOLE_V1; ASRB_050_HUB_DESK_V1,asr_runtime_topology_tuple; RTFV_PROD_PHARMACY_LIVE_V1; RTFV_PROD_HUB_LIVE_V1; scope://hub/cross_org_visibility,RAF_LOCAL_V1; RAF_CI_PREVIEW_V1; RAF_INTEGRATION_V1; RAF_PREPROD_V1; RAF_PRODUCTION_V1,blockingDegradedPromiseRefs[],degraded_promise,promise_integrity,"live degraded promises, consent-pending dependencies, and provisional receipts remain explicit blocker refs",defer,calm_receipt_only,yes,prompt/055.md; blueprint/phase-0-the-foundation-protocol.md#9.6 Closure evaluation algorithm
LCI_055_DUPLICATE_CLUSTERS,duplicate_review,DuplicateCluster,intake_safety,CEC_REQUEST_DUPLICATE_REVIEW_REQUIRED; CEC_REQUEST_DUPLICATE_RESOLVED,rf_patient_requests; rf_support_ticket_workspace,RSR_054_GWS_PATIENT_REQUESTS_RF_PATIENT_REQUESTS; RSR_054_GWS_SUPPORT_ASSISTED_CAPTURE_RF_SUPPORT_TICKET_WORKSPACE; RSR_054_GWS_SUPPORT_TICKET_WORKSPACE_RF_SUPPORT_TICKET_WORKSPACE,audsurf_patient_authenticated_portal; audsurf_support_workspace,AST_054_SUPPORT_ASSISTED_CAPTURE_V1; AST_054_SUPPORT_WORKSPACE_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1; ASRB_050_SUPPORT_WORKSPACE_V1,asr_runtime_topology_tuple; RTFV_PROD_SUPPORT_LIVE_V1; asr_restore_readiness,RAF_LOCAL_V1; RAF_CI_PREVIEW_V1; RAF_INTEGRATION_V1; RAF_PREPROD_V1; RAF_PRODUCTION_V1,blockingDuplicateClusterRefs[],duplicate_review,case_repair,review_required clusters persist as explicit duplicate blocker refs,defer,review_required,yes,blueprint/forensic-audit-findings.md#Finding 57; docs/architecture/05_request_lineage_model.md
LCI_055_EPISODE_SIBLING_CLOSURE_POLICY,episode_policy,Episode closure policy,domain_kernel,CEC_REQUEST_CLOSE_EVALUATED; CEC_REQUEST_REOPENED,rf_patient_requests; rf_staff_workspace,RSR_054_GWS_PATIENT_REQUESTS_RF_PATIENT_REQUESTS; RSR_054_GWS_CLINICIAN_WORKSPACE_RF_STAFF_WORKSPACE; RSR_054_GWS_PRACTICE_OPS_WORKSPACE_RF_STAFF_WORKSPACE,audsurf_patient_authenticated_portal; audsurf_clinical_workspace,AST_054_CLINICAL_WORKSPACE_V1; AST_054_PRACTICE_OPS_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1; ASRB_050_CLINICAL_WORKSPACE_V1,asr_runtime_topology_tuple; RTFV_PROD_WORKSPACE_LIVE_V1,RAF_LOCAL_V1; RAF_CI_PREVIEW_V1; RAF_INTEGRATION_V1; RAF_PREPROD_V1; RAF_PRODUCTION_V1,,,episode_policy,episode-level closure may proceed only when sibling requests and branches satisfy the same governed policy,defer,sibling_branch_visibility_only,yes,blueprint/phase-0-the-foundation-protocol.md#9.6 Closure evaluation algorithm
LCI_055_EXTERNAL_CONFIRMATION_GATES,confirmation_gate,ExternalConfirmationGate,identity_access,CEC_CONFIRMATION_GATE_CREATED; CEC_CONFIRMATION_GATE_CONFIRMED; CEC_CONFIRMATION_GATE_DISPUTED; CEC_CONFIRMATION_GATE_EXPIRED,rf_patient_appointments; rf_hub_case_management; rf_pharmacy_console,RSR_054_GWS_PATIENT_APPOINTMENTS_RF_PATIENT_APPOINTMENTS; RSR_054_GWS_HUB_CASE_MANAGEMENT_RF_HUB_CASE_MANAGEMENT; RSR_054_GWS_PHARMACY_CONSOLE_RF_PHARMACY_CONSOLE,audsurf_patient_authenticated_portal; audsurf_hub_desk; audsurf_pharmacy_console,AST_054_HUB_COORDINATION_V1; AST_054_PHARMACY_SERVICING_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1; ASRB_050_HUB_DESK_V1; ASRB_050_PHARMACY_CONSOLE_V1,asr_runtime_topology_tuple; RTFV_PROD_HUB_LIVE_V1; scope://hub/cross_org_visibility; RTFV_PROD_PHARMACY_LIVE_V1,RAF_LOCAL_V1; RAF_CI_PREVIEW_V1; RAF_INTEGRATION_V1; RAF_PREPROD_V1; RAF_PRODUCTION_V1,blockingConfirmationRefs[],confirmation_gate,policy_gate,"current confirmation truth is materialized as gate refs, never copied into workflow state",defer,pending_confirmation_posture,yes,blueprint/phase-4-the-booking-engine.md; blueprint/phase-5-the-network-horizon.md; blueprint/phase-6-the-pharmacy-loop.md
LCI_055_FALLBACK_REVIEW_CASES,fallback_review,FallbackReviewCase,support,CEC_EXCEPTION_REVIEW_CASE_OPENED; CEC_EXCEPTION_REVIEW_CASE_RECOVERED,rf_support_replay_observe; rf_support_ticket_workspace,RSR_054_GWS_SUPPORT_REPLAY_OBSERVE_RF_SUPPORT_REPLAY_OBSERVE; RSR_054_GWS_SUPPORT_ASSISTED_CAPTURE_RF_SUPPORT_TICKET_WORKSPACE; RSR_054_GWS_SUPPORT_TICKET_WORKSPACE_RF_SUPPORT_TICKET_WORKSPACE,audsurf_support_workspace,AST_054_SUPPORT_REPLAY_V1; AST_054_SUPPORT_ASSISTED_CAPTURE_V1; AST_054_SUPPORT_WORKSPACE_V1,ASRB_050_SUPPORT_WORKSPACE_V1,AEGS_053_CURRENT; AGCV_053_CURRENT; asr_restore_readiness; asr_runtime_topology_tuple; RTFV_PROD_SUPPORT_LIVE_V1,RAF_LOCAL_V1; RAF_CI_PREVIEW_V1; RAF_INTEGRATION_V1; RAF_PREPROD_V1; RAF_PRODUCTION_V1,blockingFallbackCaseRefs[],fallback_review,case_repair,degraded accepted progress or replay restore debt persists as dedicated fallback blocker refs,defer,restore_or_review_only,yes,blueprint/forensic-audit-findings.md#Finding 58; blueprint/staff-operations-and-support-blueprint.md
LCI_055_IDENTITY_REPAIR_CASES,identity_repair,IdentityRepairCase,identity_access,CEC_IDENTITY_REPAIR_CASE_OPENED; CEC_IDENTITY_REPAIR_CASE_CORRECTED; CEC_IDENTITY_REPAIR_CASE_CLOSED,rf_patient_requests; rf_staff_workspace; rf_support_ticket_workspace,RSR_054_GWS_PATIENT_REQUESTS_RF_PATIENT_REQUESTS; RSR_054_GWS_CLINICIAN_WORKSPACE_RF_STAFF_WORKSPACE; RSR_054_GWS_PRACTICE_OPS_WORKSPACE_RF_STAFF_WORKSPACE; RSR_054_GWS_SUPPORT_ASSISTED_CAPTURE_RF_SUPPORT_TICKET_WORKSPACE; RSR_054_GWS_SUPPORT_TICKET_WORKSPACE_RF_SUPPORT_TICKET_WORKSPACE,audsurf_patient_authenticated_portal; audsurf_clinical_workspace; audsurf_support_workspace,AST_054_CLINICAL_WORKSPACE_V1; AST_054_PRACTICE_OPS_V1; AST_054_SUPPORT_ASSISTED_CAPTURE_V1; AST_054_SUPPORT_WORKSPACE_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1; ASRB_050_CLINICAL_WORKSPACE_V1; ASRB_050_SUPPORT_WORKSPACE_V1,asr_runtime_topology_tuple; RTFV_PROD_WORKSPACE_LIVE_V1; RTFV_PROD_SUPPORT_LIVE_V1; asr_restore_readiness,RAF_LOCAL_V1; RAF_CI_PREVIEW_V1; RAF_INTEGRATION_V1; RAF_PREPROD_V1; RAF_PRODUCTION_V1,blockingIdentityRepairRefs[],identity_repair,case_repair,wrong-patient or branch correction never rewrites workflow milestones and remains explicit repair metadata,defer,identity_hold_or_compensation_pending,yes,blueprint/forensic-audit-findings.md#Finding 59; blueprint/forensic-audit-findings.md#Finding 69
LCI_055_LINEAGE_CASE_LINKS,lineage_branch,LineageCaseLink,domain_kernel,CEC_REQUEST_UPDATED,rf_staff_workspace; rf_hub_case_management; rf_pharmacy_console; rf_patient_messages,RSR_054_GWS_CLINICIAN_WORKSPACE_RF_STAFF_WORKSPACE; RSR_054_GWS_PRACTICE_OPS_WORKSPACE_RF_STAFF_WORKSPACE; RSR_054_GWS_HUB_CASE_MANAGEMENT_RF_HUB_CASE_MANAGEMENT; RSR_054_GWS_PHARMACY_CONSOLE_RF_PHARMACY_CONSOLE; RSR_054_GWS_PATIENT_MESSAGES_RF_PATIENT_MESSAGES,audsurf_clinical_workspace; audsurf_hub_desk; audsurf_pharmacy_console; audsurf_patient_authenticated_portal,AST_054_CLINICAL_WORKSPACE_V1; AST_054_PRACTICE_OPS_V1; AST_054_HUB_COORDINATION_V1; AST_054_PHARMACY_SERVICING_V1,ASRB_050_CLINICAL_WORKSPACE_V1; ASRB_050_HUB_DESK_V1; ASRB_050_PHARMACY_CONSOLE_V1; ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,asr_runtime_topology_tuple; RTFV_PROD_WORKSPACE_LIVE_V1; RTFV_PROD_HUB_LIVE_V1; scope://hub/cross_org_visibility; RTFV_PROD_PHARMACY_LIVE_V1,RAF_LOCAL_V1; RAF_CI_PREVIEW_V1; RAF_INTEGRATION_V1; RAF_PREPROD_V1; RAF_PRODUCTION_V1,blockingLineageCaseLinkRefs[],lineage_case_link_active,lineage_invariant,"every proposed, acknowledged, active, or returned child branch stays closure-blocking until governed settlement",defer,return_or_handoff_only,yes,docs/architecture/05_request_lineage_model.md; blueprint/phase-0-the-foundation-protocol.md#9.6 Closure evaluation algorithm
LCI_055_PHI_BEARING_ACCESS_GRANTS,grant_control,AccessGrant,identity_access,CEC_ACCESS_GRANT_ISSUED; CEC_ACCESS_GRANT_REDEEMED; CEC_ACCESS_GRANT_REVOKED; CEC_ACCESS_GRANT_SUPERSEDED,rf_patient_secure_link_recovery; rf_patient_messages; rf_patient_requests,RSR_054_GWS_PATIENT_SECURE_LINK_RECOVERY_RF_PATIENT_SECURE_LINK_RECOVERY; RSR_054_GWS_PATIENT_MESSAGES_RF_PATIENT_MESSAGES; RSR_054_GWS_PATIENT_REQUESTS_RF_PATIENT_REQUESTS,audsurf_patient_transaction_recovery; audsurf_patient_authenticated_portal,,ASRB_050_PATIENT_TRANSACTION_RECOVERY_V1; ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,,RAF_LOCAL_V1; RAF_CI_PREVIEW_V1; RAF_INTEGRATION_V1; RAF_PREPROD_V1; RAF_PRODUCTION_V1,blockingGrantRefs[],live_phi_grant,privacy_control,"current PHI-bearing grants must be revoked, expired, or superseded before closure may settle",defer,grant_rotation_or_claim_recovery,yes,blueprint/forensic-audit-findings.md#Finding 60; blueprint/phase-0-the-foundation-protocol.md#9.6 Closure evaluation algorithm
