phaseCode,rowState,summaryAlignmentState,contractAdoptionState,verificationCoverageState,operationalProofState,endStateProofState,rowHash
phase0_foundation,exact,exact,exact,exact,exact,exact,9b58f575e6f523a0c96199a0909c04f057db1f51e1b1396a9a9dc661f9df3c6e
phase6_pharmacy_loop,exact,exact,exact,exact,exact,exact,ecf0a5b008691cbe07e91aefc9ff58b04c67ce339dc484b7950bbb0d17bfc205
phase8_assistive_layer,exact,exact,exact,exact,exact,exact,0f8cb2db20b609120291a0d6a16bb003bfaf03699fabbf0720736a14514478a9
phase9_assurance_governance,exact,exact,exact,exact,exact,exact,021fe67a395c79180c7ff9c3e98356e5e4ed6f4882e980819fa4178b1da06526
cross_phase_runtime_release,exact,exact,exact,exact,exact,exact,48fd6ffd2be16a03b34fae571d293b95b83ea24e810b39c89cc47a49fbc81f51
phase3_duplicate_resolution,blocked,blocked,exact,exact,exact,exact,dd0ffdf1da3f159aa2a9256d363917a865e3553ce306bcb54ce4ae5b7e4e1da8
runtime_publication_tuple,blocked,exact,exact,blocked,exact,exact,0e089ca128a5ae92e3267f7b988740ee8b94add75c7357c2f9be18035e8d8447
verification_ladder,blocked,exact,exact,blocked,exact,exact,ce9f64e4203cc09c2d274a5a81533fa7fce606e6636c1cc7199b9859a2036300
slice_trust_control_status,stale,exact,exact,exact,stale,exact,85cebfead584e93327d643b93f6f9efbc94df7c2dadb15be9228d1dc68c44ded
continuity_evidence,stale,exact,exact,exact,stale,exact,c37abe4902267586146429f0a341d88f158b93b177997dfb2abdd9f374a474de
governance_ops_proof,blocked,exact,exact,exact,blocked,exact,a1e431da36454163536f3f38a5cfcb7c991902e2dfb022b65126866468e9acb6
