release_ref,environment_ring,runtime_publication_bundle_id,publication_parity_record_id,tuple_stage,member_kind,member_count,member_refs,stage_state,blocking_effect
RC_LOCAL_V1,local,rpb::local::authoritative,rpp::local::authoritative,topology,workload_family,9,wf_assurance_security_control|wf_command_orchestration|wf_data_stateful_plane|wf_integration_dispatch|wf_integration_simulation_lab|wf_projection_read_models,exact,publishable
RC_LOCAL_V1,local,rpb::local::authoritative,rpp::local::authoritative,trust,trust_zone_boundary,10,tzb_application_core_to_assurance_security|tzb_application_core_to_integration_perimeter|tzb_application_core_to_stateful_data|tzb_assurance_security_to_stateful_data|tzb_integration_perimeter_to_assurance_security|tzb_integration_perimeter_to_stateful_data,exact,publishable
RC_LOCAL_V1,local,rpb::local::authoritative,rpp::local::authoritative,gateway,gateway_surface,22,gws_assistive_sidecar|gws_clinician_workspace|gws_clinician_workspace_child|gws_governance_shell|gws_hub_case_management|gws_hub_queue,exact,publishable
RC_LOCAL_V1,local,rpb::local::authoritative,rpp::local::authoritative,frontend,frontend_manifest,9,FCM_050_CLINICAL_WORKSPACE_V1|FCM_050_GOVERNANCE_ADMIN_V1|FCM_050_HUB_DESK_V1|FCM_050_OPERATIONS_CONSOLE_V1|FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1|FCM_050_PATIENT_PUBLIC_ENTRY_V1,exact,publishable
RC_LOCAL_V1,local,rpb::local::authoritative,rpp::local::authoritative,design,design_publication_bundle,9,dcpb::clinical_workspace::planned|dcpb::governance_admin::planned|dcpb::hub_desk::planned|dcpb::operations_console::planned|dcpb::patient_authenticated_shell::planned|dcpb::patient_public_entry::planned,exact,publishable
RC_LOCAL_V1,local,rpb::local::authoritative,rpp::local::authoritative,projection,projection_contract_version_set,9,PCVS_050_CLINICAL_WORKSPACE_V1|PCVS_050_GOVERNANCE_ADMIN_V1|PCVS_050_HUB_DESK_V1|PCVS_050_OPERATIONS_CONSOLE_V1|PCVS_050_PATIENT_AUTHENTICATED_PORTAL_V1|PCVS_050_PATIENT_PUBLIC_ENTRY_V1,exact,publishable
RC_LOCAL_V1,local,rpb::local::authoritative,rpp::local::authoritative,mutation,mutation_command_digest,19,mutation-command-digest::099a1bd46e1df3ba|mutation-command-digest::0c09fe70cd714a97|mutation-command-digest::2b2bc59daae819ef|mutation-command-digest::2cdd395cd0b8349f|mutation-command-digest::36ef0f11698b3b85|mutation-command-digest::409ec00bb77392f5,exact,publishable
RC_LOCAL_V1,local,rpb::local::authoritative,rpp::local::authoritative,live,live_update_digest,15,live-channel-digest::0bcaad6a66fbc433|live-channel-digest::1e4a919eba85bb9a|live-channel-digest::21da8a1ab4093a19|live-channel-digest::24b9cddec5e034e7|live-channel-digest::32dab9c07970723d|live-channel-digest::3bc60b6cd2659fc9,exact,publishable
RC_LOCAL_V1,local,rpb::local::authoritative,rpp::local::authoritative,cache,client_cache_policy_digest,19,cache-policy-digest::0183e6026c0a2022|cache-policy-digest::130c5f0b76ec4f3e|cache-policy-digest::3db37532b4daba02|cache-policy-digest::435831a018aa6bf5|cache-policy-digest::43bd2f1dbb4deeae|cache-policy-digest::46942e6b96696dd8,exact,publishable
RC_LOCAL_V1,local,rpb::local::authoritative,rpp::local::authoritative,provenance,build_provenance,1,bpr::run_release_controls_local_verified,published,fail_closed
RC_LOCAL_V1,local,rpb::local::authoritative,rpp::local::authoritative,recovery,recovery_disposition,39,RRD_ARTIFACT_HANDOFF_REQUIRED|RRD_ASSISTIVE_READ_ONLY|RRD_ASSISTIVE_SIDECAR_FROZEN|RRD_BOOKING_CONFIRMATION_PLACEHOLDER|RRD_CONVERSATION_RECOVERY_ONLY|RRD_EMBEDDED_HANDOFF_ONLY,exact,publishable
RC_LOCAL_V1,local,rpb::local::authoritative,rpp::local::authoritative,continuity,continuity_evidence,4,CEC_058_PATIENT_NAV_V1|CEC_058_RECORD_CONTINUATION_V1|CEC_058_WORKSPACE_TASK_COMPLETION_V1|CEC_058_PHARMACY_CONSOLE_SETTLEMENT_V1,exact,publishable
RC_CI_PREVIEW_V1,ci-preview,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,topology,workload_family,9,wf_assurance_security_control|wf_command_orchestration|wf_data_stateful_plane|wf_integration_dispatch|wf_integration_simulation_lab|wf_projection_read_models,exact,publishable
RC_CI_PREVIEW_V1,ci-preview,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,trust,trust_zone_boundary,10,tzb_application_core_to_assurance_security|tzb_application_core_to_integration_perimeter|tzb_application_core_to_stateful_data|tzb_assurance_security_to_stateful_data|tzb_integration_perimeter_to_assurance_security|tzb_integration_perimeter_to_stateful_data,exact,publishable
RC_CI_PREVIEW_V1,ci-preview,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,gateway,gateway_surface,22,gws_assistive_sidecar|gws_clinician_workspace|gws_clinician_workspace_child|gws_governance_shell|gws_hub_case_management|gws_hub_queue,exact,publishable
RC_CI_PREVIEW_V1,ci-preview,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,frontend,frontend_manifest,9,FCM_050_CLINICAL_WORKSPACE_V1|FCM_050_GOVERNANCE_ADMIN_V1|FCM_050_HUB_DESK_V1|FCM_050_OPERATIONS_CONSOLE_V1|FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1|FCM_050_PATIENT_PUBLIC_ENTRY_V1,exact,publishable
RC_CI_PREVIEW_V1,ci-preview,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,design,design_publication_bundle,9,dcpb::clinical_workspace::planned|dcpb::governance_admin::planned|dcpb::hub_desk::planned|dcpb::operations_console::planned|dcpb::patient_authenticated_shell::planned|dcpb::patient_public_entry::planned,exact,publishable
RC_CI_PREVIEW_V1,ci-preview,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,projection,projection_contract_version_set,9,PCVS_050_CLINICAL_WORKSPACE_V1|PCVS_050_GOVERNANCE_ADMIN_V1|PCVS_050_HUB_DESK_V1|PCVS_050_OPERATIONS_CONSOLE_V1|PCVS_050_PATIENT_AUTHENTICATED_PORTAL_V1|PCVS_050_PATIENT_PUBLIC_ENTRY_V1,exact,publishable
RC_CI_PREVIEW_V1,ci-preview,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,mutation,mutation_command_digest,19,mutation-command-digest::099a1bd46e1df3ba|mutation-command-digest::0c09fe70cd714a97|mutation-command-digest::2b2bc59daae819ef|mutation-command-digest::2cdd395cd0b8349f|mutation-command-digest::36ef0f11698b3b85|mutation-command-digest::409ec00bb77392f5,exact,publishable
RC_CI_PREVIEW_V1,ci-preview,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,live,live_update_digest,15,live-channel-digest::0bcaad6a66fbc433|live-channel-digest::1e4a919eba85bb9a|live-channel-digest::21da8a1ab4093a19|live-channel-digest::24b9cddec5e034e7|live-channel-digest::32dab9c07970723d|live-channel-digest::3bc60b6cd2659fc9,exact,publishable
RC_CI_PREVIEW_V1,ci-preview,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,cache,client_cache_policy_digest,19,cache-policy-digest::0183e6026c0a2022|cache-policy-digest::130c5f0b76ec4f3e|cache-policy-digest::3db37532b4daba02|cache-policy-digest::435831a018aa6bf5|cache-policy-digest::43bd2f1dbb4deeae|cache-policy-digest::46942e6b96696dd8,exact,publishable
RC_CI_PREVIEW_V1,ci-preview,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,provenance,build_provenance,1,bpr::run_browser_ci_preview_drifted,stale,fail_closed
RC_CI_PREVIEW_V1,ci-preview,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,recovery,recovery_disposition,39,RRD_ARTIFACT_HANDOFF_REQUIRED|RRD_ASSISTIVE_READ_ONLY|RRD_ASSISTIVE_SIDECAR_FROZEN|RRD_BOOKING_CONFIRMATION_PLACEHOLDER|RRD_CONVERSATION_RECOVERY_ONLY|RRD_EMBEDDED_HANDOFF_ONLY,exact,publishable
RC_CI_PREVIEW_V1,ci-preview,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,continuity,continuity_evidence,4,CEC_058_PATIENT_NAV_V1|CEC_058_RECORD_CONTINUATION_V1|CEC_058_WORKSPACE_TASK_COMPLETION_V1|CEC_058_PHARMACY_CONSOLE_SETTLEMENT_V1,exact,publishable
RC_INTEGRATION_V1,integration,rpb::integration::authoritative,rpp::integration::authoritative,topology,workload_family,9,wf_assurance_security_control|wf_command_orchestration|wf_data_stateful_plane|wf_integration_dispatch|wf_integration_simulation_lab|wf_projection_read_models,exact,publishable
RC_INTEGRATION_V1,integration,rpb::integration::authoritative,rpp::integration::authoritative,trust,trust_zone_boundary,10,tzb_application_core_to_assurance_security|tzb_application_core_to_integration_perimeter|tzb_application_core_to_stateful_data|tzb_assurance_security_to_stateful_data|tzb_integration_perimeter_to_assurance_security|tzb_integration_perimeter_to_stateful_data,exact,publishable
RC_INTEGRATION_V1,integration,rpb::integration::authoritative,rpp::integration::authoritative,gateway,gateway_surface,22,gws_assistive_sidecar|gws_clinician_workspace|gws_clinician_workspace_child|gws_governance_shell|gws_hub_case_management|gws_hub_queue,exact,publishable
RC_INTEGRATION_V1,integration,rpb::integration::authoritative,rpp::integration::authoritative,frontend,frontend_manifest,9,FCM_050_CLINICAL_WORKSPACE_V1|FCM_050_GOVERNANCE_ADMIN_V1|FCM_050_HUB_DESK_V1|FCM_050_OPERATIONS_CONSOLE_V1|FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1|FCM_050_PATIENT_PUBLIC_ENTRY_V1,exact,publishable
RC_INTEGRATION_V1,integration,rpb::integration::authoritative,rpp::integration::authoritative,design,design_publication_bundle,9,dcpb::clinical_workspace::planned|dcpb::governance_admin::planned|dcpb::hub_desk::planned|dcpb::operations_console::planned|dcpb::patient_authenticated_shell::planned|dcpb::patient_public_entry::planned,exact,publishable
