gap_id,path_id,gap_class,severity,blocks_actual_strategy,summary,owner_role,next_step,linked_risk_id,source_refs
GAP_GP_001,im1_pairing_optum_emisweb,supplier_pip_detail_missing,high,yes,"Optum (EMISWeb) is publicly listed for IM1 Pairing, but exact booking, hold, and manage semantics still need supplier PIP evidence.",ROLE_PLATFORM_INTEROP_LEAD,Carry supplier-specific capability proof into seq_038 and seq_039 before any live claim.,RISK_EXT_BOOKING_PROVIDER_GAP,official_im1_pairing_integration; docs/external/26_im1_pairing_rehearsal_strategy.md
GAP_GP_002,im1_pairing_tpp_systmone,supplier_pip_detail_missing,high,yes,"TPP (SystmOne) is publicly listed for IM1 Pairing, but exact booking, hold, and manage semantics still need supplier PIP evidence.",ROLE_PLATFORM_INTEROP_LEAD,Carry supplier-specific capability proof into seq_038 and seq_039 before any live claim.,RISK_EXT_BOOKING_PROVIDER_GAP,official_im1_pairing_integration; docs/external/26_im1_pairing_rehearsal_strategy.md
GAP_GP_003,gp_connect_appointment_management_watch_only,new_supplier_pause,high,yes,"GP Connect Appointment Management new supplier development is currently paused, so it cannot be treated as the current Vecells expansion lane.",ROLE_PLATFORM_INTEROP_LEAD,Keep the lane watch-only unless official supplier posture changes materially.,RISK_EXT_BOOKING_PROVIDER_GAP,official_gp_connect_supplier_progress
GAP_GP_004,gp_connect_appointment_management_watch_only,existing_estate_variance,medium,yes,Current GP Connect Appointment Management value is estate-specific and oriented to existing consumer suppliers and staff flows.,ROLE_PRODUCT_ARCHITECT,Require a bounded estate-specific architecture decision before any future adoption.,RISK_EXT_BOOKING_PROVIDER_GAP,official_gp_connect_appointment_management; official_gp_connect_supplier_progress
GAP_GP_005,bars_watch_only,principal_route_boundary,medium,yes,BaRS is broader referral interoperability and should not be mistaken for the baseline patient-to-GP-practice principal-system booking path.,ROLE_PRODUCT_ARCHITECT,Keep BaRS in the watch register until a separate bounded use-case decision exists.,RISK_EXT_BOOKING_PROVIDER_GAP,official_referrals_and_bookings_guidance; official_bars_standard
GAP_GP_006,im1_pairing_optum_emisweb,governance_missing,high,yes,A real provider path cannot open without named sponsor ownership and commissioning posture.,ROLE_PROGRAMME_DIRECTOR,Name sponsor and commissioning posture before any live provider activity.,RISK_EXT_IM1_SCAL_DELAY,prompt/036.md; docs/external/23_actual_partner_account_governance.md
GAP_GP_007,im1_pairing_tpp_systmone,approver_and_environment_missing,high,yes,Actual-later remains fail-closed until a named approver and target environment are declared.,ROLE_PROGRAMME_DIRECTOR,Capture named approver and target environment before dry-run execution is considered.,RISK_EXT_IM1_SCAL_DELAY,prompt/036.md; docs/external/26_im1_pairing_rehearsal_strategy.md
GAP_GP_008,local_adapter_simulator_required,diagram_refresh_needed,medium,yes,"The architecture baseline exists, but the live-provider-specific diagram digest still needs named refresh before any real path can open.",ROLE_PLATFORM_ARCHITECT,Freeze provider-specific architecture and data-flow digests before later live work.,RISK_EXT_IM1_SCAL_DELAY,docs/architecture/16_target_architecture_adr_set.md; docs/architecture/13_backend_runtime_service_baseline.md
GAP_GP_009,manual_practice_handoff_only,mutation_flag_missing,high,yes,Real provider mutation stays blocked unless ALLOW_REAL_PROVIDER_MUTATION=true is supplied deliberately.,ROLE_RELEASE_MANAGER,Keep all dry-run tooling fail-closed unless the mutation flag is explicitly enabled.,RISK_EXT_IM1_SCAL_DELAY,prompt/shared_operating_contract_036_to_045.md
GAP_GP_010,manual_practice_handoff_only,watch_register_open,high,yes,"The gap register still contains unresolved supplier, governance, and evidence blockers.",ROLE_PLATFORM_INTEROP_LEAD,Resolve supplier and governance blockers before claiming the watch register is clear.,RISK_EXT_BOOKING_PROVIDER_GAP,data/analysis/gp_provider_sandbox_gap_register.csv
