browserRecoveryPostureId,environmentRing,routeFamilyRef,routeFamilyLabel,audienceSurfaceRef,gatewaySurfaceRef,runtimePublicationBundleRef,releasePublicationParityRecordRef,cachePolicyRef,secondaryCachePolicyRefs,liveUpdateChannelContractRef,baselineBrowserPosture,transientDisconnectPosture,replayGapPosture,staleProjectionPosture,publicationDriftPosture,releaseOrChannelFreezePosture,assuranceTrustDriftPosture,manifestDriftPosture,offlineReusePosture,runtimePublicationState,parityState,routeExposureState,staleDisclosureMode,defaultRecoveryDispositionRef,readOnlyRecoveryDispositionRef,recoveryOnlyRecoveryDispositionRef,blockedRecoveryDispositionRef,offlineReuseDisposition,reconnectPolicyRef,gapResolutionRefs,source_refs
BRP_096_CI_PREVIEW_RF_GOVERNANCE_SHELL_V1,ci-preview,rf_governance_shell,"/ops/governance/*, /ops/access/*, /ops/config/*, /ops/comms/*, /ops/release/*",audsurf_governance_admin,gws_governance_shell,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,CP_GOVERNANCE_CONTROL_EPHEMERAL,,LCC_050_RF_GOVERNANCE_SHELL_V1,read_only,read_only,blocked,read_only,blocked,read_only,blocked,blocked,read_only,stale,stale,frozen,governance_control_notice,RRD_GOVERNANCE_READ_ONLY,RRD_GOVERNANCE_READ_ONLY,RRD_GOVERNANCE_HANDOFF_ONLY,RRD_GOVERNANCE_HANDOFF_ONLY,governance_last_safe_read_only,GAP_RESOLUTION_RECONNECT_POLICY_GOVERNANCE_SSE_V1,FOLLOW_ON_DEPENDENCY_CONTENT_AUDSURF_GOVERNANCE_ADMIN_V1|GAP_RESOLUTION_RECONNECT_POLICY_GOVERNANCE_SSE_V1,blueprint/forensic-audit-findings.md#Finding 95|blueprint/governance-admin-console-frontend-blueprint.md#Shell and route topology|blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest|blueprint/platform-runtime-and-release-blueprint.md#LiveUpdateChannelContract|data/analysis/build_provenance_manifest.json|data/analysis/design_contract_publication_bundles.json|data/analysis/frontend_contract_manifests.json|data/analysis/gateway_bff_surfaces.json|data/analysis/gateway_bff_surfaces.json#gws_governance_shell|data/analysis/release_contract_verification_matrix.json|data/analysis/release_publication_parity_rules.json|data/analysis/runtime_topology_manifest.json|data/analysis/tenant_isolation_matrix.csv#TIM_GOVERNANCE_PLATFORM|governance-admin-console-frontend-blueprint.md#Primary governance personas|governance-admin-console-frontend-blueprint.md#Shell and route topology|governance-admin-console-frontend-blueprint.md#Shell and route topology; platform-frontend-blueprint.md#Governance/Admin specialization; governance-admin-console-frontend-blueprint.md#Primary governance personas; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/governance-admin-console-frontend-blueprint.md#Shell and route topology; blueprint/forensic-audit-findings.md#Finding 95; data/analysis/tenant_isolation_matrix.csv#TIM_GOVERNANCE_PLATFORM|platform-frontend-blueprint.md#Governance/Admin specialization|platform-runtime-and-release-blueprint.md#GatewayBffSurface
BRP_096_CI_PREVIEW_RF_HUB_CASE_MANAGEMENT_V1,ci-preview,rf_hub_case_management,"/hub/case/:hubCoordinationCaseId, /hub/alternatives/:offerSessionId, /hub/exceptions, /hub/audit/:hubCoordinationCaseId",audsurf_hub_desk,gws_hub_case_management,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,CP_HUB_CASE_PRIVATE_EPHEMERAL,,LCC_050_RF_HUB_CASE_MANAGEMENT_V1,read_only,read_only,recovery_only,read_only,recovery_only,read_only,recovery_only,recovery_only,read_only,stale,stale,frozen,workspace_status_strip,RRD_HUB_CASE_READ_ONLY,RRD_HUB_CASE_READ_ONLY,RRD_HUB_CASE_RECOVERY_ONLY,RRD_HUB_CASE_RECOVERY_ONLY,hub_case_last_anchor_read_only,GAP_RESOLUTION_RECONNECT_POLICY_HUB_SSE_V1,FOLLOW_ON_DEPENDENCY_CONTENT_AUDSURF_HUB_DESK_V1|GAP_RESOLUTION_RECONNECT_POLICY_HUB_SSE_V1,"blueprint/forensic-audit-findings.md#Finding 114|blueprint/phase-5-the-network-horizon.md#Frontend work|blueprint/phase-5-the-network-horizon.md#Hub shell-family ownership is explicit|blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest|blueprint/platform-runtime-and-release-blueprint.md#LiveUpdateChannelContract|data/analysis/build_provenance_manifest.json|data/analysis/design_contract_publication_bundles.json|data/analysis/frontend_contract_manifests.json|data/analysis/gateway_bff_surfaces.json|data/analysis/gateway_bff_surfaces.json#gws_hub_case_management|data/analysis/gateway_bff_surfaces.json#gws_hub_queue|data/analysis/release_contract_verification_matrix.json|data/analysis/release_publication_parity_rules.json|data/analysis/runtime_topology_manifest.json|data/analysis/tenant_isolation_matrix.csv#TIM_HUB_CROSS_ORG|phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine|phase-5-the-network-horizon.md#Frontend work|phase-5-the-network-horizon.md#Frontend work; phase-5-the-network-horizon.md#Hub shell-family ownership is explicit; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-5-the-network-horizon.md#Hub shell-family ownership is explicit; blueprint/forensic-audit-findings.md#Finding 114; data/analysis/tenant_isolation_matrix.csv#TIM_HUB_CROSS_ORG|phase-5-the-network-horizon.md#Hub shell-family ownership is explicit|platform-runtime-and-release-blueprint.md#GatewayBffSurface"
BRP_096_CI_PREVIEW_RF_HUB_QUEUE_V1,ci-preview,rf_hub_queue,/hub/queue,audsurf_hub_desk,gws_hub_queue,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,CP_HUB_QUEUE_PRIVATE_SUMMARY,,LCC_050_RF_HUB_QUEUE_V1,read_only,read_only,recovery_only,read_only,recovery_only,read_only,recovery_only,recovery_only,read_only,stale,stale,frozen,workspace_status_strip,RRD_HUB_QUEUE_READ_ONLY,RRD_HUB_QUEUE_READ_ONLY,RRD_HUB_QUEUE_SUMMARY_ONLY,RRD_HUB_QUEUE_SUMMARY_ONLY,hub_queue_summary_only,GAP_RESOLUTION_RECONNECT_POLICY_HUB_SSE_V1,FOLLOW_ON_DEPENDENCY_CONTENT_AUDSURF_HUB_DESK_V1|GAP_RESOLUTION_RECONNECT_POLICY_HUB_SSE_V1,"blueprint/forensic-audit-findings.md#Finding 114|blueprint/phase-5-the-network-horizon.md#Frontend work|blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest|blueprint/platform-runtime-and-release-blueprint.md#LiveUpdateChannelContract|data/analysis/build_provenance_manifest.json|data/analysis/design_contract_publication_bundles.json|data/analysis/frontend_contract_manifests.json|data/analysis/gateway_bff_surfaces.json|data/analysis/gateway_bff_surfaces.json#gws_hub_case_management|data/analysis/gateway_bff_surfaces.json#gws_hub_queue|data/analysis/release_contract_verification_matrix.json|data/analysis/release_publication_parity_rules.json|data/analysis/runtime_topology_manifest.json|data/analysis/tenant_isolation_matrix.csv#TIM_HUB_CROSS_ORG|phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine|phase-5-the-network-horizon.md#Frontend work|phase-5-the-network-horizon.md#Frontend work; phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-5-the-network-horizon.md#Frontend work; blueprint/forensic-audit-findings.md#Finding 114; data/analysis/tenant_isolation_matrix.csv#TIM_HUB_CROSS_ORG|phase-5-the-network-horizon.md#Hub shell-family ownership is explicit|platform-runtime-and-release-blueprint.md#GatewayBffSurface"
BRP_096_CI_PREVIEW_RF_INTAKE_SELF_SERVICE_V1,ci-preview,rf_intake_self_service,Intake / self-service form (derived),audsurf_patient_public_entry,gws_patient_intake_web,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,CP_PUBLIC_NO_PERSISTED_PHI,,,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,stale,stale,frozen,public_entry_recovery_banner,RRD_PATIENT_INTAKE_RECOVERY,RRD_PATIENT_PUBLIC_PLACEHOLDER,RRD_PATIENT_INTAKE_RECOVERY,RRD_PATIENT_INTAKE_RECOVERY,public_placeholder_only,not_applicable,FOLLOW_ON_DEPENDENCY_CONTENT_AUDSURF_PATIENT_PUBLIC_ENTRY_V1|GAP_ROUTE_CACHE_OR_CHANNEL_BINDING_RF_INTAKE_SELF_SERVICE_LIVE_CHANNEL_ABSENT,blueprint-init.md#2. Core product surfaces|blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#12.1 Mandatory audience tiers; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/blueprint-init.md#2. Core product surfaces; blueprint/forensic-audit-findings.md#Finding 97; data/analysis/tenant_isolation_matrix.csv#TIM_PUBLIC_PRE_IDENTITY|blueprint/blueprint-init.md#2. Core product surfaces|blueprint/forensic-audit-findings.md#Finding 97|blueprint/platform-frontend-blueprint.md#Browser boundary and BFF law|blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest|data/analysis/build_provenance_manifest.json|data/analysis/design_contract_publication_bundles.json|data/analysis/frontend_contract_manifests.json|data/analysis/gateway_bff_surfaces.json|data/analysis/gateway_bff_surfaces.json#gws_patient_intake_phone|data/analysis/gateway_bff_surfaces.json#gws_patient_intake_web|data/analysis/release_contract_verification_matrix.json|data/analysis/release_publication_parity_rules.json|data/analysis/runtime_topology_manifest.json|data/analysis/tenant_isolation_matrix.csv#TIM_PUBLIC_PRE_IDENTITY|phase-0-the-foundation-protocol.md#0.2 Continuity key and shell law|phase-0-the-foundation-protocol.md#12.1 Mandatory audience tiers|platform-runtime-and-release-blueprint.md#GatewayBffSurface
BRP_096_CI_PREVIEW_RF_INTAKE_TELEPHONY_CAPTURE_V1,ci-preview,rf_intake_telephony_capture,Intake / telephony capture (derived),audsurf_patient_public_entry,gws_patient_intake_phone,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,CP_CONSTRAINED_CAPTURE_NO_BROWSER_CACHE,,,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,stale,stale,frozen,public_entry_recovery_banner,RRD_TELEPHONY_CAPTURE_RECOVERY,RRD_PATIENT_PUBLIC_PLACEHOLDER,RRD_TELEPHONY_CAPTURE_RECOVERY,RRD_TELEPHONY_CAPTURE_RECOVERY,telephony_resume_required,not_applicable,FOLLOW_ON_DEPENDENCY_CONTENT_AUDSURF_PATIENT_PUBLIC_ENTRY_V1|GAP_ROUTE_CACHE_OR_CHANNEL_BINDING_RF_INTAKE_TELEPHONY_CAPTURE_LIVE_CHANNEL_ABSENT,blueprint-init.md#2. Core product surfaces|blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#0.2 Continuity key and shell law; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/blueprint-init.md#2. Core product surfaces; docs/architecture/11_gateway_surface_and_runtime_topology_baseline.md#Gateway Surface Matrix; data/analysis/tenant_isolation_matrix.csv#TIM_PUBLIC_PRE_IDENTITY|blueprint/blueprint-init.md#2. Core product surfaces|blueprint/platform-frontend-blueprint.md#Browser boundary and BFF law|blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest|data/analysis/build_provenance_manifest.json|data/analysis/design_contract_publication_bundles.json|data/analysis/frontend_contract_manifests.json|data/analysis/gateway_bff_surfaces.json|data/analysis/gateway_bff_surfaces.json#gws_patient_intake_phone|data/analysis/gateway_bff_surfaces.json#gws_patient_intake_web|data/analysis/release_contract_verification_matrix.json|data/analysis/release_publication_parity_rules.json|data/analysis/runtime_topology_manifest.json|data/analysis/tenant_isolation_matrix.csv#TIM_PUBLIC_PRE_IDENTITY|docs/architecture/11_gateway_surface_and_runtime_topology_baseline.md#Gateway Surface Matrix|phase-0-the-foundation-protocol.md#0.2 Continuity key and shell law|phase-0-the-foundation-protocol.md#12.1 Mandatory audience tiers|platform-runtime-and-release-blueprint.md#GatewayBffSurface
BRP_096_CI_PREVIEW_RF_OPERATIONS_BOARD_V1,ci-preview,rf_operations_board,"/ops/overview, /ops/queues, /ops/capacity, /ops/dependencies, /ops/audit, /ops/assurance, /ops/incidents, /ops/resilience",audsurf_operations_console,gws_operations_board,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,CP_OPERATIONS_WATCH_NO_SHARED_CACHE,,LCC_050_RF_OPERATIONS_BOARD_V1,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,read_only,stale,stale,frozen,operations_diagnostic_ribbon,RRD_OPERATIONS_DIAGNOSTIC_ONLY,RRD_OPERATIONS_DIAGNOSTIC_ONLY,RRD_OPERATIONS_DIAGNOSTIC_ONLY,RRD_OPERATIONS_BOARD_FROZEN,operations_last_safe_diagnostic,GAP_RESOLUTION_RECONNECT_POLICY_OPERATIONS_WS_V1,FOLLOW_ON_DEPENDENCY_CONTENT_AUDSURF_OPERATIONS_CONSOLE_V1|GAP_RESOLUTION_RECONNECT_POLICY_OPERATIONS_WS_V1,blueprint/forensic-audit-findings.md#Finding 96|blueprint/operations-console-frontend-blueprint.md#Canonical route family|blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest|blueprint/platform-runtime-and-release-blueprint.md#LiveUpdateChannelContract|data/analysis/build_provenance_manifest.json|data/analysis/design_contract_publication_bundles.json|data/analysis/frontend_contract_manifests.json|data/analysis/gateway_bff_surfaces.json|data/analysis/gateway_bff_surfaces.json#gws_operations_board|data/analysis/gateway_bff_surfaces.json#gws_operations_drilldown|data/analysis/release_contract_verification_matrix.json|data/analysis/release_publication_parity_rules.json|data/analysis/runtime_topology_manifest.json|data/analysis/tenant_isolation_matrix.csv#TIM_OPERATIONS_MULTI_TENANT|operations-console-frontend-blueprint.md#Calm board posture and briefing artifacts|operations-console-frontend-blueprint.md#Canonical route family|operations-console-frontend-blueprint.md#Canonical route family; platform-frontend-blueprint.md#Operations Console specialization; operations-console-frontend-blueprint.md#Calm board posture and briefing artifacts; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/operations-console-frontend-blueprint.md#Canonical route family; blueprint/forensic-audit-findings.md#Finding 96; data/analysis/tenant_isolation_matrix.csv#TIM_OPERATIONS_MULTI_TENANT|operations-console-frontend-blueprint.md#Restore reporting and board-frame discipline|platform-frontend-blueprint.md#Operations Console specialization|platform-runtime-and-release-blueprint.md#GatewayBffSurface
BRP_096_CI_PREVIEW_RF_OPERATIONS_DRILLDOWN_V1,ci-preview,rf_operations_drilldown,"/ops/:opsLens/investigations/:opsRouteIntentId, /interventions/:opsRouteIntentId, /compare/:opsRouteIntentId, /health/:opsRouteIntentId",audsurf_operations_console,gws_operations_drilldown,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,CP_OPERATIONS_CONTROL_EPHEMERAL,,LCC_050_RF_OPERATIONS_DRILLDOWN_V1,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,read_only,stale,stale,frozen,operations_diagnostic_ribbon,RRD_OPERATIONS_DIAGNOSTIC_ONLY,RRD_OPERATIONS_DIAGNOSTIC_ONLY,RRD_OPERATIONS_DIAGNOSTIC_ONLY,RRD_OPERATIONS_BOARD_FROZEN,operations_last_safe_diagnostic,GAP_RESOLUTION_RECONNECT_POLICY_OPERATIONS_WS_V1,FOLLOW_ON_DEPENDENCY_CONTENT_AUDSURF_OPERATIONS_CONSOLE_V1|GAP_RESOLUTION_RECONNECT_POLICY_OPERATIONS_WS_V1,blueprint/forensic-audit-findings.md#Finding 96|blueprint/operations-console-frontend-blueprint.md#Canonical route family|blueprint/operations-console-frontend-blueprint.md#Restore reporting and board-frame discipline|blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest|blueprint/platform-runtime-and-release-blueprint.md#LiveUpdateChannelContract|data/analysis/build_provenance_manifest.json|data/analysis/design_contract_publication_bundles.json|data/analysis/frontend_contract_manifests.json|data/analysis/gateway_bff_surfaces.json|data/analysis/gateway_bff_surfaces.json#gws_operations_board|data/analysis/gateway_bff_surfaces.json#gws_operations_drilldown|data/analysis/release_contract_verification_matrix.json|data/analysis/release_publication_parity_rules.json|data/analysis/runtime_topology_manifest.json|data/analysis/tenant_isolation_matrix.csv#TIM_OPERATIONS_MULTI_TENANT|operations-console-frontend-blueprint.md#Canonical route family|operations-console-frontend-blueprint.md#Canonical route family; operations-console-frontend-blueprint.md#Restore reporting and board-frame discipline; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/operations-console-frontend-blueprint.md#Restore reporting and board-frame discipline; blueprint/forensic-audit-findings.md#Finding 96; data/analysis/tenant_isolation_matrix.csv#TIM_OPERATIONS_MULTI_TENANT|operations-console-frontend-blueprint.md#Restore reporting and board-frame discipline|platform-frontend-blueprint.md#Operations Console specialization|platform-runtime-and-release-blueprint.md#GatewayBffSurface
BRP_096_CI_PREVIEW_RF_PATIENT_APPOINTMENTS_V1,ci-preview,rf_patient_appointments,Appointments,audsurf_patient_authenticated_portal,gws_patient_appointments,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,CP_PATIENT_BOOKING_PRIVATE_EPHEMERAL,,LCC_050_RF_PATIENT_APPOINTMENTS_V1,read_only,read_only,recovery_only,read_only,recovery_only,read_only,read_only,recovery_only,read_only,stale,stale,frozen,patient_status_strip,RRD_PATIENT_APPOINTMENT_READ_ONLY,RRD_PATIENT_APPOINTMENT_READ_ONLY,RRD_BOOKING_CONFIRMATION_PLACEHOLDER,RRD_BOOKING_CONFIRMATION_PLACEHOLDER,booking_anchor_read_only,GAP_RESOLUTION_RECONNECT_POLICY_PATIENT_SSE_V1,FOLLOW_ON_DEPENDENCY_CONTENT_AUDSURF_PATIENT_AUTHENTICATED_PORTAL_V1|GAP_RESOLUTION_RECONNECT_POLICY_PATIENT_SSE_V1,"blueprint/forensic-audit-findings.md#Finding 97|blueprint/patient-account-and-communications-blueprint.md#Patient home contract|blueprint/patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology|blueprint/phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm|blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest|blueprint/platform-runtime-and-release-blueprint.md#LiveUpdateChannelContract|callback-and-clinician-messaging-loop.md|data/analysis/build_provenance_manifest.json|data/analysis/design_contract_publication_bundles.json|data/analysis/frontend_contract_manifests.json|data/analysis/gateway_bff_surfaces.json|data/analysis/gateway_bff_surfaces.json#gws_patient_home|data/analysis/release_contract_verification_matrix.json|data/analysis/release_publication_parity_rules.json|data/analysis/runtime_topology_manifest.json|data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE|patient-account-and-communications-blueprint.md#Core projections|patient-account-and-communications-blueprint.md#Patient home contract|patient-account-and-communications-blueprint.md#Request detail contract|patient-account-and-communications-blueprint.md#Requests browsing contract|patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology|patient-portal-experience-architecture-blueprint.md#Primary navigation model|phase-0-the-foundation-protocol.md#5.5 Unified care conversation algorithm|phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm|phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm|phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm; patient-account-and-communications-blueprint.md#Core projections; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm; blueprint/forensic-audit-findings.md#Finding 97; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE|platform-runtime-and-release-blueprint.md#GatewayBffSurface"
BRP_096_CI_PREVIEW_RF_PATIENT_EMBEDDED_CHANNEL_V1,ci-preview,rf_patient_embedded_channel,Patient embedded channel parity,audsurf_patient_transaction_recovery,gws_patient_embedded_shell,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,CP_EMBEDDED_HOST_SCOPED_EPHEMERAL,,LCC_050_RF_PATIENT_EMBEDDED_CHANNEL_V1,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,recovery_only,stale,stale,frozen,embedded_recovery_banner,RRD_EMBEDDED_READ_ONLY,RRD_EMBEDDED_READ_ONLY,RRD_EMBEDDED_HANDOFF_ONLY,RRD_EMBEDDED_HANDOFF_ONLY,embedded_handoff_only,GAP_RESOLUTION_RECONNECT_POLICY_EMBEDDED_SSE_V1,FOLLOW_ON_DEPENDENCY_CONTENT_AUDSURF_PATIENT_TRANSACTION_RECOVERY_V1|GAP_RESOLUTION_RECONNECT_POLICY_EMBEDDED_SSE_V1,"blueprint/forensic-audit-findings.md#Finding 90|blueprint/patient-account-and-communications-blueprint.md#Patient audience coverage contract|blueprint/patient-portal-experience-architecture-blueprint.md#Control priorities|blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest|blueprint/platform-runtime-and-release-blueprint.md#LiveUpdateChannelContract|data/analysis/build_provenance_manifest.json|data/analysis/design_contract_publication_bundles.json|data/analysis/frontend_contract_manifests.json|data/analysis/gateway_bff_surfaces.json|data/analysis/gateway_bff_surfaces.json#gws_patient_embedded_shell|data/analysis/gateway_bff_surfaces.json#gws_patient_secure_link_recovery|data/analysis/release_contract_verification_matrix.json|data/analysis/release_publication_parity_rules.json|data/analysis/runtime_topology_manifest.json|data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_EMBEDDED|patient-account-and-communications-blueprint.md#Patient audience coverage contract|patient-portal-experience-architecture-blueprint.md#Control priorities|patient-portal-experience-architecture-blueprint.md#Control priorities; phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/patient-portal-experience-architecture-blueprint.md#Control priorities; blueprint/forensic-audit-findings.md#Finding 90; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_EMBEDDED|phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm|platform-runtime-and-release-blueprint.md#GatewayBffSurface"
BRP_096_CI_PREVIEW_RF_PATIENT_HEALTH_RECORD_V1,ci-preview,rf_patient_health_record,Health record,audsurf_patient_authenticated_portal,gws_patient_health_record,rpb::ci-preview::authoritative,rpp::ci-preview::authoritative,CP_PATIENT_ARTIFACT_SUMMARY_NO_STORE,,,read_only,read_only,recovery_only,read_only,recovery_only,read_only,read_only,recovery_only,read_only,stale,stale,frozen,patient_status_strip,RRD_PATIENT_RECORD_SUMMARY_ONLY,RRD_PATIENT_RECORD_SUMMARY_ONLY,RRD_ARTIFACT_HANDOFF_REQUIRED,RRD_ARTIFACT_HANDOFF_REQUIRED,artifact_summary_only,not_applicable,FOLLOW_ON_DEPENDENCY_CONTENT_AUDSURF_PATIENT_AUTHENTICATED_PORTAL_V1|GAP_ROUTE_CACHE_OR_CHANNEL_BINDING_RF_PATIENT_HEALTH_RECORD_LIVE_CHANNEL_ABSENT,"blueprint/forensic-audit-findings.md#Finding 97|blueprint/patient-account-and-communications-blueprint.md#Patient home contract|blueprint/patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology|blueprint/phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm|blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest|callback-and-clinician-messaging-loop.md|data/analysis/build_provenance_manifest.json|data/analysis/design_contract_publication_bundles.json|data/analysis/frontend_contract_manifests.json|data/analysis/gateway_bff_surfaces.json|data/analysis/gateway_bff_surfaces.json#gws_patient_home|data/analysis/release_contract_verification_matrix.json|data/analysis/release_publication_parity_rules.json|data/analysis/runtime_topology_manifest.json|data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE|patient-account-and-communications-blueprint.md#Core projections|patient-account-and-communications-blueprint.md#Patient home contract|patient-account-and-communications-blueprint.md#Request detail contract|patient-account-and-communications-blueprint.md#Requests browsing contract|patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology|patient-portal-experience-architecture-blueprint.md#Primary navigation model|phase-0-the-foundation-protocol.md#5.5 Unified care conversation algorithm|phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm|phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm; patient-portal-experience-architecture-blueprint.md#Primary navigation model; patient-account-and-communications-blueprint.md#Core projections; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm; blueprint/forensic-audit-findings.md#Finding 97; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE|phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm|platform-runtime-and-release-blueprint.md#GatewayBffSurface"
