surface_id,surface_name,audience,audience_surface_ref,route_families,served_bounded_context_refs,mutating_bounded_context_refs,required_context_boundary_refs,entry_workload_family_ref,downstream_workload_family_refs,trust_zone_boundary_refs,tenant_isolation_mode,session_policy_ref,cache_policy_ref,recovery_disposition_profile_ref,recovery_disposition_refs,required_assurance_slice_refs,surface_authority_tuple_hash,source_refs
gws_patient_intake_web,Patient intake entry gateway,patient_public,surf_patient_intake_web,rf_intake_self_service,intake_safety; identity_access,intake_safety,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,wf_shell_delivery_published_gateway,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,shared_public_pre_tenant,SP_PATIENT_PUBLIC_EPHEMERAL,CP_PUBLIC_NO_PERSISTED_PHI,rdp::gws_patient_intake_web,RRD_PATIENT_PUBLIC_PLACEHOLDER; RRD_PATIENT_INTAKE_RECOVERY,ass_release_publication; ass_public_intake_safety,abb437e1df0227a5,blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#12.1 Mandatory audience tiers; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/blueprint-init.md#2. Core product surfaces; blueprint/forensic-audit-findings.md#Finding 97; data/analysis/tenant_isolation_matrix.csv#TIM_PUBLIC_PRE_IDENTITY
gws_patient_intake_phone,Telephony / IVR intake capture gateway,patient_public,surf_patient_intake_phone,rf_intake_telephony_capture,intake_safety; communications,intake_safety; communications,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,wf_shell_delivery_published_gateway,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,shared_public_pre_tenant,SP_TELEPHONY_CAPTURE_PROXY,CP_CONSTRAINED_CAPTURE_NO_BROWSER_CACHE,rdp::gws_patient_intake_phone,RRD_PATIENT_PUBLIC_PLACEHOLDER; RRD_TELEPHONY_CAPTURE_RECOVERY,ass_release_publication; ass_public_intake_safety,e191f0785f2f1a21,blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#0.2 Continuity key and shell law; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/blueprint-init.md#2. Core product surfaces; docs/architecture/11_gateway_surface_and_runtime_topology_baseline.md#Gateway Surface Matrix; data/analysis/tenant_isolation_matrix.csv#TIM_PUBLIC_PRE_IDENTITY
gws_patient_secure_link_recovery,Secure-link recovery and claim resume gateway,patient_grant_scoped,surf_patient_secure_link_recovery,rf_patient_secure_link_recovery,identity_access; patient_experience,identity_access,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,wf_shell_delivery_published_gateway,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,tenant_scoped_lineage_grant,SP_GRANT_SCOPED_RECOVERY,CP_GRANT_SCOPED_EPHEMERAL,rdp::gws_patient_secure_link_recovery,RRD_SECURE_LINK_RECOVERY_ONLY; RRD_IDENTITY_HOLD_PLACEHOLDER,ass_release_publication; ass_grant_redemption_scope,f61a692f0226b0c9,"patient-account-and-communications-blueprint.md#Patient audience coverage contract; phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm; blueprint/forensic-audit-findings.md#Finding 91; data/analysis/tenant_isolation_matrix.csv#TIM_GRANT_SCOPED_RECOVERY"
gws_patient_appointments,Appointments and manage gateway,patient_authenticated,surf_patient_appointments,rf_patient_appointments,patient_experience; booking; hub_coordination,booking; hub_coordination,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,wf_shell_delivery_published_gateway,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,tenant_scoped_subject,SP_PATIENT_AUTHENTICATED_SHELL,CP_PATIENT_BOOKING_PRIVATE_EPHEMERAL,rdp::gws_patient_appointments,RRD_PATIENT_APPOINTMENT_READ_ONLY; RRD_BOOKING_CONFIRMATION_PLACEHOLDER,ass_release_publication; ass_booking_confirmation_trust,4f9a9dcce20ac4e3,"phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm; patient-account-and-communications-blueprint.md#Core projections; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm; blueprint/forensic-audit-findings.md#Finding 97; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE"
gws_patient_embedded_shell,Embedded patient shell reuse gateway,patient_embedded_authenticated,surf_patient_embedded_shell,rf_patient_embedded_channel,patient_experience; identity_access,identity_access,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,wf_shell_delivery_published_gateway,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,tenant_scoped_subject_embedded,SP_PATIENT_EMBEDDED_HOST_BOUND,CP_EMBEDDED_HOST_SCOPED_EPHEMERAL,rdp::gws_patient_embedded_shell,RRD_EMBEDDED_HANDOFF_ONLY; RRD_EMBEDDED_READ_ONLY,ass_release_publication; ass_embedded_channel_trust,5bb55c7ede008dda,"patient-portal-experience-architecture-blueprint.md#Control priorities; phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/patient-portal-experience-architecture-blueprint.md#Control priorities; blueprint/forensic-audit-findings.md#Finding 90; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_EMBEDDED"
gws_patient_messages,Messages and callback thread gateway,patient_authenticated,surf_patient_messages,rf_patient_messages,patient_experience; communications,communications,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,wf_shell_delivery_published_gateway,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,tenant_scoped_subject,SP_PATIENT_AUTHENTICATED_SHELL,CP_PATIENT_THREAD_PRIVATE_EPHEMERAL,rdp::gws_patient_messages,RRD_PATIENT_MESSAGES_READ_ONLY; RRD_CONVERSATION_RECOVERY_ONLY,ass_release_publication; ass_reachability_and_message_trust,023225ea67f7958b,phase-0-the-foundation-protocol.md#5.5 Unified care conversation algorithm; callback-and-clinician-messaging-loop.md; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-0-the-foundation-protocol.md#5.5 Unified care conversation algorithm; blueprint/callback-and-clinician-messaging-loop.md; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE
gws_patient_health_record,Patient health record and documents gateway,patient_authenticated,surf_patient_health_record,rf_patient_health_record,patient_experience,,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS,wf_shell_delivery_published_gateway,wf_projection_read_models,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,tenant_scoped_subject,SP_PATIENT_AUTHENTICATED_SHELL,CP_PATIENT_ARTIFACT_SUMMARY_NO_STORE,rdp::gws_patient_health_record,RRD_PATIENT_RECORD_SUMMARY_ONLY; RRD_ARTIFACT_HANDOFF_REQUIRED,ass_release_publication; ass_artifact_parity,4fa1bf0187361060,phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm; patient-account-and-communications-blueprint.md#Core projections; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm; blueprint/forensic-audit-findings.md#Finding 97; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE
gws_patient_home,Patient home and spotlight gateway,patient_authenticated,surf_patient_home,rf_patient_home,patient_experience,,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS,wf_shell_delivery_published_gateway,wf_projection_read_models,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,tenant_scoped_subject,SP_PATIENT_AUTHENTICATED_SHELL,CP_PATIENT_SUMMARY_PRIVATE_SHORT,rdp::gws_patient_home,RRD_PATIENT_HOME_READ_ONLY; RRD_PATIENT_HOME_PLACEHOLDER,ass_release_publication; ass_patient_shell_trust,d8f3fd64ed461847,patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology; patient-account-and-communications-blueprint.md#Patient home contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology; blueprint/forensic-audit-findings.md#Finding 97; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE
gws_patient_requests,Request list and detail gateway,patient_authenticated,surf_patient_requests,rf_patient_requests,patient_experience; intake_safety; communications; booking; hub_coordination; pharmacy,intake_safety; communications; booking; hub_coordination; pharmacy,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,wf_shell_delivery_published_gateway,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,tenant_scoped_subject,SP_PATIENT_AUTHENTICATED_SHELL,CP_PATIENT_ROUTE_INTENT_PRIVATE,rdp::gws_patient_requests,RRD_PATIENT_REQUEST_RECOVERY_ONLY; RRD_PATIENT_REQUEST_READ_ONLY,ass_release_publication; ass_patient_route_intent,f2f5bee11afec238,patient-account-and-communications-blueprint.md#Requests browsing contract; patient-account-and-communications-blueprint.md#Request detail contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/patient-account-and-communications-blueprint.md#Request detail contract; blueprint/forensic-audit-findings.md#Finding 91; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE
gws_assistive_sidecar,Assistive companion sidecar inside the owning task gateway,assistive_adjunct,surf_assistive_sidecar,rf_staff_workspace_child; rf_assistive_control_shell,triage_workspace,triage_workspace,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,wf_shell_delivery_published_gateway,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,inherited_scope_no_standalone_tenant_widening,SP_ASSISTIVE_ADJUNCT_INHERITED,CP_ASSISTIVE_ADJUNCT_NO_PERSIST,rdp::gws_assistive_sidecar,RRD_ASSISTIVE_READ_ONLY; RRD_ASSISTIVE_SIDECAR_FROZEN,ass_release_publication; ass_assistive_shadow_trust,2bc0c5a98206f9b3,phase-8-the-assistive-layer.md#Control priorities; staff-workspace-interface-architecture.md#Assistive companion presentation profile; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-8-the-assistive-layer.md#Control priorities; blueprint/forensic-audit-findings.md#Finding 91; data/analysis/tenant_isolation_matrix.csv#TIM_ASSISTIVE_ADJUNCT
