boundaryId,surfaceArea,mockNowAllowed,actualLaterOwner,temporaryFallback,closeCondition,riskIfBlurred,artifactRef
MA_209_NHS_LOGIN_AND_SESSION,identity session and patient account entry,Phase 2 simulator-backed session and recovery evidence,live provider onboarding and production release gate,Do not claim credentialled NHS login; use frozen local session fixtures.,"Credentialled NHS login callback, session, logout, and recovery suites pass unchanged.",Patient account routes could imply production identity readiness.,data/analysis/208_phase2_open_items_and_crosscutting_carry_forward.json
MA_209_HOME_SPOTLIGHT,home spotlight and quiet home,Fixture candidate sets and prior portal matrices,par_210,PARALLEL_INTERFACE_GAP_CROSSCUTTING_HOME.json,"210 publishes decision projection, use-window cases, and alias resolution.",Dashboard filler could replace lawful quiet-home decision.,data/analysis/PARALLEL_INTERFACE_GAP_CROSSCUTTING_HOME.json
MA_209_REQUEST_ACTIONS,request list detail and typed patient actions,Canonical request/status fixtures and governed placeholders,par_211,Downstream placeholders; no raw domain posts.,211 publishes request projections and action settlement cases.,Route-local CTAs bypass typed routing and settlement.,data/analysis/209_crosscutting_track_matrix.csv
MA_209_MORE_INFO_CALLBACK_REPAIR,more-info callback reachability contact repair,Fixture callback and reachability states,par_212,PARALLEL_INTERFACE_GAP_CROSSCUTTING_REQUEST_CONTEXT.json,212 publishes blocker-first projection family.,Stale reply or callback controls remain live beside blockers.,data/analysis/PARALLEL_INTERFACE_GAP_CROSSCUTTING_REQUEST_CONTEXT.json
MA_209_RECORDS,records results documents artifact parity,Fixture artifact summaries and source refs,par_213,PARALLEL_INTERFACE_GAP_CROSSCUTTING_RECORDS.json,213 publishes record parity witness and continuity state.,"Charts, previews, or downloads imply source authority they do not have.",data/analysis/PARALLEL_INTERFACE_GAP_CROSSCUTTING_RECORDS.json
MA_209_COMMUNICATIONS,patient communications timeline visibility and receipts,Simulator-backed message and callback event evidence,par_214,PARALLEL_INTERFACE_GAP_CROSSCUTTING_COMMUNICATIONS.json,"214 publishes visibility, chronology, receipt, and settlement parity.","Preview leakage, hidden work, or contradictory receipts.",data/analysis/PARALLEL_INTERFACE_GAP_CROSSCUTTING_COMMUNICATIONS.json
MA_209_SUPPORT_LINEAGE,support ticket lineage and subject history,Fixture tickets and masked subject summaries,par_218,PARALLEL_INTERFACE_GAP_CROSSCUTTING_SUPPORT_LINEAGE.json,"218 publishes lineage binding, workspace projection, and disclosure records.",Support local copies become a second system of record.,data/analysis/PARALLEL_INTERFACE_GAP_CROSSCUTTING_SUPPORT_LINEAGE.json
MA_209_SUPPORT_REPAIR_REPLAY,controlled resend delivery repair and replay,"Simulator-backed delivery, repair, and replay fixtures",par_219,PARALLEL_INTERFACE_GAP_CROSSCUTTING_SUPPORT_REPAIR_REPLAY.json,"219 publishes idempotent repair, replay freeze, release, restore, and fallback evidence.",Duplicate external side effects or stale live restore.,data/analysis/PARALLEL_INTERFACE_GAP_CROSSCUTTING_SUPPORT_REPAIR_REPLAY.json
MA_209_SUPPORT_FRONTEND,support entry ticket shell masking knowledge observe replay,Fixture projections and browser proof,par_220;par_221;par_222,PARALLEL_INTERFACE_GAP_CROSSCUTTING_SUPPORT_FRONTEND.json,"220-222 publish Playwright-proven entry, ticket, masking, fallback, knowledge, observe, and replay surfaces.",Operators mistake placeholder or stale context for writable authority.,data/analysis/PARALLEL_INTERFACE_GAP_CROSSCUTTING_SUPPORT_FRONTEND.json
MA_209_PRODUCTION_ASSURANCE,clinical safety DSPT live rollback operational acceptance,Board and local suite evidence only,future production release gate,Keep as go-with-constraints carry-forward from 208.,"Production gate links clinical-safety, DSPT, rollback, live incidents, and deployer acceptance.",Crosscutting baseline could be misread as production signoff.,data/analysis/208_phase2_open_items_and_crosscutting_carry_forward.json
