track_id,track_title,phase_ref,baseline_scope,milestone_ref,task_ranges,track_class,long_lead_state,dependency_refs,notes,source_task_refs,task_span_label,first_task_ref,last_task_ref
TRK_P0_BACKEND_DOMAIN_KERNEL,Phase 0 backend domain kernel,phase_0,current,MS_P0_0B_DOMAIN_KERNEL,"[(62, 82)]",backend,near_path,[],Canonical aggregate and coordinator buildout.,"['par_062', 'par_063', 'par_064', 'par_065', 'par_066', 'par_067', 'par_068', 'par_069', 'par_070', 'par_071', 'par_072', 'par_073', 'par_074', 'par_075', 'par_076', 'par_077', 'par_078', 'par_079', 'par_080', 'par_081', 'par_082']",par_062 -> par_082,par_062,par_082
TRK_P0_RUNTIME_RELEASE,Phase 0 runtime and release substrate,phase_0,current,MS_P0_0C_RUNTIME_PUBLICATION_SUBSTRATE,"[(83, 94)]",runtime,near_path,[],"Runtime publication, release tuple, and topology work.","['par_083', 'par_084', 'par_085', 'par_086', 'par_087', 'par_088', 'par_089', 'par_090', 'par_091', 'par_092', 'par_093', 'par_094']",par_083 -> par_094,par_083,par_094
TRK_P0_RUNTIME_CONTROL,Phase 0 control-plane hardening,phase_0,current,MS_P0_0D_CONTROL_GOVERNORS_AND_MUTATION_LAW,"[(95, 102)]",runtime,near_path,[],"Control-plane governance, mutation, trust, and resilience substrate.","['par_095', 'par_096', 'par_097', 'par_098', 'par_099', 'par_100', 'par_101', 'par_102']",par_095 -> par_102,par_095,par_102
TRK_P0_FRONTEND_CONTRACTS,Phase 0 frontend contract and design kernel,phase_0,current,MS_P0_0E_VERIFICATION_SIMULATORS_AND_FRONTEND_CONTRACTS,"[(103, 114)]",frontend,near_path,[],"Design-token, contract-manifest, and shell contract publication.","['par_103', 'par_104', 'par_105', 'par_106', 'par_107', 'par_108', 'par_109', 'par_110', 'par_111', 'par_112', 'par_113', 'par_114']",par_103 -> par_114,par_103,par_114
TRK_P0_FRONTEND_SHELLS,Phase 0 seed shells and mock projections,phase_0,current,MS_P0_0F_SEED_SHELLS_AND_SYNTHETIC_FLOW,"[(115, 120)]",frontend,near_path,[],Persistent shells and seed routes for every audience family.,"['par_115', 'par_116', 'par_117', 'par_118', 'par_119', 'par_120']",par_115 -> par_120,par_115,par_120
TRK_P0_ASSURANCE_DCB0129,DCB0129 safety case and hazard log,phase_0,current,MS_P0_0G_DCB0129_SAFETY_CASE,"[(121, 121)]",assurance,on_path,['dep_nhs_assurance_and_standards_sources'],Named long-lead safety case track.,['par_121'],par_121,par_121,par_121
TRK_P0_ASSURANCE_DSPT,DSPT readiness evidence plan,phase_0,current,MS_P0_0G_DSPT_READINESS,"[(122, 122)]",assurance,on_path,['dep_nhs_assurance_and_standards_sources'],Named long-lead privacy and security readiness track.,['par_122'],par_122,par_122,par_122
TRK_P0_ASSURANCE_IM1,IM1 prerequisites and SCAL readiness,phase_0,current,MS_P0_0G_IM1_SCAL_ASSURANCE,"[(123, 123)]",assurance,on_path,['dep_im1_pairing_programme'],Named long-lead interoperability and approval track.,['par_123'],par_123,par_123,par_123
TRK_P0_ASSURANCE_NHS_LOGIN,NHS login onboarding evidence pack,phase_0,current,MS_P0_0G_NHS_LOGIN_ONBOARDING_EVIDENCE,"[(124, 124)]",assurance,on_path,['dep_nhs_login_rail'],Named long-lead identity approval track.,['par_124'],par_124,par_124,par_124
TRK_P0_ASSURANCE_PRIVACY,Clinical risk cadence and DPIA backlog,phase_0,current,MS_P0_0G_CLINICAL_AND_PRIVACY_REVIEW_CADENCE,"[(125, 126)]",assurance,near_path,[],Parallel review cadence and privacy threat modeling.,"['par_125', 'par_126']",par_125 -> par_126,par_125,par_126
