scenario,entry_param,route_family,visible_title,role,primary_action,disposition,shell_handoff,redacts_url,trace
clean_entry,landing,request_status,Open request status,status,Continue with NHS login,entry_ready,false,true,388-clean-entry-trace.zip
opening_login,opening,request_status,Opening your NHS login,status,Waiting for NHS login,opening,false,true,388-opening-trace.zip
confirming_details,confirming,request_status,Confirming your details,status,Waiting for confirmation,confirming,false,true,388-confirming-trace.zip
successful_handoff,success,request_status,You are signed in,status,Continue to request status,shell_handoff,true,true,388-successful-shell-handoff-trace.zip
silent_reauth_success,reauth_success,patient_message_thread,You are still signed in,status,Return to this journey,shell_handoff,true,true,388-silent-reauth-shell-handoff-trace.zip
consent_denial,consent_denied,request_status,You chose not to use your NHS login,alert,Back to NHS App,consent_declined,false,true,388-consent-denied-trace.zip
session_expiry,expired,request_status,Your session has ended,alert,Sign in again,session_expired,false,true,388-expired-session-trace.zip
wrong_context,wrong_context,appointment_manage,We could not sign you in here,alert,Back to NHS App,wrong_context,false,true,388-wrong-context-trace.zip
safe_reentry,safe_reentry,record_letter_summary,Please go back to the NHS App and try again,alert,Back to NHS App,host_retry,false,true,388-safe-reentry-trace.zip
silent_failure,failure,request_status,We could not sign you in here,alert,Back to NHS App,silent_failure,false,true,388-silent-failure-trace.zip
