gateway_surface_id,gateway_surface_name,audience_surface_id,surface_name,route_family_id,audience_tier,purpose_of_use,shell_type,scope_posture,browser_workload_family_code,session_policy_ref,tenant_scope_mode,tenant_isolation_mode,blast_radius_mode,audit_posture,notes,downstream_family_refs,trust_zone_boundary_refs,acting_scope_profile_refs,recovery_disposition_refs,source_refs
gws_patient_intake_web,Patient intake entry gateway,surf_patient_intake_web,Patient intake entry,rf_intake_self_service,patient_public,public_status,patient,baseline,shell_delivery,SP_PATIENT_PUBLIC_EPHEMERAL,public_pre_identity,shared_public_pre_tenant,pending_subject_lineage_only,submission_ingress_and_promotion_chain,"Web intake remains in the same lineage until claim or promotion, so the gateway stays narrow and intake-specific.",projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_PUBLIC_INTAKE,RRD_PATIENT_PUBLIC_PLACEHOLDER; RRD_PATIENT_INTAKE_RECOVERY,blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#12.1 Mandatory audience tiers; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_patient_intake_phone,Telephony / IVR intake capture gateway,surf_patient_intake_phone,Telephony / IVR intake capture,rf_intake_telephony_capture,patient_public,public_status,patient,baseline,shell_delivery,SP_TELEPHONY_CAPTURE_PROXY,public_pre_identity,shared_public_pre_tenant,pending_subject_lineage_only,telephony_ingress_parity_and_promotion_chain,Telephony capture shares the intake lineage but not the web gateway contract because session policy and dependency posture differ.,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_PUBLIC_INTAKE,RRD_PATIENT_PUBLIC_PLACEHOLDER; RRD_TELEPHONY_CAPTURE_RECOVERY,blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#0.2 Continuity key and shell law; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_patient_secure_link_recovery,Secure-link recovery and claim resume gateway,surf_patient_secure_link_recovery,Secure-link recovery and claim resume,rf_patient_secure_link_recovery,patient_grant_scoped,secure_link_recovery,patient,baseline,shell_delivery,SP_GRANT_SCOPED_RECOVERY,grant_scoped_subject,tenant_scoped_lineage_grant,single_subject_single_lineage,grant_redemption_and_runtime_binding_audit,Secure-link recovery is deliberately isolated from the broader authenticated patient gateway posture.,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_GRANT_RECOVERY,RRD_SECURE_LINK_RECOVERY_ONLY; RRD_IDENTITY_HOLD_PLACEHOLDER,"patient-account-and-communications-blueprint.md#Patient audience coverage contract; phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm; platform-runtime-and-release-blueprint.md#GatewayBffSurface"
gws_patient_home,Patient home and spotlight gateway,surf_patient_home,Patient home and spotlight,rf_patient_home,patient_authenticated,authenticated_self_service,patient,baseline,shell_delivery,SP_PATIENT_AUTHENTICATED_SHELL,tenant_subject_self_service,tenant_scoped_subject,single_tenant_subject_projection,portal_navigation_and_runtime_binding_audit,Home is projection-only because it orients and launches follow-up work but does not itself settle commands.,projection,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_AUTHENTICATED,RRD_PATIENT_HOME_READ_ONLY; RRD_PATIENT_HOME_PLACEHOLDER,patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology; patient-account-and-communications-blueprint.md#Patient home contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_patient_requests,Request list and detail gateway,surf_patient_requests,Request list and detail,rf_patient_requests,patient_authenticated,authenticated_self_service,patient,baseline,shell_delivery,SP_PATIENT_AUTHENTICATED_SHELL,tenant_subject_self_service,tenant_scoped_subject,single_tenant_subject_request_family,request_route_intent_and_settlement_audit,"Request detail, more-info reply, and child-work entry require a narrower gateway than patient home.",projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_AUTHENTICATED,RRD_PATIENT_REQUEST_RECOVERY_ONLY; RRD_PATIENT_REQUEST_READ_ONLY,patient-account-and-communications-blueprint.md#Requests browsing contract; patient-account-and-communications-blueprint.md#Request detail contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_patient_appointments,Appointments and manage gateway,surf_patient_appointments,Appointments and manage,rf_patient_appointments,patient_authenticated,authenticated_self_service,patient,baseline,shell_delivery,SP_PATIENT_AUTHENTICATED_SHELL,tenant_subject_self_service,tenant_scoped_subject,single_tenant_subject_booking_family,booking_route_intent_and_settlement_audit,Booking manage and confirmation truth stay distinct from general request detail and require their own recovery posture.,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_AUTHENTICATED,RRD_PATIENT_APPOINTMENT_READ_ONLY; RRD_BOOKING_CONFIRMATION_PLACEHOLDER,"phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm; patient-account-and-communications-blueprint.md#Core projections; platform-runtime-and-release-blueprint.md#GatewayBffSurface"
gws_patient_health_record,Patient health record and documents gateway,surf_patient_health_record,Patient health record and documents,rf_patient_health_record,patient_authenticated,authenticated_self_service,patient,baseline,shell_delivery,SP_PATIENT_AUTHENTICATED_SHELL,tenant_subject_self_service,tenant_scoped_subject,single_tenant_subject_record_projection,artifact_mode_and_download_audit,Record viewing is projection- and artifact-governed and never grants broad patient mutation access.,projection,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_AUTHENTICATED,RRD_PATIENT_RECORD_SUMMARY_ONLY; RRD_ARTIFACT_HANDOFF_REQUIRED,phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm; patient-account-and-communications-blueprint.md#Core projections; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_patient_messages,Messages and callback thread gateway,surf_patient_messages,Messages and callback thread,rf_patient_messages,patient_authenticated,authenticated_self_service,patient,baseline,shell_delivery,SP_PATIENT_AUTHENTICATED_SHELL,tenant_subject_self_service,tenant_scoped_subject,single_tenant_subject_message_thread,message_visibility_and_settlement_audit,"Conversation reply, callback repair, and clinician-message posture stay inside a message-specific gateway contract.",projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_AUTHENTICATED,RRD_PATIENT_MESSAGES_READ_ONLY; RRD_CONVERSATION_RECOVERY_ONLY,phase-0-the-foundation-protocol.md#5.5 Unified care conversation algorithm; callback-and-clinician-messaging-loop.md; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_patient_embedded_shell,Embedded patient shell reuse gateway,surf_patient_embedded_shell,Embedded patient shell reuse,rf_patient_embedded_channel,patient_embedded_authenticated,embedded_authenticated,patient,deferred,shell_delivery,SP_PATIENT_EMBEDDED_HOST_BOUND,tenant_subject_embedded,tenant_scoped_subject_embedded,single_tenant_subject_embedded_channel,embedded_bridge_and_manifest_audit,Deferred Phase 7 channel mapping exists now so future embedded work cannot silently widen the main patient gateway.,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_EMBEDDED,RRD_EMBEDDED_HANDOFF_ONLY; RRD_EMBEDDED_READ_ONLY,"patient-portal-experience-architecture-blueprint.md#Control priorities; phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm; platform-runtime-and-release-blueprint.md#GatewayBffSurface"
gws_clinician_workspace,Clinical Workspace queue and task canvas gateway,surf_clinician_workspace,Clinical Workspace queue and task canvas,rf_staff_workspace,origin_practice_clinical,operational_execution,staff,baseline,shell_delivery,SP_STAFF_SSO_SINGLE_ORG,tenant_org_scoped_staff,tenant_org_partition,single_tenant_single_org_operational_slice,workspace_scope_tuple_and_mutation_audit,Clinical workspace command authority remains single-organisation unless hub or governance tuple changes prove otherwise.,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_STAFF_SINGLE_ORG,RRD_WORKSPACE_READ_ONLY; RRD_WORKSPACE_QUEUE_PLACEHOLDER,staff-workspace-interface-architecture.md#Route family; staff-operations-and-support-blueprint.md#Clinical Workspace specialization; platform-runtime-and-release-blueprint.md#GatewayBffSurface
