request_type,question_key,normalization_target,request_shape_path,summary_renderer_ref,safety_relevance,supersession_policy,dedupe_contribution
Admin,admin.deadlineDate,structuredAnswers.admin.deadlineDate,admin.deadlineDate,summary.admin.deadline_date.v1,triage_relevant,SUP_140_BRANCH_SUPERSEDE_V1,typed_field
Admin,admin.deadlineKnown,structuredAnswers.admin.deadlineState,admin.deadlineState,summary.admin.deadline_known.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,typed_field
Admin,admin.details,structuredAnswers.admin.patientNarrative,admin.patientNarrative,summary.admin.details.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,narrative_or_text
Admin,admin.referenceAvailable,structuredAnswers.admin.referenceState,admin.referenceState,summary.admin.reference_available.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,typed_field
Admin,admin.referenceNumber,structuredAnswers.admin.referenceNumber,admin.referenceNumber,summary.admin.reference_number.v1,triage_relevant,SUP_140_BRANCH_SUPERSEDE_V1,narrative_or_text
Admin,admin.supportType,structuredAnswers.admin.supportTypeCode,admin.supportTypeCode,summary.admin.support_type.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,typed_field
Meds,meds.issueDescription,structuredAnswers.meds.issueNarrative,meds.issueNarrative,summary.meds.issue_description.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,narrative_or_text
Meds,meds.medicineName,structuredAnswers.meds.medicineNameText,meds.medicineNameText,summary.meds.medicine_name.v1,triage_relevant,SUP_140_BRANCH_SUPERSEDE_V1,narrative_or_text
Meds,meds.nameKnown,structuredAnswers.meds.medicineNameState,meds.medicineNameState,summary.meds.name_unknown_reason.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,typed_field
Meds,meds.nameUnknownReason,structuredAnswers.meds.medicineNameUnknownReason,meds.medicineNameUnknownReason,summary.meds.name_unknown_reason.v1,triage_relevant,SUP_140_BRANCH_SUPERSEDE_V1,typed_field
Meds,meds.queryType,structuredAnswers.meds.queryTypeCode,meds.queryTypeCode,summary.meds.query_type.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,typed_field
Meds,meds.urgency,structuredAnswers.meds.urgencyBand,meds.urgencyBand,summary.meds.urgency.v1,safety_relevant,SUP_140_ALWAYS_ACTIVE_V1,typed_field
Results,results.context,structuredAnswers.results.contextCode,results.contextCode,summary.results.context.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,typed_field
Results,results.dateKnown,structuredAnswers.results.resultDateState,results.resultDateState,summary.results.date_known.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,typed_field
Results,results.question,structuredAnswers.results.patientQuestion,results.patientQuestion,summary.results.question.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,narrative_or_text
Results,results.resultDate,structuredAnswers.results.resultDatePartial,results.resultDatePartial,summary.results.date_value.v1,triage_relevant,SUP_140_BRANCH_SUPERSEDE_V1,narrative_or_text
Results,results.testName,structuredAnswers.results.testNameText,results.testNameText,summary.results.test_name.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,narrative_or_text
Symptoms,symptoms.category,structuredAnswers.symptoms.symptomCategoryCode,symptoms.symptomCategoryCode,summary.symptoms.category.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,typed_field
Symptoms,symptoms.chestPainLocation,structuredAnswers.symptoms.chestDiscomfortLocationCode,symptoms.chestDiscomfortLocationCode,summary.symptoms.chest_location.v1,safety_relevant,SUP_140_SAFETY_BRANCH_SUPERSEDE_V1,typed_field
Symptoms,symptoms.narrative,structuredAnswers.symptoms.patientNarrative,symptoms.patientNarrative,summary.symptoms.narrative.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,narrative_or_text
Symptoms,symptoms.onsetDate,structuredAnswers.symptoms.onsetDate,symptoms.onsetDate,summary.symptoms.onset_date.v1,triage_relevant,SUP_140_BRANCH_SUPERSEDE_V1,narrative_or_text
Symptoms,symptoms.onsetPrecision,structuredAnswers.symptoms.onsetPrecision,symptoms.onsetPrecision,summary.symptoms.onset_date.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,typed_field
Symptoms,symptoms.onsetWindow,structuredAnswers.symptoms.onsetWindowCode,symptoms.onsetWindowCode,summary.symptoms.onset_window.v1,triage_relevant,SUP_140_BRANCH_SUPERSEDE_V1,typed_field
Symptoms,symptoms.severityClues,structuredAnswers.symptoms.severityClueCodes,symptoms.severityClueCodes,summary.symptoms.severity_clues.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,typed_field
Symptoms,symptoms.worseningNow,structuredAnswers.symptoms.worseningNow,symptoms.worseningNow,summary.symptoms.worsening_now.v1,safety_relevant,SUP_140_ALWAYS_ACTIVE_V1,typed_field
