grammar_id,audience_tier,scenario_class,summary_pattern,detail_pattern,forbidden_implication,source_refs
grammar_local_ack_patient,patient,local_ack,Your change was captured locally.,Captured here does not mean confirmed everywhere yet.,Do not imply external or authoritative completion.,blueprint/platform-frontend-blueprint.md#1.6 AmbientStateRibbon|blueprint/patient-account-and-communications-blueprint.md#Purpose
grammar_local_ack_professional,professional,local_ack,Local acknowledgement shown; authoritative settlement still governs the final outcome.,Local or processing cues stay subordinate to settlement and freshness authority.,Do not let save copy outrun command settlement.,blueprint/platform-frontend-blueprint.md#1.6 AmbientStateRibbon|blueprint/ux-quiet-clarity-redesign.md#StatusStripAuthority
grammar_processing_patient,patient,processing_acceptance,Your change was accepted for processing.,The shell remains calm without overclaiming that the outcome is final.,Do not imply provider or downstream confirmation.,blueprint/platform-frontend-blueprint.md#1.6 AmbientStateRibbon
grammar_processing_professional,professional,processing_acceptance,Accepted for processing while authoritative settlement remains pending.,The strip suppresses duplicate save, sync, and worker-acceptance banners.,Do not use settled language yet.,blueprint/platform-frontend-blueprint.md#1.6 AmbientStateRibbon|blueprint/ux-quiet-clarity-redesign.md#Status-noise suppression
grammar_pending_patient,patient,pending_external,We are waiting for confirmation from another service.,The latest safe summary stays visible while confirmation is pending.,Do not imply confirmed booking, message, or referral state.,blueprint/patient-account-and-communications-blueprint.md#Purpose|blueprint/platform-frontend-blueprint.md#1.6 AmbientStateRibbon
grammar_pending_professional,professional,pending_external,Awaiting external confirmation before the shell can settle.,Keep the shell quiet pending, but do not allow local acknowledgement to outrun authoritative settlement.,Do not imply writable finality or queue completion.,blueprint/platform-frontend-blueprint.md#1.1F StatusStripAuthority|blueprint/platform-frontend-blueprint.md#1.6 AmbientStateRibbon
grammar_stale_patient,patient,stale_review,This view needs review before you act.,We are keeping the same shell summary visible, but the truth needs review first.,Do not render saved, fresh, or confirmed wording.,blueprint/accessibility-and-content-system-contract.md#FreshnessAccessibilityContract|blueprint/patient-portal-experience-architecture-blueprint.md#1A. Calm route posture and artifact delivery
grammar_stale_professional,professional,stale_review,Projection review required before the current action remains safe.,Keep the same shell truth visible while stale or degraded projection state is reviewed.,Do not allow commit-ready wording.,blueprint/staff-workspace-interface-architecture.md#3. Active task shell|blueprint/platform-frontend-blueprint.md#1.7A ProjectionFreshnessEnvelope
grammar_recovery_patient,patient,recovery_required,Recovery is required before you continue.,The last trustworthy summary stays visible while the recovery path catches up.,Do not imply safe action or completed recovery.,blueprint/platform-frontend-blueprint.md#1.7A ProjectionFreshnessEnvelope|blueprint/accessibility-and-content-system-contract.md#FreshnessAccessibilityContract
grammar_recovery_professional,professional,recovery_required,Recovery required before the shell can resume governed work.,Keep the last trustworthy summary visible while the recovery path or blocked truth settles.,Do not allow calm success or writable copy.,blueprint/platform-frontend-blueprint.md#1.1F StatusStripAuthority|blueprint/forensic-audit-findings.md#Finding 92
grammar_settled_patient,patient,authoritative_settlement,Confirmed and safe to view.,The latest shell summary matches the settled outcome.,Do not emit this while actionability is guarded, frozen, or recovery only.,blueprint/platform-frontend-blueprint.md#1.6 AmbientStateRibbon|blueprint/platform-frontend-blueprint.md#1.7 FreshnessChip
grammar_settled_professional,professional,authoritative_settlement,Authoritative settlement recorded and aligned to the current projection.,Fresh projection truth, current settlement, and shell interpretation are aligned.,Do not emit this while the shell is read-only or stale-review.,blueprint/platform-frontend-blueprint.md#1.6 AmbientStateRibbon|blueprint/ux-quiet-clarity-redesign.md#StatusStripAuthority
