state_id,projection_family,audience_tier,purpose_of_use,communication_preview_mode,timeline_visibility_mode,artifact_visibility_mode,mutation_authority,surface_state,expected_ui_output,gap_closure
PORTAL185_AUDIENCE_COVERAGE_FIRST,PatientAudienceCoverageProjection,patient_authenticated,authenticated_self_service,authenticated_summary,full_patient_thread,governed_inline,route_bound_mutation,ready,coverage projection computed before every portal query,PARALLEL_INTERFACE_GAP_PHASE2_PORTAL_CONTROLLER_LOCAL_TRIMMING_V1
PORTAL185_ENTRY_PUBLIC_RECOVERY,PatientPortalEntryProjection,patient_public,public_status,public_safe_summary,awareness_only,summary_only,none,read_only,public-safe entry with neutral request update,PARALLEL_INTERFACE_GAP_PHASE2_PORTAL_AUTHENTICATED_NOT_EVERYTHING_V1
PORTAL185_ENTRY_AUTHENTICATED_HOME,PatientPortalEntryProjection,patient_authenticated,authenticated_self_service,authenticated_summary,full_patient_thread,governed_inline,route_bound_mutation,ready,authenticated home with coverage-bound cards,PARALLEL_INTERFACE_GAP_PHASE2_PORTAL_STABLE_PROJECTION_VOCABULARY_V1
PORTAL185_HOME_READY,PatientHomeProjection,patient_authenticated,authenticated_self_service,authenticated_summary,full_patient_thread,governed_inline,route_bound_mutation,ready,home cards and dominant CTA derive from shell consistency,PARALLEL_INTERFACE_GAP_PHASE2_PORTAL_STABLE_PROJECTION_VOCABULARY_V1
PORTAL185_REQUESTS_INDEX_FULL,PatientRequestsIndexProjection,patient_authenticated,authenticated_self_service,authenticated_summary,full_patient_thread,governed_inline,route_bound_mutation,ready,list rows show same lineage grammar as detail,PARALLEL_INTERFACE_GAP_PHASE2_PORTAL_LIST_DETAIL_COVERAGE_PARITY_V1
PORTAL185_DETAIL_FULL,PatientRequestDetailProjection,patient_authenticated,authenticated_self_service,authenticated_summary,full_patient_thread,governed_inline,route_bound_mutation,ready,detail exposes governed timeline and communication previews,PARALLEL_INTERFACE_GAP_PHASE2_PORTAL_LIST_DETAIL_COVERAGE_PARITY_V1
PORTAL185_DETAIL_SUMMARY_ONLY,PatientRequestDetailProjection,patient_authenticated,authenticated_self_service,authenticated_summary,message_safe,placeholder_only,step_up_only,summary_only,detail shows header lineage placeholders and step-up guidance,PARALLEL_INTERFACE_GAP_PHASE2_PORTAL_AUTHENTICATED_NOT_EVERYTHING_V1
PORTAL185_PENDING_CONSISTENCY,PatientRequestDetailProjection,patient_authenticated,authenticated_self_service,authenticated_summary,message_safe,placeholder_only,step_up_only,pending_confirmation,pending-consistency placeholder suppresses live CTA,PARALLEL_INTERFACE_GAP_PHASE2_PORTAL_STABLE_PROJECTION_VOCABULARY_V1
PORTAL185_RECOVERY_STALE_SESSION,PatientActionRecoveryProjection,patient_authenticated,authenticated_self_service,suppressed_recovery_only,summary_only,placeholder_only,none,recovery_required,same-shell recovery replaces detail,PARALLEL_INTERFACE_GAP_PHASE2_PORTAL_SAME_SHELL_RECOVERY_V1
PORTAL185_RECOVERY_STALE_BINDING,PatientActionRecoveryProjection,patient_authenticated,authenticated_self_service,suppressed_recovery_only,summary_only,placeholder_only,none,recovery_required,binding recovery preserves last safe summary,PARALLEL_INTERFACE_GAP_PHASE2_PORTAL_SAME_SHELL_RECOVERY_V1
PORTAL185_RECOVERY_ROUTE_DRIFT,PatientActionRecoveryProjection,patient_authenticated,authenticated_self_service,suppressed_recovery_only,summary_only,placeholder_only,none,recovery_required,route tuple drift yields recovery shell,PARALLEL_INTERFACE_GAP_PHASE2_PORTAL_SAME_SHELL_RECOVERY_V1
PORTAL185_IDENTITY_HOLD,PatientIdentityHoldProjection,patient_authenticated,authenticated_self_service,suppressed_recovery_only,summary_only,placeholder_only,none,identity_hold,identity hold suppresses PHI and writable actions,PARALLEL_INTERFACE_GAP_PHASE2_PORTAL_CONTROLLER_LOCAL_TRIMMING_V1
PORTAL185_COMMUNICATION_PLACEHOLDER,PatientCommunicationVisibilityProjection,patient_authenticated,authenticated_self_service,suppressed_recovery_only,summary_only,placeholder_only,none,recovery_required,message thread remains as governed placeholder,PARALLEL_INTERFACE_GAP_PHASE2_PORTAL_STABLE_PROJECTION_VOCABULARY_V1
PORTAL185_SECURE_LINK_RECOVERY,PatientSecureLinkSessionProjection,secure_link_recovery,secure_link_recovery,suppressed_recovery_only,summary_only,placeholder_only,none,recovery_required,secure link recovery keeps return tuple without exposing detail,PARALLEL_INTERFACE_GAP_PHASE2_PORTAL_SAME_SHELL_RECOVERY_V1
